site_id,date,labels
34405_3,2024-01-05,0
34405_3,2024-01-12,0
34405_3,2024-01-17,0
34405_3,2024-01-24,0
34405_3,2024-01-29,0
34405_3,2024-02-05,0
34405_3,2024-02-10,0
34405_3,2024-02-17,0
34405_3,2024-02-22,0
34405_3,2024-02-29,0
34405_3,2024-03-05,0
34405_3,2024-03-12,4
34405_3,2024-03-17,0
34405_3,2024-03-24,4
34405_3,2024-03-29,0
34405_3,2024-04-10,0
34405_3,2024-04-17,4
34405_3,2024-04-22,0
34405_3,2024-04-29,4
34405_3,2024-05-04,0
34405_3,2024-05-11,1
34405_3,2024-05-16,0
34405_3,2024-05-23,1
34405_3,2024-05-28,0
34405_3,2024-06-04,0
34405_3,2024-06-09,0
34405_3,2024-06-16,0
34405_3,2024-06-21,0
34405_3,2024-06-28,0
34405_3,2024-07-03,0
34405_3,2024-07-10,0
34405_3,2024-07-15,0
34405_3,2024-07-22,1
34405_3,2024-07-27,2
34405_3,2024-08-03,2
34405_3,2024-08-08,2
34405_3,2024-08-15,2
34405_3,2024-08-20,2
34405_3,2024-08-27,3
34405_3,2024-09-01,3
34405_3,2024-09-08,3
34405_3,2024-09-13,3
34405_3,2024-09-20,3
34405_3,2024-09-25,3
34405_3,2024-10-02,7
34405_3,2024-10-07,7
34405_3,2024-10-14,7
34405_3,2024-10-19,7
34405_3,2024-10-26,7
34405_3,2024-10-31,7
34405_3,2024-11-07,1
34405_3,2024-11-12,0
34405_3,2024-11-19,1
34405_3,2024-11-24,0
34405_3,2024-12-01,1
34405_3,2024-12-06,0
34405_3,2024-12-13,0
34405_3,2024-12-18,0
34405_3,2024-12-25,1
34405_3,2024-12-30,0
