site_id,date,labels
701068_17,2024-01-10,255
701068_17,2024-01-22,255
701068_17,2024-02-03,255
701068_17,2024-02-15,255
701068_17,2024-02-27,255
701068_17,2024-03-10,255
701068_17,2024-03-22,255
701068_17,2024-04-03,255
701068_17,2024-04-15,255
701068_17,2024-04-27,255
701068_17,2024-05-09,255
701068_17,2024-05-21,255
701068_17,2024-06-02,255
701068_17,2024-06-14,255
701068_17,2024-06-26,255
701068_17,2024-07-08,255
701068_17,2024-07-20,255
701068_17,2024-08-01,255
701068_17,2024-08-13,255
701068_17,2024-08-20,4
701068_17,2024-08-25,4
701068_17,2024-09-01,5
701068_17,2024-09-06,5
701068_17,2024-09-13,5
701068_17,2024-09-25,6
701068_17,2024-09-30,6
701068_17,2024-10-07,6
701068_17,2024-10-12,6
701068_17,2024-10-19,6
701068_17,2024-10-24,6
701068_17,2024-10-31,6
701068_17,2024-11-05,6
701068_17,2024-11-12,6
701068_17,2024-11-17,6
701068_17,2024-11-24,6
701068_17,2024-11-29,6
701068_17,2024-12-06,6
701068_17,2024-12-11,6
701068_17,2024-12-18,6
701068_17,2024-12-23,6
701068_17,2024-12-30,6
