ID,person,changetype,conversion,prevyear,overallLabel,Long,Lat,MGRS,p1_date,p1,p2_date,p2,p3_date,p3,p4_date,p4,p5_date,p5,p6_date,p6,p7_date,p7,p8_date,p8,p9_date,p9,p10_date,p10,p11_date,p11,p12_date,p12,p13_date,p13,p14_date,p14,p15_date,p15,p16_date,p16,p17_date,p17,p18_date,p18,p19_date,p19,p20_date,p20,p21_date,p21,p22_date,p22,p23_date,p23,p24_date,p24,p25_date,p25,p26_date,p26,p27_date,p27,p28_date,p28,p29_date,p29,p30_date,p30,p31_date,p31,p32_date,p32,p33_date,p33,p34_date,p34,p35_date,p35,p36_date,p36,p37_date,p37,p38_date,p38,p39_date,p39,p40_date,p40,p41_date,p41,p42_date,p42,p43_date,p43,p44_date,p44,p45_date,p45,p46_date,p46,p47_date,p47,p48_date,p48,p49_date,p49,p50_date,p50,p51_date,p51,p52_date,p52,p53_date,p53,p54_date,p54,p55_date,p55,p56_date,p56,p57_date,p57,p58_date,p58,p59_date,p59,p60_date,p60,p61_date,p61,p62_date,p62,p63_date,p63,p64_date,p64,p65_date,p65,p66_date,p66,p67_date,p67,p68_date,p68,p69_date,p69,p70_date,p70,p71_date,p71,p72_date,p72,p73_date,p73
30961_1,team,Shifting cultivation,no,false,VLmin,13.8540476044282,4.93315831609935,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-13,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noChange,NA,noChange,2024-03-18,noChange,2024-03-23,noChange,NA,noChange,2024-04-02,noChange,NA,noChange,2024-04-11,noChange,NA,noChange,NA,noChange,2024-04-27,noChange,2024-05-02,noChange,NA,noChange,2024-05-13,noChange,2024-05-17,noChange,2024-05-21,noChange,2024-05-27,noChange,NA,noChange,2024-06-06,noChange,2024-06-11,noChange,NA,noChange,2024-06-22,noChange,2024-06-26,noChange,NA,noChange,2024-07-08,noChange,NA,noChange,2024-07-16,noChange,NA,noChange,2024-07-26,noChange,2024-08-01,noChange,2024-08-05,noChange,NA,noChange,2024-08-17,noChange,NA,noChange,NA,noChange,2024-08-30,noChange,NA,noChange,2024-09-09,noChange,2024-09-14,noChange,2024-09-18,noChange,NA,noChange,2024-09-29,noChange,2024-10-04,noChange,NA,noChange,2024-10-14,noChange,2024-10-19,noChange,2024-10-24,noChange,2024-10-28,noChange,2024-11-03,noChange,2024-11-08,noChange,2024-11-13,noChange,2024-11-18,noChange,2024-11-23,VLmin,2024-11-28,VLmin,2024-12-03,VLmin,2024-12-07,VLmin,2024-12-13,VLmin,2024-12-18,VLmin,2024-12-23,VLmin,2024-12-28,VLmin
30961_2,team,Shifting cultivation,no,false,VLmaj,13.8521970389413,4.90792000402806,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-13,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noChange,NA,noChange,2024-03-18,noChange,2024-03-23,noChange,NA,noChange,2024-04-02,noChange,NA,noChange,2024-04-11,noChange,NA,noChange,NA,noChange,2024-04-27,noChange,2024-05-02,noChange,NA,noChange,2024-05-13,noChange,2024-05-17,noChange,2024-05-21,noChange,2024-05-27,noChange,NA,noChange,2024-06-06,noChange,2024-06-11,noChange,NA,noChange,2024-06-22,noChange,2024-06-26,noChange,NA,noChange,2024-07-08,noChange,NA,noChange,2024-07-16,noChange,NA,noChange,2024-07-26,noChange,2024-08-01,noChange,2024-08-05,noChange,NA,noChange,2024-08-17,noChange,NA,noChange,NA,noChange,2024-08-30,noChange,NA,noChange,2024-09-09,noChange,2024-09-14,noChange,2024-09-18,noChange,NA,noChange,2024-09-29,noChange,2024-10-04,noChange,NA,noChange,2024-10-14,noChange,2024-10-19,noChange,2024-10-24,noChange,2024-10-29,noChange,2024-11-03,noChange,2024-11-08,noChange,2024-11-13,noChange,2024-11-18,noChange,2024-11-23,noChange,2024-11-28,VLmaj,2024-12-03,VLmaj,2024-12-07,VLmaj,2024-12-13,VLmaj,2024-12-18,VLmaj,2024-12-23,VLmaj,2024-12-28,VLmaj
30961_3,team,No Change,no,false,noChange,13.8621375449735,4.94863895253569,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-13,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noChange,NA,noChange,2024-03-18,noChange,2024-03-23,noChange,NA,noChange,2024-04-02,noChange,NA,noChange,2024-04-11,noChange,NA,noChange,NA,noChange,2024-04-27,noChange,2024-05-02,noChange,2024-05-07,noChange,2024-05-13,noChange,2024-05-17,noChange,2024-05-21,noChange,2024-05-27,noChange,NA,noChange,2024-06-06,noChange,2024-06-11,noChange,NA,noChange,2024-06-22,noChange,2024-06-26,noChange,NA,noChange,2024-07-08,noChange,NA,noChange,2024-07-16,noChange,NA,noChange,2024-07-26,noChange,2024-08-01,noChange,2024-08-05,noChange,NA,noChange,2024-08-17,noChange,NA,noChange,NA,noChange,2024-08-30,noChange,NA,noChange,2024-09-09,noChange,2024-09-14,noChange,2024-09-18,noChange,NA,noChange,2024-09-29,noChange,2024-10-04,noChange,NA,noChange,2024-10-14,noChange,2024-10-19,noChange,2024-10-24,noChange,2024-10-28,noChange,2024-11-03,noChange,2024-11-08,noChange,2024-11-13,noChange,2024-11-18,noChange,2024-11-23,noChange,2024-11-28,noChange,2024-12-03,noChange,2024-12-07,noChange,2024-12-13,noChange,2024-12-18,noChange,2024-12-23,noChange,2024-12-28,noChange
30961_4,Andrew,No Change,no,false,noChange,13.8399685278492,4.93937479037958,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-14,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noChange,NA,noChange,2024-03-18,noChange,2024-03-23,noChange,NA,noChange,2024-04-02,noChange,NA,noChange,2024-04-11,noChange,NA,noChange,NA,noChange,2024-04-27,noChange,2024-05-02,noChange,NA,noChange,2024-05-13,noChange,2024-05-17,noChange,2024-05-21,noChange,2024-05-27,noChange,NA,noChange,2024-06-06,noChange,2024-06-11,noChange,NA,noChange,2024-06-22,noChange,2024-06-26,noChange,NA,noChange,2024-07-08,noChange,NA,noChange,2024-07-16,noChange,NA,noChange,2024-07-26,noChange,2024-08-01,noChange,2024-08-05,noChange,NA,noChange,2024-08-17,noChange,NA,noChange,NA,noChange,2024-08-30,noChange,NA,noChange,2024-09-09,noChange,2024-09-14,noChange,2024-09-18,noChange,NA,noChange,2024-09-29,noChange,2024-10-04,noChange,NA,noChange,2024-10-14,noChange,2024-10-19,noChange,2024-10-24,noChange,2024-10-28,noChange,2024-11-03,noChange,2024-11-08,noChange,2024-11-13,noChange,2024-11-18,noChange,2024-11-23,noChange,2024-11-28,noChange,2024-12-03,noChange,2024-12-07,noChange,2024-12-13,noChange,2024-12-18,noChange,2024-12-23,noChange,2024-12-28,noChange
30961_5,team,Shifting cultivation,no,false,VLmaj,13.8680993444711,4.94295089116232,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-14,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noChange,NA,noChange,2024-03-18,noChange,2024-03-23,noChange,2024-03-28,noChange,2024-04-02,noChange,NA,noChange,2024-04-11,noChange,NA,noChange,NA,noChange,2024-04-27,noChange,2024-05-02,noChange,2024-05-07,noChange,2024-05-13,noChange,2024-05-17,noChange,2024-05-21,noChange,2024-05-27,noChange,NA,noChange,2024-06-06,noChange,2024-06-11,noChange,NA,noChange,2024-06-22,noChange,2024-06-26,noChange,NA,noChange,2024-07-08,noChange,NA,noChange,2024-07-16,noChange,NA,noChange,2024-07-26,noChange,2024-08-01,noChange,2024-08-05,noChange,NA,noChange,2024-08-17,noChange,NA,noChange,NA,noChange,2024-08-30,noChange,NA,noChange,2024-09-09,noChange,2024-09-14,noChange,2024-09-18,noChange,NA,noChange,2024-09-29,noChange,2024-10-04,noChange,NA,noChange,2024-10-14,noChange,2024-10-19,VLmaj,2024-10-24,VLmaj,2024-10-28,VLmaj,2024-11-03,VLmaj,2024-11-08,VLmaj,2024-11-13,VLmaj,2024-11-18,VLmaj,2024-11-23,VLmaj,2024-11-28,VLmaj,2024-12-03,VLmaj,2024-12-07,VLmaj,2024-12-13,VLmaj,NA,VLsub,2024-12-23,VLsub,2024-12-28,VLsub
30961_6,team,Clear cut,human,true,VLmaj,13.8359363524202,4.92444382317138,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-13,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noObs,NA,noObs,2024-03-18,noObs,2024-03-23,noObs,NA,noObs,2024-04-02,noObs,NA,noObs,2024-04-11,noObs,NA,noObs,NA,noObs,2024-04-27,noObs,2024-05-02,noObs,NA,noObs,2024-05-13,noObs,2024-05-17,noObs,2024-05-21,noObs,2024-05-27,VLmaj,NA,noChange,2024-06-06,VLmaj,2024-06-11,noObs,NA,noObs,2024-06-22,noObs,2024-06-26,noObs,NA,noObs,2024-07-08,noObs,NA,noObs,2024-07-16,noObs,NA,noObs,2024-07-26,noObs,2024-08-01,noObs,2024-08-05,noObs,NA,noObs,2024-08-17,noObs,NA,noObs,NA,noObs,2024-08-30,noObs,NA,noObs,2024-09-09,noObs,2024-09-14,noObs,2024-09-18,noObs,NA,noObs,2024-09-29,noObs,2024-10-04,noObs,NA,noObs,2024-10-14,noObs,2024-10-19,noObs,2024-10-24,noObs,2024-10-29,VLmaj,2024-11-03,VLmaj,2024-11-08,VLmaj,2024-11-13,VLmaj,2024-11-18,noObs,2024-11-23,VLmaj,2024-11-28,VLmaj,2024-12-03,VLmaj,2024-12-07,VLmaj,2024-12-13,VLmaj,2024-12-18,VLmaj,2024-12-23,VLmaj,2024-12-28,VLmaj
30961_7,team,Clear cut,human,false,VLmaj,13.8326870539208,4.92606619143591,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-13,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noObs,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noObs,2024-03-10,noObs,NA,noObs,2024-03-18,noObs,2024-03-23,noObs,NA,noObs,2024-04-02,noObs,NA,noObs,2024-04-11,noObs,NA,noObs,NA,noObs,2024-04-27,noObs,2024-05-02,noObs,NA,noObs,2024-05-13,noObs,2024-05-17,noObs,2024-05-21,noObs,2024-05-27,noObs,NA,noObs,2024-06-06,noObs,2024-06-11,noObs,NA,noObs,2024-06-22,noObs,2024-06-26,noObs,NA,noObs,2024-07-08,noObs,NA,noObs,2024-07-16,noObs,NA,noObs,2024-07-26,noObs,2024-08-01,noObs,2024-08-05,noObs,NA,noObs,2024-08-17,noObs,NA,noObs,NA,noObs,2024-08-30,noObs,NA,noObs,2024-09-09,noObs,2024-09-14,noObs,2024-09-18,noObs,NA,noObs,2024-09-29,noObs,2024-10-04,noObs,NA,noObs,2024-10-14,noObs,2024-10-19,noObs,2024-10-24,noObs,2024-10-28,noChange,2024-11-03,noChange,2024-11-08,noChange,2024-11-13,noChange,2024-11-18,noChange,2024-11-23,VLmaj,2024-11-28,VLmaj,2024-12-03,VLmaj,2024-12-07,VLmaj,2024-12-13,VLmaj,2024-12-18,VLmaj,2024-12-23,VLmaj,2024-12-28,VLmaj
30961_8,team,Shifting cultivation,no,false,VLsub,13.8154410505811,4.88723380584879,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-13,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noChange,NA,noChange,2024-03-18,noChange,2024-03-23,noChange,NA,noChange,2024-04-02,noChange,NA,noChange,2024-04-11,noChange,NA,noChange,NA,noChange,2024-04-27,noChange,2024-05-02,noChange,NA,noChange,2024-05-13,noChange,2024-05-17,noChange,2024-05-21,noChange,2024-05-27,noChange,NA,noChange,2024-06-06,noChange,2024-06-11,noChange,NA,noChange,NA,noChange,2024-06-26,noChange,NA,noChange,2024-07-08,noChange,NA,noChange,2024-07-16,noChange,NA,noChange,2024-07-26,noChange,2024-08-01,noChange,2024-08-05,noChange,NA,noChange,2024-08-17,noChange,NA,noChange,NA,noChange,2024-08-30,noChange,NA,noChange,2024-09-09,noChange,2024-09-14,noChange,NA,noChange,NA,noChange,2024-09-29,noChange,2024-10-04,noChange,NA,noChange,2024-10-14,noChange,2024-10-19,noChange,2024-10-24,noChange,2024-10-28,noChange,2024-11-03,noChange,2024-11-08,noChange,2024-11-13,noChange,2024-11-18,noChange,2024-11-23,noChange,2024-11-28,noChange,2024-12-03,noChange,2024-12-07,noChange,2024-12-13,noChange,2024-12-18,VLsub,2024-12-23,VLsub,2024-12-28,VLsub
30961_9,team,Shifting cultivation,no,false,VLmin,13.8967695906488,4.94788351068175,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-14,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noChange,NA,noChange,2024-03-18,noChange,2024-03-23,noChange,NA,noChange,2024-04-02,VLsub,NA,VLsub,2024-04-11,VLmin,NA,VLmin,NA,VLmin,2024-04-27,VLmin,2024-05-02,VLmin,NA,VLmin,2024-05-13,VLmin,2024-05-17,VLmin,2024-05-21,VLmin,2024-05-27,VLmin,NA,VLmin,2024-06-06,VLmin,2024-06-11,VLmin,NA,VLmin,2024-06-22,VLmin,2024-06-26,VLmin,NA,VLmin,2024-07-08,VLmin,NA,VLmin,2024-07-16,VLmin,NA,VLmin,2024-07-26,VLmin,2024-08-01,VLmin,2024-08-05,VLmin,NA,VLmin,2024-08-17,VLmin,NA,VLmin,NA,VLmin,2024-08-30,VLmin,NA,VLmin,2024-09-09,VLmin,2024-09-14,VLmin,2024-09-18,VLmin,NA,VLmin,2024-09-29,VLmin,2024-10-04,VLmin,NA,VLmin,2024-10-14,VLmin,2024-10-19,VLmin,2024-10-24,VLmin,2024-10-28,VLmin,2024-11-03,VLmin,2024-11-08,VLmin,2024-11-13,VLmin,2024-11-18,VLmin,2024-11-23,VLmin,2024-11-28,VLmin,2024-12-03,VLmin,2024-12-08,VLmin,2024-12-13,VLmin,2024-12-18,VLmin,2024-12-23,VLsub,2024-12-28,VLsub
30961_10,Andrew,No Change,no,false,noChange,13.8226489246664,4.94205770236993,33NUF,2024-01-03,noChange,2024-01-06,noChange,2024-01-13,noChange,2024-01-18,noChange,2024-01-22,noChange,2024-01-28,noChange,NA,noChange,2024-02-07,noChange,2024-02-12,noChange,2024-02-15,noChange,2024-02-23,noChange,2024-02-27,noChange,2024-03-02,noChange,2024-03-10,noChange,NA,noChange,2024-03-18,noChange,2024-03-23,noChange,NA,noChange,2024-04-02,noChange,NA,noChange,2024-04-11,noChange,NA,noChange,NA,noChange,2024-04-27,noChange,2024-05-02,noChange,NA,noChange,2024-05-13,noChange,2024-05-17,noChange,2024-05-21,noChange,2024-05-27,noChange,NA,noChange,2024-06-06,noChange,2024-06-11,noChange,NA,noChange,2024-06-22,noChange,2024-06-26,noChange,NA,noChange,2024-07-08,noChange,NA,noChange,2024-07-16,noChange,NA,noChange,2024-07-26,noChange,2024-08-01,noChange,2024-08-05,noChange,NA,noChange,2024-08-17,noChange,NA,noChange,NA,noChange,2024-08-30,noChange,NA,noChange,2024-09-09,noChange,2024-09-14,noChange,2024-09-18,noChange,NA,noChange,2024-09-29,noChange,2024-10-04,noChange,NA,noChange,2024-10-14,noChange,2024-10-19,noChange,2024-10-24,noChange,2024-10-28,noChange,2024-11-03,noChange,2024-11-08,noChange,2024-11-13,noChange,2024-11-18,noChange,2024-11-23,noChange,2024-11-28,noChange,2024-12-03,noChange,2024-12-07,noChange,2024-12-13,noChange,2024-12-18,noChange,2024-12-23,noChange,2024-12-28,noChange
