block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALL,all,20,0.7416162697442431
97785,waternew,users,ALL,all,20,0.3316391277491344
197293,waternew,users,ALL,all,17,None
372152,waternew,users,ALL,all,20,0.3749999999999999
1141323,waternew,users,ALL,all,20,0.9066145537937355
1147060,waternew,users,ALL,all,19,0.9404974722867327
1150482,waternew,users,ALL,all,14,0.0
1344822,waternew,users,ALL,all,20,0.8803898303019327
34405,treelosswet,users,ALL,all,20,1.0
40284,treelosswet,users,ALL,all,20,0.8741257349615558
259801,treelosswet,users,ALL,all,20,0.9101860116073544
815373,treelosswet,users,ALL,all,20,0.20147506236360144
1050008,treelosswet,users,ALL,all,20,1.0
1348871,treelosswet,users,ALL,all,19,1.0
1354518,treelosswet,users,ALL,all,18,1.0
1398961,treelosswet,users,ALL,all,19,0.7553560634075452
1416380,treelosswet,users,ALL,all,19,0.27610159377317967
1422212,treelosswet,users,ALL,all,19,0.3308115846723831
103279,builtnewalert,users,ALL,all,20,0.21428571428571425
119116,builtnewalert,users,ALL,all,19,0.6454413491645359
171471,builtnewalert,users,ALL,all,20,None
349802,builtnewalert,users,ALL,all,20,None
796166,builtnewalert,users,ALL,all,20,1.0
824841,builtnewalert,users,ALL,all,20,0.0
1240366,builtnewalert,users,ALL,all,20,0.0169753469293428
1348771,builtnewalert,users,ALL,all,20,0.9990353936129354
1369893,builtnewalert,users,ALL,all,20,1.0
1382159,builtnewalert,users,ALL,all,20,1.0
539283,fire,users,ALL,all,20,None
557332,fire,users,ALL,all,20,None
913366,fire,users,ALL,all,20,1.0
1377803,fire,users,ALL,all,20,None
1412057,fire,users,ALL,all,20,1.0
30961,treelossTF,users,ALL,all,17,0.5797328002041222
35975,treelossTF,users,ALL,all,20,1.0
576420,treelossTF,users,ALL,all,19,0.44427968046706395
701068,treelossTF,users,ALL,all,14,0.8370925288519943
723123,treelossTF,users,ALL,all,20,1.0
782693,treelossTF,users,ALL,all,18,0.0
889432,treelossTF,users,ALL,all,20,1.0
1058298,treelossTF,users,ALL,all,19,1.0
74185,cropnew,users,ALL,all,15,None
835151,cropnew,users,ALL,all,19,None
857008,cropnew,users,ALL,all,20,0.722025082017253
1085866,cropnew,users,ALL,all,20,0.6520819820368987
1415162,cropnew,users,ALL,all,20,None
1465798,cropnew,users,ALL,all,15,None
168365,oldcrop_short,users,ALL,all,20,0.7034428590826217
490359,oldcrop_short,users,ALL,all,20,0.2677300953724018
529881,oldcrop_short,users,ALL,all,20,0.7417218512112822
1143507,oldcrop_short,users,ALL,all,16,0.999915166282047
1402267,oldcrop_short,users,ALL,all,20,0.6708722688835047
1473302,oldcrop_short,users,ALL,all,20,None
481818,other,users,ALL,all,16,0.8336631282030259
819952,other,users,ALL,all,11,None
855895,other,users,ALL,all,15,0.7945205479452054
916424,other,users,ALL,all,16,0.7680209698558321
1125880,other,users,ALL,all,16,None
1159486,other,users,ALL,all,13,None
1238088,other,users,ALL,all,8,None
1455965,other,users,ALL,all,15,1.0
41318,waternew,producers,ALL,all,20,0.44184631654253254
97785,waternew,producers,ALL,all,20,0.17189908098466783
197293,waternew,producers,ALL,all,17,0.0
372152,waternew,producers,ALL,all,20,0.0073124026522042
1141323,waternew,producers,ALL,all,20,0.2918457871551902
1147060,waternew,producers,ALL,all,19,0.63768975871338
1150482,waternew,producers,ALL,all,14,0.0
1344822,waternew,producers,ALL,all,20,0.501470438238594
34405,treelosswet,producers,ALL,all,20,0.6061037952598047
40284,treelosswet,producers,ALL,all,20,0.056762077157547185
259801,treelosswet,producers,ALL,all,20,0.1764708223982237
815373,treelosswet,producers,ALL,all,20,0.036799164650344225
1050008,treelosswet,producers,ALL,all,20,0.521056494460205
1348871,treelosswet,producers,ALL,all,19,0.024648415982677408
1354518,treelosswet,producers,ALL,all,18,0.02889903910695666
1398961,treelosswet,producers,ALL,all,19,0.2722873087076234
1416380,treelosswet,producers,ALL,all,19,0.28883718287067967
1422212,treelosswet,producers,ALL,all,19,0.2587101066727774
103279,builtnewalert,producers,ALL,all,20,0.053916470295140885
119116,builtnewalert,producers,ALL,all,19,0.7520734505206043
171471,builtnewalert,producers,ALL,all,20,0.0
349802,builtnewalert,producers,ALL,all,20,0.0
796166,builtnewalert,producers,ALL,all,20,0.027241801269471552
824841,builtnewalert,producers,ALL,all,20,0.0
1240366,builtnewalert,producers,ALL,all,20,0.21702866243916377
1348771,builtnewalert,producers,ALL,all,20,0.14426829707919797
1369893,builtnewalert,producers,ALL,all,20,0.03144911984077773
1382159,builtnewalert,producers,ALL,all,20,0.5321576411985555
539283,fire,producers,ALL,all,20,0.0
557332,fire,producers,ALL,all,20,0.0
913366,fire,producers,ALL,all,20,0.0023745103398099925
1377803,fire,producers,ALL,all,20,0.0
1412057,fire,producers,ALL,all,20,0.6168028915275082
30961,treelossTF,producers,ALL,all,17,0.043305936158259534
35975,treelossTF,producers,ALL,all,20,0.04775210331263063
576420,treelossTF,producers,ALL,all,19,0.1954338931476015
701068,treelossTF,producers,ALL,all,14,0.5822896714306763
723123,treelossTF,producers,ALL,all,20,0.24152116338114818
782693,treelossTF,producers,ALL,all,18,0.0
889432,treelossTF,producers,ALL,all,20,0.1115122118836418
1058298,treelossTF,producers,ALL,all,19,0.5322798538995679
74185,cropnew,producers,ALL,all,15,0.0
835151,cropnew,producers,ALL,all,19,0.0
857008,cropnew,producers,ALL,all,20,0.15537991234606655
1085866,cropnew,producers,ALL,all,20,0.13498587761077074
1415162,cropnew,producers,ALL,all,20,0.0
1465798,cropnew,producers,ALL,all,15,0.0
168365,oldcrop_short,producers,ALL,all,20,0.1579023034151702
490359,oldcrop_short,producers,ALL,all,20,0.5685794982607576
529881,oldcrop_short,producers,ALL,all,20,0.31758156668975784
1143507,oldcrop_short,producers,ALL,all,16,0.7287426662011789
1402267,oldcrop_short,producers,ALL,all,20,0.2851505653443192
1473302,oldcrop_short,producers,ALL,all,20,0.0
481818,other,producers,ALL,all,16,0.35603282923770263
819952,other,producers,ALL,all,11,0.0
855895,other,producers,ALL,all,15,0.1513876001891215
916424,other,producers,ALL,all,16,0.03030351707255627
1125880,other,producers,ALL,all,16,0.0
1159486,other,producers,ALL,all,13,0.0
1238088,other,producers,ALL,all,8,None
1455965,other,producers,ALL,all,15,0.0021886848428239107
41318,waternew,overall,ALL,all,20,0.9597950863221658
97785,waternew,overall,ALL,all,20,0.9864771792440964
197293,waternew,overall,ALL,all,17,0.9979228610672654
372152,waternew,overall,ALL,all,20,0.9868173126214822
1141323,waternew,overall,ALL,all,20,0.9529484626125884
1147060,waternew,overall,ALL,all,19,0.9446049129032618
1150482,waternew,overall,ALL,all,14,0.8035818835571048
1344822,waternew,overall,ALL,all,20,0.9921743752233307
34405,treelosswet,overall,ALL,all,20,0.975516940725212
40284,treelosswet,overall,ALL,all,20,0.9623368953597566
259801,treelosswet,overall,ALL,all,20,0.968352260913429
815373,treelosswet,overall,ALL,all,20,0.9677859690361614
1050008,treelosswet,overall,ALL,all,20,0.6714788853671232
1348871,treelosswet,overall,ALL,all,19,0.5300071120689179
1354518,treelosswet,overall,ALL,all,18,0.9121961066684671
1398961,treelosswet,overall,ALL,all,19,0.9624382556605573
1416380,treelosswet,overall,ALL,all,19,0.8030207674519498
1422212,treelosswet,overall,ALL,all,19,0.831978343917428
103279,builtnewalert,overall,ALL,all,20,0.9505338598456968
119116,builtnewalert,overall,ALL,all,19,0.761511472052933
