block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALL,high,20,1.0
97785,waternew,users,ALL,high,20,None
197293,waternew,users,ALL,high,17,None
372152,waternew,users,ALL,high,20,0.9872611464968151
1141323,waternew,users,ALL,high,20,0.8408602150537633
1147060,waternew,users,ALL,high,19,1.0
1150482,waternew,users,ALL,high,14,1.0
1344822,waternew,users,ALL,high,20,None
34405,treelosswet,users,ALL,high,20,1.0
40284,treelosswet,users,ALL,high,20,None
259801,treelosswet,users,ALL,high,20,0.2196702092875803
815373,treelosswet,users,ALL,high,20,0.9352355473628625
1050008,treelosswet,users,ALL,high,20,1.0
1348871,treelosswet,users,ALL,high,19,1.0
1354518,treelosswet,users,ALL,high,18,1.0
1398961,treelosswet,users,ALL,high,19,0.546428313199604
1416380,treelosswet,users,ALL,high,19,0.04395455017656392
1422212,treelosswet,users,ALL,high,19,0.5852516590401048
103279,builtnewalert,users,ALL,high,20,None
119116,builtnewalert,users,ALL,high,19,None
171471,builtnewalert,users,ALL,high,20,1.0
349802,builtnewalert,users,ALL,high,20,None
796166,builtnewalert,users,ALL,high,20,1.0
824841,builtnewalert,users,ALL,high,20,1.0
1240366,builtnewalert,users,ALL,high,20,1.0
1348771,builtnewalert,users,ALL,high,20,1.0
1369893,builtnewalert,users,ALL,high,20,None
1382159,builtnewalert,users,ALL,high,20,None
539283,fire,users,ALL,high,20,1.0
557332,fire,users,ALL,high,20,1.0
913366,fire,users,ALL,high,20,0.9782608695652174
1377803,fire,users,ALL,high,20,0.9972477993049412
1412057,fire,users,ALL,high,20,1.0
30961,treelossTF,users,ALL,high,17,1.0
35975,treelossTF,users,ALL,high,20,1.0
576420,treelossTF,users,ALL,high,19,1.0
701068,treelossTF,users,ALL,high,18,0.9442688236575916
723123,treelossTF,users,ALL,high,20,0.7948717948717949
782693,treelossTF,users,ALL,high,18,0.5142252699377673
889432,treelossTF,users,ALL,high,20,0.8070037688192012
1058298,treelossTF,users,ALL,high,19,0.809904368335411
74185,cropnew,users,ALL,high,15,None
835151,cropnew,users,ALL,high,19,None
857008,cropnew,users,ALL,high,20,None
1085866,cropnew,users,ALL,high,20,0.0
1415162,cropnew,users,ALL,high,20,0.0
1465798,cropnew,users,ALL,high,15,None
168365,oldcrop_short,users,ALL,high,20,0.5503565936052768
490359,oldcrop_short,users,ALL,high,20,0.9364430247458209
529881,oldcrop_short,users,ALL,high,20,0.7568201899661474
1143507,oldcrop_short,users,ALL,high,16,1.0
1402267,oldcrop_short,users,ALL,high,20,0.0
1473302,oldcrop_short,users,ALL,high,20,None
481818,other,users,ALL,high,16,0.6737678190834604
819952,other,users,ALL,high,11,1.0
855895,other,users,ALL,high,15,None
916424,other,users,ALL,high,16,None
1125880,other,users,ALL,high,16,None
1159486,other,users,ALL,high,13,None
1238088,other,users,ALL,high,8,None
1455965,other,users,ALL,high,15,None
41318,waternew,producers,ALL,high,20,0.6001672977842063
97785,waternew,producers,ALL,high,20,0.0
197293,waternew,producers,ALL,high,17,0.9495798319327731
372152,waternew,producers,ALL,high,20,0.7516032832444332
1141323,waternew,producers,ALL,high,20,0.0
1147060,waternew,producers,ALL,high,19,None
1150482,waternew,producers,ALL,high,14,None
1344822,waternew,producers,ALL,high,20,0.0
34405,treelosswet,producers,ALL,high,20,0.8158357918492185
40284,treelosswet,producers,ALL,high,20,0.37922239043220957
259801,treelosswet,producers,ALL,high,20,0.29559824808485924
815373,treelosswet,producers,ALL,high,20,0.8913693353566686
1050008,treelosswet,producers,ALL,high,20,0.11066738858739018
1348871,treelosswet,producers,ALL,high,19,0.7711695559381169
1354518,treelosswet,producers,ALL,high,18,0.9540973511424223
1398961,treelosswet,producers,ALL,high,19,0.6237160489203972
1416380,treelosswet,producers,ALL,high,19,0.9017938123853629
1422212,treelosswet,producers,ALL,high,19,0.6374771935055095
103279,builtnewalert,producers,ALL,high,20,0.6666666666666669
119116,builtnewalert,producers,ALL,high,19,0.01016345243549279
171471,builtnewalert,producers,ALL,high,20,0.8728121753151129
349802,builtnewalert,producers,ALL,high,20,0.07249676786479553
796166,builtnewalert,producers,ALL,high,20,0.7791345726190276
824841,builtnewalert,producers,ALL,high,20,0.009108972007017139
1240366,builtnewalert,producers,ALL,high,20,0.0
1348771,builtnewalert,producers,ALL,high,20,0.0
1369893,builtnewalert,producers,ALL,high,20,0.3911855937998633
1382159,builtnewalert,producers,ALL,high,20,None
539283,fire,producers,ALL,high,20,0.9185360312608971
557332,fire,producers,ALL,high,20,0.7936325812907326
913366,fire,producers,ALL,high,20,1.0
1377803,fire,producers,ALL,high,20,0.6375529238599327
1412057,fire,producers,ALL,high,20,0.6979323281896335
30961,treelossTF,producers,ALL,high,17,0.5703252139845945
35975,treelossTF,producers,ALL,high,20,0.20750168845681868
576420,treelossTF,producers,ALL,high,19,0.8564048094885375
701068,treelossTF,producers,ALL,high,18,0.33722580905519756
723123,treelossTF,producers,ALL,high,20,0.6924177537713633
782693,treelossTF,producers,ALL,high,18,None
889432,treelossTF,producers,ALL,high,20,0.9649944706606992
1058298,treelossTF,producers,ALL,high,19,0.6821503208759605
74185,cropnew,producers,ALL,high,15,0.35000000000000003
835151,cropnew,producers,ALL,high,19,0.7187398802622202
857008,cropnew,producers,ALL,high,20,0.3385267696573691
1085866,cropnew,producers,ALL,high,20,0.4741416101564423
1415162,cropnew,producers,ALL,high,20,0.0
1465798,cropnew,producers,ALL,high,15,0.2985423495173789
168365,oldcrop_short,producers,ALL,high,20,0.6629300609816317
490359,oldcrop_short,producers,ALL,high,20,0.8550776982194375
529881,oldcrop_short,producers,ALL,high,20,0.5339603747120714
1143507,oldcrop_short,producers,ALL,high,16,None
1402267,oldcrop_short,producers,ALL,high,20,None
1473302,oldcrop_short,producers,ALL,high,20,0.9003050068418968
481818,other,producers,ALL,high,16,0.7861342837266484
819952,other,producers,ALL,high,11,0.5462434905909686
855895,other,producers,ALL,high,15,0.05994258619656123
916424,other,producers,ALL,high,16,0.15555501229189586
1125880,other,producers,ALL,high,16,None
1159486,other,producers,ALL,high,13,0.7120626261731332
1238088,other,producers,ALL,high,8,None
1455965,other,producers,ALL,high,15,0.13243286544276034
41318,waternew,overall,ALL,high,20,0.975234829030867
97785,waternew,overall,ALL,high,20,0.9998319712190353
197293,waternew,overall,ALL,high,17,0.9998283401394962
372152,waternew,overall,ALL,high,20,0.9970774965817256
1141323,waternew,overall,ALL,high,20,0.9998410492365503
1147060,waternew,overall,ALL,high,19,0.9999806985691745
1150482,waternew,overall,ALL,high,14,0.9861588171371759
1344822,waternew,overall,ALL,high,20,0.9906769947333076
34405,treelosswet,overall,ALL,high,20,0.9885348593641302
40284,treelosswet,overall,ALL,high,20,0.9868005047184887
259801,treelosswet,overall,ALL,high,20,0.9836212668725399
815373,treelosswet,overall,ALL,high,20,0.9844691713087078
1050008,treelosswet,overall,ALL,high,20,0.39250916774756006
1348871,treelosswet,overall,ALL,high,19,0.9621572468534465
1354518,treelosswet,overall,ALL,high,18,0.9950296884280432
1398961,treelosswet,overall,ALL,high,19,0.9926829841219331
1416380,treelosswet,overall,ALL,high,19,0.8912961871211686
1422212,treelosswet,overall,ALL,high,19,0.9100418292604091
103279,builtnewalert,overall,ALL,high,20,0.9624124648241128
119116,builtnewalert,overall,ALL,high,19,0.9771298016833009
171471,builtnewalert,overall,ALL,high,20,0.9940985453844938
349802,builtnewalert,overall,ALL,high,20,0.8195356473562678
796166,builtnewalert,overall,ALL,high,20,0.9962385373889521
824841,builtnewalert,overall,ALL,high,20,0.9907333209511573
1240366,builtnewalert,overall,ALL,high,20,0.9962169036077957
1348771,builtnewalert,overall,ALL,high,20,0.9521948733986682
