block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALL,high,20,0.7533543056637797
97785,waternew,users,ALL,high,20,0.23529361687262448
197293,waternew,users,ALL,high,17,None
372152,waternew,users,ALL,high,20,0.3749999999999999
1141323,waternew,users,ALL,high,20,0.9718107446075518
1147060,waternew,users,ALL,high,19,0.9404974722867327
1150482,waternew,users,ALL,high,14,0.0
1344822,waternew,users,ALL,high,20,0.8897348612807386
34405,treelosswet,users,ALL,high,20,1.0
40284,treelosswet,users,ALL,high,20,0.8741257349615558
259801,treelosswet,users,ALL,high,20,0.909967845659164
815373,treelosswet,users,ALL,high,20,0.20147506236360144
1050008,treelosswet,users,ALL,high,20,1.0
1348871,treelosswet,users,ALL,high,19,1.0
1354518,treelosswet,users,ALL,high,18,1.0
1398961,treelosswet,users,ALL,high,19,0.7553560634075452
1416380,treelosswet,users,ALL,high,19,0.14027560509841688
1422212,treelosswet,users,ALL,high,19,1.0
103279,builtnewalert,users,ALL,high,20,None
119116,builtnewalert,users,ALL,high,19,0.6454413491645359
171471,builtnewalert,users,ALL,high,20,None
349802,builtnewalert,users,ALL,high,20,None
796166,builtnewalert,users,ALL,high,20,1.0
824841,builtnewalert,users,ALL,high,20,None
1240366,builtnewalert,users,ALL,high,20,0.9558373132552644
1348771,builtnewalert,users,ALL,high,20,0.9681905410602325
1369893,builtnewalert,users,ALL,high,20,1.0
1382159,builtnewalert,users,ALL,high,20,1.0
539283,fire,users,ALL,high,20,None
557332,fire,users,ALL,high,20,None
913366,fire,users,ALL,high,20,None
1377803,fire,users,ALL,high,20,None
1412057,fire,users,ALL,high,20,1.0
30961,treelossTF,users,ALL,high,17,1.0
35975,treelossTF,users,ALL,high,20,1.0
576420,treelossTF,users,ALL,high,19,0.7416697198080537
701068,treelossTF,users,ALL,high,14,0.8370925288519943
723123,treelossTF,users,ALL,high,20,1.0
782693,treelossTF,users,ALL,high,18,None
889432,treelossTF,users,ALL,high,20,1.0
1058298,treelossTF,users,ALL,high,19,1.0
74185,cropnew,users,ALL,high,15,None
835151,cropnew,users,ALL,high,19,None
857008,cropnew,users,ALL,high,20,0.722025082017253
1085866,cropnew,users,ALL,high,20,0.6520819820368987
1415162,cropnew,users,ALL,high,20,None
1465798,cropnew,users,ALL,high,15,None
168365,oldcrop_short,users,ALL,high,20,0.9223065740591181
490359,oldcrop_short,users,ALL,high,20,0.2529542035015246
529881,oldcrop_short,users,ALL,high,20,0.7313033942490165
1143507,oldcrop_short,users,ALL,high,16,0.9998602900776994
1402267,oldcrop_short,users,ALL,high,20,0.6708722688835047
1473302,oldcrop_short,users,ALL,high,20,None
481818,other,users,ALL,high,16,0.8615529635953157
819952,other,users,ALL,high,11,None
855895,other,users,ALL,high,15,0.7945205479452054
916424,other,users,ALL,high,16,0.7680209698558321
1125880,other,users,ALL,high,16,None
1159486,other,users,ALL,high,13,None
1238088,other,users,ALL,high,8,None
1455965,other,users,ALL,high,15,None
41318,waternew,producers,ALL,high,20,0.7473976310829399
97785,waternew,producers,ALL,high,20,1.0
197293,waternew,producers,ALL,high,17,0.0
372152,waternew,producers,ALL,high,20,0.033936651583710405
1141323,waternew,producers,ALL,high,20,0.9347826086956522
1147060,waternew,producers,ALL,high,19,None
1150482,waternew,producers,ALL,high,14,None
1344822,waternew,producers,ALL,high,20,0.6722800914455724
34405,treelosswet,producers,ALL,high,20,0.7061447606181053
40284,treelosswet,producers,ALL,high,20,0.10490252158712493
259801,treelosswet,producers,ALL,high,20,0.3499844579169799
815373,treelosswet,producers,ALL,high,20,0.01120760122182822
1050008,treelosswet,producers,ALL,high,20,0.5519669318254716
1348871,treelosswet,producers,ALL,high,19,0.38579502357042106
1354518,treelosswet,producers,ALL,high,18,0.4419171405361495
1398961,treelosswet,producers,ALL,high,19,0.40790717641421903
1416380,treelosswet,producers,ALL,high,19,0.6114810033480068
1422212,treelosswet,producers,ALL,high,19,0.4724109647410693
103279,builtnewalert,producers,ALL,high,20,0.0
119116,builtnewalert,producers,ALL,high,19,0.023856664835610008
171471,builtnewalert,producers,ALL,high,20,0.0
349802,builtnewalert,producers,ALL,high,20,0.0
796166,builtnewalert,producers,ALL,high,20,0.06441562937214233
824841,builtnewalert,producers,ALL,high,20,0.0
1240366,builtnewalert,producers,ALL,high,20,0.846153846153846
1348771,builtnewalert,producers,ALL,high,20,0.0
1369893,builtnewalert,producers,ALL,high,20,0.0
1382159,builtnewalert,producers,ALL,high,20,None
539283,fire,producers,ALL,high,20,0.0
557332,fire,producers,ALL,high,20,0.0
913366,fire,producers,ALL,high,20,0.004437087172630504
1377803,fire,producers,ALL,high,20,0.0
1412057,fire,producers,ALL,high,20,0.750697058735753
30961,treelossTF,producers,ALL,high,17,0.7688742017283258
35975,treelossTF,producers,ALL,high,20,0.0
576420,treelossTF,producers,ALL,high,19,0.28338541834466313
701068,treelossTF,producers,ALL,high,14,0.8450923910992592
723123,treelossTF,producers,ALL,high,20,0.6413167651104633
782693,treelossTF,producers,ALL,high,18,None
889432,treelossTF,producers,ALL,high,20,0.21821589730523236
1058298,treelossTF,producers,ALL,high,19,0.6383003644303615
74185,cropnew,producers,ALL,high,15,0.0
835151,cropnew,producers,ALL,high,19,0.0
857008,cropnew,producers,ALL,high,20,0.12860174471050365
1085866,cropnew,producers,ALL,high,20,0.22824911039341794
1415162,cropnew,producers,ALL,high,20,0.0
