block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALL,high,20,1.0
97785,waternew,users,ALL,high,20,None
197293,waternew,users,ALL,high,17,None
372152,waternew,users,ALL,high,20,0.9882263577668059
1141323,waternew,users,ALL,high,20,0.3326242951407554
1147060,waternew,users,ALL,high,19,1.0
1150482,waternew,users,ALL,high,14,1.0
1344822,waternew,users,ALL,high,20,0.0
34405,treelosswet,users,ALL,high,20,1.0
40284,treelosswet,users,ALL,high,20,1.0
259801,treelosswet,users,ALL,high,20,0.15259476156069632
815373,treelosswet,users,ALL,high,20,0.9474954753323687
1050008,treelosswet,users,ALL,high,20,1.0
1348871,treelosswet,users,ALL,high,19,1.0
1354518,treelosswet,users,ALL,high,18,1.0
1398961,treelosswet,users,ALL,high,19,0.23116957885956685
1416380,treelosswet,users,ALL,high,19,0.24078822926152257
1422212,treelosswet,users,ALL,high,19,0.48926434543458364
103279,builtnewalert,users,ALL,high,20,None
119116,builtnewalert,users,ALL,high,19,None
171471,builtnewalert,users,ALL,high,20,1.0
349802,builtnewalert,users,ALL,high,20,None
796166,builtnewalert,users,ALL,high,20,1.0
824841,builtnewalert,users,ALL,high,20,1.0
1240366,builtnewalert,users,ALL,high,20,0.5818761250704926
1348771,builtnewalert,users,ALL,high,20,1.0
1369893,builtnewalert,users,ALL,high,20,None
1382159,builtnewalert,users,ALL,high,20,None
539283,fire,users,ALL,high,20,1.0
557332,fire,users,ALL,high,20,0.9775768762383635
913366,fire,users,ALL,high,20,0.8653846153846155
1377803,fire,users,ALL,high,20,0.8252690806171564
1412057,fire,users,ALL,high,20,0.8342212414509782
30961,treelossTF,users,ALL,high,17,1.0
35975,treelossTF,users,ALL,high,20,1.0
576420,treelossTF,users,ALL,high,19,0.862030677374711
701068,treelossTF,users,ALL,high,18,0.9716903389273872
723123,treelossTF,users,ALL,high,20,0.865263157894737
782693,treelossTF,users,ALL,high,18,0.4695500922444749
889432,treelossTF,users,ALL,high,20,0.7490254465151972
1058298,treelossTF,users,ALL,high,19,0.8365318020368312
74185,cropnew,users,ALL,high,15,None
835151,cropnew,users,ALL,high,19,None
857008,cropnew,users,ALL,high,20,None
1085866,cropnew,users,ALL,high,20,0.0
1415162,cropnew,users,ALL,high,20,0.3066853950754758
1465798,cropnew,users,ALL,high,15,None
168365,oldcrop_short,users,ALL,high,20,0.5647153266641967
490359,oldcrop_short,users,ALL,high,20,0.9348522513819557
529881,oldcrop_short,users,ALL,high,20,0.7661962544999438
1143507,oldcrop_short,users,ALL,high,16,1.0
1402267,oldcrop_short,users,ALL,high,20,0.0
1473302,oldcrop_short,users,ALL,high,20,None
481818,other,users,ALL,high,16,0.65718087466211
819952,other,users,ALL,high,11,1.0
855895,other,users,ALL,high,15,None
916424,other,users,ALL,high,16,1.0
1125880,other,users,ALL,high,16,None
1159486,other,users,ALL,high,13,None
1238088,other,users,ALL,high,8,None
1455965,other,users,ALL,high,15,None
41318,waternew,producers,ALL,high,20,0.7403292675681494
97785,waternew,producers,ALL,high,20,0.0
197293,waternew,producers,ALL,high,17,0.9523809523809523
372152,waternew,producers,ALL,high,20,0.7937782507769597
1141323,waternew,producers,ALL,high,20,0.31249999999999994
1147060,waternew,producers,ALL,high,19,None
1150482,waternew,producers,ALL,high,14,None
1344822,waternew,producers,ALL,high,20,0.022149637854277086
34405,treelosswet,producers,ALL,high,20,0.8765061742295516
40284,treelosswet,producers,ALL,high,20,0.7679383369237416
259801,treelosswet,producers,ALL,high,20,0.6603764178459424
815373,treelosswet,producers,ALL,high,20,0.9037544855893961
1050008,treelosswet,producers,ALL,high,20,0.23796244510686945
1348871,treelosswet,producers,ALL,high,19,0.8251341068113255
1354518,treelosswet,producers,ALL,high,18,0.9587099197165285
1398961,treelosswet,producers,ALL,high,19,0.8926949064006665
1416380,treelosswet,producers,ALL,high,19,0.9190079832738761
1422212,treelosswet,producers,ALL,high,19,0.6666414678925691
103279,builtnewalert,producers,ALL,high,20,0.7028985507246376
119116,builtnewalert,producers,ALL,high,19,0.06712313111894619
171471,builtnewalert,producers,ALL,high,20,0.8769507822644328
349802,builtnewalert,producers,ALL,high,20,0.084860356417538
796166,builtnewalert,producers,ALL,high,20,0.8282538865533092
824841,builtnewalert,producers,ALL,high,20,0.31086273585206237
1240366,builtnewalert,producers,ALL,high,20,0.0
1348771,builtnewalert,producers,ALL,high,20,0.1038692794480615
1369893,builtnewalert,producers,ALL,high,20,0.390752354808801
1382159,builtnewalert,producers,ALL,high,20,None
539283,fire,producers,ALL,high,20,0.9295544272226248
557332,fire,producers,ALL,high,20,0.8378831162352349
913366,fire,producers,ALL,high,20,1.0
1377803,fire,producers,ALL,high,20,0.8193953622274435
1412057,fire,producers,ALL,high,20,0.7794477637901148
30961,treelossTF,producers,ALL,high,17,0.6495824714320209
35975,treelossTF,producers,ALL,high,20,0.881845136240049
576420,treelossTF,producers,ALL,high,19,0.8824849612904966
701068,treelossTF,producers,ALL,high,18,0.8244388491865846
723123,treelossTF,producers,ALL,high,20,0.7968912612884815
782693,treelossTF,producers,ALL,high,18,None
889432,treelossTF,producers,ALL,high,20,0.9726837902460738
1058298,treelossTF,producers,ALL,high,19,0.7410625439908546
74185,cropnew,producers,ALL,high,15,0.35000000000000003
835151,cropnew,producers,ALL,high,19,0.740337474148959
857008,cropnew,producers,ALL,high,20,0.539288585509167
1085866,cropnew,producers,ALL,high,20,0.6086899689904122
1415162,cropnew,producers,ALL,high,20,0.2865172750175379
1465798,cropnew,producers,ALL,high,15,0.5956917902396569
168365,oldcrop_short,producers,ALL,high,20,0.675940578797717
490359,oldcrop_short,producers,ALL,high,20,0.86771232763658
529881,oldcrop_short,producers,ALL,high,20,0.6256293861625002
1143507,oldcrop_short,producers,ALL,high,16,None
1402267,oldcrop_short,producers,ALL,high,20,None
1473302,oldcrop_short,producers,ALL,high,20,0.9110463229690814
481818,other,producers,ALL,high,16,0.8292261289238618
819952,other,producers,ALL,high,11,0.5719072496992023
855895,other,producers,ALL,high,15,0.43012543351526966
916424,other,producers,ALL,high,16,0.32450973722710125
1125880,other,producers,ALL,high,16,None
1159486,other,producers,ALL,high,13,0.7391021470396877
1238088,other,producers,ALL,high,8,None
1455965,other,producers,ALL,high,15,0.15888227686310916
41318,waternew,overall,ALL,high,20,0.9663652248053313
97785,waternew,overall,ALL,high,20,0.9998319712190353
197293,waternew,overall,ALL,high,17,0.9998283401394962
372152,waternew,overall,ALL,high,20,0.9965994483932215
1141323,waternew,overall,ALL,high,20,0.9996451744795045
1147060,waternew,overall,ALL,high,19,0.9999818651391693
1150482,waternew,overall,ALL,high,14,0.9867532237631869
1344822,waternew,overall,ALL,high,20,0.9906062992542061
34405,treelosswet,overall,ALL,high,20,0.9777429301851395
40284,treelosswet,overall,ALL,high,20,0.9803515593265345
259801,treelosswet,overall,ALL,high,20,0.9813771769356514
815373,treelosswet,overall,ALL,high,20,0.9840826090212617
1050008,treelosswet,overall,ALL,high,20,0.42652353951483335
1348871,treelosswet,overall,ALL,high,19,0.9587268397344738
1354518,treelosswet,overall,ALL,high,18,0.9946285593408779
1398961,treelosswet,overall,ALL,high,19,0.9513629892118358
1416380,treelosswet,overall,ALL,high,19,0.8803785853957917
1422212,treelosswet,overall,ALL,high,19,0.8967952252109427
103279,builtnewalert,overall,ALL,high,20,0.9605275874504148
119116,builtnewalert,overall,ALL,high,19,0.9784036315589377
171471,builtnewalert,overall,ALL,high,20,0.993979649486265
349802,builtnewalert,overall,ALL,high,20,0.8177382812665405
796166,builtnewalert,overall,ALL,high,20,0.9957267841327477
824841,builtnewalert,overall,ALL,high,20,0.9869094079707834
