block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALL,high,20,0.6274685377872586
97785,waternew,users,ALL,high,20,0.029721283708512212
197293,waternew,users,ALL,high,17,0.2068367712957983
372152,waternew,users,ALL,high,20,0.0886841919559026
1141323,waternew,users,ALL,high,20,0.9332683566630654
1147060,waternew,users,ALL,high,19,0.8362971343215257
1150482,waternew,users,ALL,high,14,0.026081907301850796
1344822,waternew,users,ALL,high,20,0.6858998016719887
34405,treelosswet,users,ALL,high,20,0.993085406947993
40284,treelosswet,users,ALL,high,20,0.8618059066478984
259801,treelosswet,users,ALL,high,20,0.7891807311715984
815373,treelosswet,users,ALL,high,20,0.15550969240154866
1050008,treelosswet,users,ALL,high,20,1.0
1348871,treelosswet,users,ALL,high,19,0.9995875483536021
1354518,treelosswet,users,ALL,high,18,0.625798822497624
1398961,treelosswet,users,ALL,high,19,0.8596105764609087
1416380,treelosswet,users,ALL,high,19,0.17378469596709506
1422212,treelosswet,users,ALL,high,19,0.36008437173843433
103279,builtnewalert,users,ALL,high,20,0.2489502831794214
119116,builtnewalert,users,ALL,high,19,0.607556588986212
171471,builtnewalert,users,ALL,high,20,0.0
349802,builtnewalert,users,ALL,high,20,0.9732418666837158
796166,builtnewalert,users,ALL,high,20,0.07179986233414824
824841,builtnewalert,users,ALL,high,20,0.09329558789862435
1240366,builtnewalert,users,ALL,high,20,0.023353297945793217
1348771,builtnewalert,users,ALL,high,20,0.9995194427398079
1369893,builtnewalert,users,ALL,high,20,0.05435073202963196
1382159,builtnewalert,users,ALL,high,20,0.957992346676692
539283,fire,users,ALL,high,20,1.0
557332,fire,users,ALL,high,20,None
913366,fire,users,ALL,high,20,0.0010315168057891896
1377803,fire,users,ALL,high,20,None
1412057,fire,users,ALL,high,20,0.9666098385912855
30961,treelossTF,users,ALL,high,17,1.0
35975,treelossTF,users,ALL,high,20,1.0
576420,treelossTF,users,ALL,high,19,0.44150669474909227
701068,treelossTF,users,ALL,high,13,0.7058191392187416
723123,treelossTF,users,ALL,high,20,0.39687070937568897
782693,treelossTF,users,ALL,high,18,0.01570867547304534
835445,treelossTF,users,ALL,high,18,0.3363905806532059
889432,treelossTF,users,ALL,high,20,0.9714077486490879
1058298,treelossTF,users,ALL,high,19,0.8001621099083507
74185,cropnew,users,ALL,high,15,None
835151,cropnew,users,ALL,high,20,0.6965317919075145
857008,cropnew,users,ALL,high,20,0.44330566018683004
1085866,cropnew,users,ALL,high,20,0.6876563491308102
1415162,cropnew,users,ALL,high,20,0.01944582406503571
1465798,cropnew,users,ALL,high,20,0.6702194275534087
