block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALL,high,20,0.7261643273209056
97785,waternew,users,ALL,high,20,0.2302533623987674
197293,waternew,users,ALL,high,17,1.0
372152,waternew,users,ALL,high,20,0.6398305084745762
1141323,waternew,users,ALL,high,20,0.9401667579760055
1147060,waternew,users,ALL,high,19,0.9427853208373815
1150482,waternew,users,ALL,high,14,0.0
1344822,waternew,users,ALL,high,20,0.8564228044937775
34405,treelosswet,users,ALL,high,20,1.0
40284,treelosswet,users,ALL,high,20,0.844058057030637
259801,treelosswet,users,ALL,high,20,0.9157670207208776
815373,treelosswet,users,ALL,high,20,0.21951991947328023
1050008,treelosswet,users,ALL,high,20,1.0
1348871,treelosswet,users,ALL,high,19,1.0
1354518,treelosswet,users,ALL,high,18,1.0
1398961,treelosswet,users,ALL,high,19,0.8166029335771241
1416380,treelosswet,users,ALL,high,19,0.15591876350053158
1422212,treelosswet,users,ALL,high,19,1.0
103279,builtnewalert,users,ALL,high,20,None
119116,builtnewalert,users,ALL,high,19,0.62949743882182
171471,builtnewalert,users,ALL,high,20,None
349802,builtnewalert,users,ALL,high,20,0.06130573248407643
796166,builtnewalert,users,ALL,high,20,0.28830116750059565
824841,builtnewalert,users,ALL,high,20,0.0
1240366,builtnewalert,users,ALL,high,20,0.958761316590958
1348771,builtnewalert,users,ALL,high,20,0.9765588779708948
1369893,builtnewalert,users,ALL,high,20,0.06030044431906341
1382159,builtnewalert,users,ALL,high,20,1.0
539283,fire,users,ALL,high,20,1.0
557332,fire,users,ALL,high,20,None
913366,fire,users,ALL,high,20,None
1377803,fire,users,ALL,high,20,None
1412057,fire,users,ALL,high,20,1.0
30961,treelossTF,users,ALL,high,17,1.0
35975,treelossTF,users,ALL,high,20,1.0
576420,treelossTF,users,ALL,high,19,0.742381200847317
701068,treelossTF,users,ALL,high,14,0.8370925288519943
723123,treelossTF,users,ALL,high,20,1.0
782693,treelossTF,users,ALL,high,18,None
889432,treelossTF,users,ALL,high,20,1.0
1058298,treelossTF,users,ALL,high,19,1.0
74185,cropnew,users,ALL,high,15,None
835151,cropnew,users,ALL,high,19,None
857008,cropnew,users,ALL,high,20,0.6432867970914528
1085866,cropnew,users,ALL,high,20,0.6955435707499843
1415162,cropnew,users,ALL,high,20,None
1465798,cropnew,users,ALL,high,15,0.0
168365,oldcrop_short,users,ALL,high,20,0.87697835679013
490359,oldcrop_short,users,ALL,high,20,0.2501655616670681
529881,oldcrop_short,users,ALL,high,20,0.7300423504499737
1143507,oldcrop_short,users,ALL,high,16,0.9998736612303569
1402267,oldcrop_short,users,ALL,high,20,0.6682370248854953
1473302,oldcrop_short,users,ALL,high,20,None
481818,other,users,ALL,high,16,0.8377959084480799
819952,other,users,ALL,high,11,None
855895,other,users,ALL,high,15,0.753246753246753
916424,other,users,ALL,high,16,0.7433271946318948
1125880,other,users,ALL,high,16,None
1159486,other,users,ALL,high,13,None
1455965,other,users,ALL,high,15,1.0
41318,waternew,producers,ALL,high,20,0.7563701921278557
97785,waternew,producers,ALL,high,20,1.0
197293,waternew,producers,ALL,high,17,0.0
372152,waternew,producers,ALL,high,20,0.22161298223470496
1141323,waternew,producers,ALL,high,20,0.9375
1147060,waternew,producers,ALL,high,19,None
1150482,waternew,producers,ALL,high,14,None
1344822,waternew,producers,ALL,high,20,0.7064485127012896
34405,treelosswet,producers,ALL,high,20,0.7343868444930346
40284,treelosswet,producers,ALL,high,20,0.12047817868444823
259801,treelosswet,producers,ALL,high,20,0.3637499757867258
815373,treelosswet,producers,ALL,high,20,0.010671140738733155
1050008,treelosswet,producers,ALL,high,20,0.6069920084137661
1348871,treelosswet,producers,ALL,high,19,0.4600062126983707
1354518,treelosswet,producers,ALL,high,18,0.7168968563254637
1398961,treelosswet,producers,ALL,high,19,0.49911487142573246
1416380,treelosswet,producers,ALL,high,19,0.6195564215401507
1422212,treelosswet,producers,ALL,high,19,0.5062971698246398
103279,builtnewalert,producers,ALL,high,20,0.0
119116,builtnewalert,producers,ALL,high,19,0.07413110196215017
171471,builtnewalert,producers,ALL,high,20,0.0
349802,builtnewalert,producers,ALL,high,20,0.5222063761564576
796166,builtnewalert,producers,ALL,high,20,0.06441562937214233
824841,builtnewalert,producers,ALL,high,20,0.17975020670120842
1240366,builtnewalert,producers,ALL,high,20,0.875
1348771,builtnewalert,producers,ALL,high,20,0.0
1369893,builtnewalert,producers,ALL,high,20,0.0
1382159,builtnewalert,producers,ALL,high,20,None
539283,fire,producers,ALL,high,20,0.06512427809378175
557332,fire,producers,ALL,high,20,0.0
913366,fire,producers,ALL,high,20,0.006462388823508095
1377803,fire,producers,ALL,high,20,0.0
1412057,fire,producers,ALL,high,20,0.7738302600191319
30961,treelossTF,producers,ALL,high,17,0.885817047298915
