block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALLsub,all,20,0.2358536623081698
97785,waternew,users,ALLsub,all,20,0.0414462615993762
197293,waternew,users,ALLsub,all,17,0.7873277664891803
372152,waternew,users,ALLsub,all,20,0.13414632422480635
1141323,waternew,users,ALLsub,all,20,0.9098974289283009
1147060,waternew,users,ALLsub,all,19,0.463247417873594
1150482,waternew,users,ALLsub,all,14,0.45776690289220656
1344822,waternew,users,ALLsub,all,20,0.05461409856398407
34405,treelosswet,users,ALLsub,all,20,0.9960092147762251
40284,treelosswet,users,ALLsub,all,20,0.8318228827648818
259801,treelosswet,users,ALLsub,all,20,0.23620671350151304
815373,treelosswet,users,ALLsub,all,20,0.43746901704101704
1050008,treelosswet,users,ALLsub,all,20,0.9482170822317224
1348871,treelosswet,users,ALLsub,all,20,0.8992432569937514
1354518,treelosswet,users,ALLsub,all,20,0.6348191558192634
1398961,treelosswet,users,ALLsub,all,20,0.8620881253688116
1416380,treelosswet,users,ALLsub,all,20,0.5636610276677494
1422212,treelosswet,users,ALLsub,all,19,0.3699482963815803
103279,builtnewalert,users,ALLsub,all,20,0.3081386755688317
119116,builtnewalert,users,ALLsub,all,19,0.6155857042654659
171471,builtnewalert,users,ALLsub,all,20,0.27474581315835456
349802,builtnewalert,users,ALLsub,all,20,0.43256575360290284
423727,builtnewalert,users,ALLsub,all,20,0.37860447596429486
796166,builtnewalert,users,ALLsub,all,20,0.7964987762841365
824841,builtnewalert,users,ALLsub,all,20,0.05668230398980267
1240366,builtnewalert,users,ALLsub,all,20,0.3667843598402868
1348771,builtnewalert,users,ALLsub,all,20,0.9239473034279566
1369893,builtnewalert,users,ALLsub,all,20,0.490500802576831
1382159,builtnewalert,users,ALLsub,all,20,0.560409385045663
539283,fire,users,ALLsub,all,20,0.4871606353182463
557332,fire,users,ALLsub,all,20,0.14781587155781456
913366,fire,users,ALLsub,all,20,0.10353304466942428
1377803,fire,users,ALLsub,all,20,0.10419585525821544
1412057,fire,users,ALLsub,all,20,0.8286881591991955
30961,treelossTF,users,ALLsub,all,17,0.5126849709494978
35975,treelossTF,users,ALLsub,all,20,0.05398303179100924
576420,treelossTF,users,ALLsub,all,19,0.34504176265560293
701068,treelossTF,users,ALLsub,all,14,0.7304077212851172
723123,treelossTF,users,ALLsub,all,20,0.19910691948174888
782693,treelossTF,users,ALLsub,all,18,0.12625944868734365
835445,treelossTF,users,ALLsub,all,19,0.42249016611455814
889432,treelossTF,users,ALLsub,all,20,0.401444585006271
1058298,treelossTF,users,ALLsub,all,20,0.45329159712155426
74185,cropnew,users,ALLsub,all,16,0.0030388207086745143
254365,cropnew,users,ALLsub,all,10,0.03152476381923851
835151,cropnew,users,ALLsub,all,20,0.11731901988798585
857008,cropnew,users,ALLsub,all,20,0.059513401782350955
1085866,cropnew,users,ALLsub,all,20,0.4145419109677546
1415162,cropnew,users,ALLsub,all,20,0.08418374253350194
1465798,cropnew,users,ALLsub,all,20,0.23626639938206523
1472326,cropnew,users,ALLsub,all,20,0.5220481419143476
866187,wetshort,users,ALLsub,all,20,0.6167045924234416
1386398,wetshort,users,ALLsub,all,20,0.7547040699169016
1466277,wetshort,users,ALLsub,all,20,0.5150153176538711
168365,oldcrop_short,users,ALLsub,all,20,0.47158364507936795
490359,oldcrop_short,users,ALLsub,all,20,0.144407008246867
529881,oldcrop_short,users,ALLsub,all,20,0.6128624311331179
1143507,oldcrop_short,users,ALLsub,all,16,0.9123872375902801
1402267,oldcrop_short,users,ALLsub,all,20,0.10994586017009912
1473302,oldcrop_short,users,ALLsub,all,20,0.5460858139224111
116332,gen,users,ALLsub,all,10,0.0
315306,gen,users,ALLsub,all,14,0.0058246925557599106
405544,gen,users,ALLsub,all,10,0.4015444015444015
424369,gen,users,ALLsub,all,13,0.5909868893838178
805113,gen,users,ALLsub,all,10,0.2795698924731183
806902,gen,users,ALLsub,all,8,None
860973,gen,users,ALLsub,all,11,0.2627455936892604
290917,other,users,ALLsub,all,10,0.02623094960697581
481818,other,users,ALLsub,all,16,0.5900333218629109
819952,other,users,ALLsub,all,11,0.0068307842944103385
855895,other,users,ALLsub,all,15,0.17652814364819097
916424,other,users,ALLsub,all,16,0.12823956614654253
1125880,other,users,ALLsub,all,16,0.6597280748803449
1159486,other,users,ALLsub,all,13,0.8980504177676213
1238088,other,users,ALLsub,all,8,None
1455965,other,users,ALLsub,all,16,0.7412736367052124
41318,waternew,producers,ALLsub,all,20,0.7486571769160649
97785,waternew,producers,ALLsub,all,20,0.5594196923918435
197293,waternew,producers,ALLsub,all,17,0.028447140562388888
372152,waternew,producers,ALLsub,all,20,0.27682171077346734
1141323,waternew,producers,ALLsub,all,20,0.4871964025616955
1147060,waternew,producers,ALLsub,all,19,0.8310113971227703
1150482,waternew,producers,ALLsub,all,14,0.15260159894220915
1344822,waternew,producers,ALLsub,all,20,0.7106965312399559
34405,treelosswet,producers,ALLsub,all,20,0.6645180173454336
40284,treelosswet,producers,ALLsub,all,20,0.3758377326450597
259801,treelosswet,producers,ALLsub,all,20,0.29687885598841574
815373,treelosswet,producers,ALLsub,all,20,0.27923330565974525
1050008,treelosswet,producers,ALLsub,all,20,0.8150169921715215
1348871,treelosswet,producers,ALLsub,all,20,0.05928196419418823
1354518,treelosswet,producers,ALLsub,all,20,0.22585731878671078
1398961,treelosswet,producers,ALLsub,all,20,0.49544056697668315
1416380,treelosswet,producers,ALLsub,all,20,0.5622330914992096
1422212,treelosswet,producers,ALLsub,all,19,0.5061573622251925
