block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALLsub,high,20,1.0
97785,waternew,users,ALLsub,high,20,None
197293,waternew,users,ALLsub,high,17,None
372152,waternew,users,ALLsub,high,20,1.0
1141323,waternew,users,ALLsub,high,20,None
1147060,waternew,users,ALLsub,high,19,1.0
1150482,waternew,users,ALLsub,high,14,1.0
1344822,waternew,users,ALLsub,high,20,None
34405,treelosswet,users,ALLsub,high,20,1.0
40284,treelosswet,users,ALLsub,high,20,None
259801,treelosswet,users,ALLsub,high,20,0.1102803738317757
815373,treelosswet,users,ALLsub,high,20,1.0
1050008,treelosswet,users,ALLsub,high,20,None
1348871,treelosswet,users,ALLsub,high,20,1.0
1354518,treelosswet,users,ALLsub,high,20,1.0
1398961,treelosswet,users,ALLsub,high,20,0.0
1416380,treelosswet,users,ALLsub,high,20,0.5691517934896304
1422212,treelosswet,users,ALLsub,high,19,0.43910663805632033
103279,builtnewalert,users,ALLsub,high,20,None
119116,builtnewalert,users,ALLsub,high,19,None
171471,builtnewalert,users,ALLsub,high,20,1.0
349802,builtnewalert,users,ALLsub,high,20,None
423727,builtnewalert,users,ALLsub,high,20,1.0
796166,builtnewalert,users,ALLsub,high,20,None
824841,builtnewalert,users,ALLsub,high,20,1.0
1240366,builtnewalert,users,ALLsub,high,20,1.0
1348771,builtnewalert,users,ALLsub,high,20,1.0
1369893,builtnewalert,users,ALLsub,high,20,None
1382159,builtnewalert,users,ALLsub,high,20,None
539283,fire,users,ALLsub,high,20,1.0
557332,fire,users,ALLsub,high,20,None
913366,fire,users,ALLsub,high,20,None
1377803,fire,users,ALLsub,high,20,None
1412057,fire,users,ALLsub,high,20,1.0
30961,treelossTF,users,ALLsub,high,17,1.0
35975,treelossTF,users,ALLsub,high,20,1.0
576420,treelossTF,users,ALLsub,high,19,1.0
701068,treelossTF,users,ALLsub,high,18,None
723123,treelossTF,users,ALLsub,high,20,1.0
782693,treelossTF,users,ALLsub,high,18,1.0
835445,treelossTF,users,ALLsub,high,19,None
889432,treelossTF,users,ALLsub,high,19,1.0
1058298,treelossTF,users,ALLsub,high,20,1.0
74185,cropnew,users,ALLsub,high,16,None
254365,cropnew,users,ALLsub,high,10,None
835151,cropnew,users,ALLsub,high,20,None
857008,cropnew,users,ALLsub,high,20,None
1085866,cropnew,users,ALLsub,high,20,None
1415162,cropnew,users,ALLsub,high,20,None
1465798,cropnew,users,ALLsub,high,20,1.0
1472326,cropnew,users,ALLsub,high,20,None
866187,wetshort,users,ALLsub,high,20,1.0
1386398,wetshort,users,ALLsub,high,20,None
1460357,wetshort,users,ALLsub,high,20,1.0
1466277,wetshort,users,ALLsub,high,20,None
168365,oldcrop_short,users,ALLsub,high,20,1.0
490359,oldcrop_short,users,ALLsub,high,20,1.0
529881,oldcrop_short,users,ALLsub,high,20,0.9805131401329149
1143507,oldcrop_short,users,ALLsub,high,16,1.0
1402267,oldcrop_short,users,ALLsub,high,20,0.0
1473302,oldcrop_short,users,ALLsub,high,20,None
116332,gen,users,ALLsub,high,10,None
315306,gen,users,ALLsub,high,14,1.0
405544,gen,users,ALLsub,high,10,None
424369,gen,users,ALLsub,high,13,None
805113,gen,users,ALLsub,high,10,0.6480831719989373
806902,gen,users,ALLsub,high,8,None
860973,gen,users,ALLsub,high,11,1.0
290917,other,users,ALLsub,high,10,1.0
481818,other,users,ALLsub,high,16,0.6744424472286125
819952,other,users,ALLsub,high,11,1.0
855895,other,users,ALLsub,high,15,None
916424,other,users,ALLsub,high,16,None
1125880,other,users,ALLsub,high,16,None
1159486,other,users,ALLsub,high,13,None
1238088,other,users,ALLsub,high,8,None
1455965,other,users,ALLsub,high,16,None
41318,waternew,producers,ALLsub,high,20,0.5047727001048895
97785,waternew,producers,ALLsub,high,20,0.0
197293,waternew,producers,ALLsub,high,17,0.9469026548672567
372152,waternew,producers,ALLsub,high,20,0.5898746499549072
1141323,waternew,producers,ALLsub,high,20,0.0
1147060,waternew,producers,ALLsub,high,19,None
1150482,waternew,producers,ALLsub,high,14,None
1344822,waternew,producers,ALLsub,high,20,0.0
34405,treelosswet,producers,ALLsub,high,20,0.3270838891592969
40284,treelosswet,producers,ALLsub,high,20,0.0
259801,treelosswet,producers,ALLsub,high,20,0.046293319582591516
815373,treelosswet,producers,ALLsub,high,20,0.5184180216910065
1050008,treelosswet,producers,ALLsub,high,20,0.0
1348871,treelosswet,producers,ALLsub,high,20,0.6444245513522545
1354518,treelosswet,producers,ALLsub,high,20,0.9180306763845719
1398961,treelosswet,producers,ALLsub,high,20,0.22704791667360516
1416380,treelosswet,producers,ALLsub,high,20,0.8961378620420313
1422212,treelosswet,producers,ALLsub,high,19,0.14626750371698646
103279,builtnewalert,producers,ALLsub,high,20,0.6212783970650487
119116,builtnewalert,producers,ALLsub,high,19,0.010416126480228835
171471,builtnewalert,producers,ALLsub,high,20,0.8630540600355999
349802,builtnewalert,producers,ALLsub,high,20,0.06993953450365804
423727,builtnewalert,producers,ALLsub,high,20,0.9044235410980418
796166,builtnewalert,producers,ALLsub,high,20,0.4936925760740985
824841,builtnewalert,producers,ALLsub,high,20,0.00808140728477458
1240366,builtnewalert,producers,ALLsub,high,20,0.0
1348771,builtnewalert,producers,ALLsub,high,20,0.0
1369893,builtnewalert,producers,ALLsub,high,20,0.39161979454768187
1382159,builtnewalert,producers,ALLsub,high,20,None
539283,fire,producers,ALLsub,high,20,0.7993691833654559
557332,fire,producers,ALLsub,high,20,0.050368979074119774
913366,fire,producers,ALLsub,high,20,1.0
1377803,fire,producers,ALLsub,high,20,0.0
1412057,fire,producers,ALLsub,high,20,0.05693971351083211
30961,treelossTF,producers,ALLsub,high,17,0.38251092987487495
35975,treelossTF,producers,ALLsub,high,20,0.09889746145973638
576420,treelossTF,producers,ALLsub,high,19,0.0819116441928034
701068,treelossTF,producers,ALLsub,high,18,0.0
723123,treelossTF,producers,ALLsub,high,20,0.47413206254761797
782693,treelossTF,producers,ALLsub,high,18,None
835445,treelossTF,producers,ALLsub,high,19,0.7325581395348839
889432,treelossTF,producers,ALLsub,high,19,0.9199952962185852
1058298,treelossTF,producers,ALLsub,high,20,0.15373939641120313
74185,cropnew,producers,ALLsub,high,16,0.0
254365,cropnew,producers,ALLsub,high,10,0.0
835151,cropnew,producers,ALLsub,high,20,0.7010302198111437
857008,cropnew,producers,ALLsub,high,20,0.2564758146768945
1085866,cropnew,producers,ALLsub,high,20,0.35716017398774186
1415162,cropnew,producers,ALLsub,high,20,0.0
1465798,cropnew,producers,ALLsub,high,20,0.2878933197147052
1472326,cropnew,producers,ALLsub,high,20,0.08357517983986812
866187,wetshort,producers,ALLsub,high,20,0.0
1386398,wetshort,producers,ALLsub,high,20,0.8485543093547117
1460357,wetshort,producers,ALLsub,high,20,0.6452782428959707
1466277,wetshort,producers,ALLsub,high,20,0.983644055382851
168365,oldcrop_short,producers,ALLsub,high,20,0.6473212665556454
490359,oldcrop_short,producers,ALLsub,high,20,0.789183876945823
529881,oldcrop_short,producers,ALLsub,high,20,0.45128918969339293
1143507,oldcrop_short,producers,ALLsub,high,16,None
1402267,oldcrop_short,producers,ALLsub,high,20,None
1473302,oldcrop_short,producers,ALLsub,high,20,0.8936029530889146
116332,gen,producers,ALLsub,high,10,None
315306,gen,producers,ALLsub,high,14,0.7945205479452055
405544,gen,producers,ALLsub,high,10,0.6171257365441034
424369,gen,producers,ALLsub,high,13,0.6164739709656923
805113,gen,producers,ALLsub,high,10,None
806902,gen,producers,ALLsub,high,8,None
860973,gen,producers,ALLsub,high,11,None
290917,other,producers,ALLsub,high,10,0.0
481818,other,producers,ALLsub,high,16,0.7102123001085087
819952,other,producers,ALLsub,high,11,0.5109489402441905
855895,other,producers,ALLsub,high,15,0.0073413945508335144
916424,other,producers,ALLsub,high,16,0.10849414248594864
1125880,other,producers,ALLsub,high,16,None
