block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALLsub,high,20,0.7223118125237633
97785,waternew,users,ALLsub,high,20,0.036408578266915896
197293,waternew,users,ALLsub,high,17,1.0
372152,waternew,users,ALLsub,high,20,1.0
1141323,waternew,users,ALLsub,high,20,0.9661058090228266
1147060,waternew,users,ALLsub,high,19,0.9744251603431334
1150482,waternew,users,ALLsub,high,14,0.21836132987920462
1344822,waternew,users,ALLsub,high,20,0.7016737760688189
34405,treelosswet,users,ALLsub,high,20,1.0
40284,treelosswet,users,ALLsub,high,20,0.8597565041730985
259801,treelosswet,users,ALLsub,high,20,0.9180449827830868
815373,treelosswet,users,ALLsub,high,20,0.21105473955649406
1050008,treelosswet,users,ALLsub,high,20,1.0
1348871,treelosswet,users,ALLsub,high,20,1.0
1354518,treelosswet,users,ALLsub,high,20,0.5326624744637385
1398961,treelosswet,users,ALLsub,high,20,0.7787307331442943
1416380,treelosswet,users,ALLsub,high,20,0.4732171506653316
1422212,treelosswet,users,ALLsub,high,19,0.6494431127444558
103279,builtnewalert,users,ALLsub,high,20,None
119116,builtnewalert,users,ALLsub,high,19,0.6763009291274975
171471,builtnewalert,users,ALLsub,high,20,None
349802,builtnewalert,users,ALLsub,high,20,1.0
423727,builtnewalert,users,ALLsub,high,20,0.8941242521622842
796166,builtnewalert,users,ALLsub,high,20,0.06465695109007541
824841,builtnewalert,users,ALLsub,high,20,0.15364269354169366
1240366,builtnewalert,users,ALLsub,high,20,0.6588584271137461
1348771,builtnewalert,users,ALLsub,high,20,0.9993287104224687
1369893,builtnewalert,users,ALLsub,high,20,1.0
1382159,builtnewalert,users,ALLsub,high,20,0.9532324621733149
539283,fire,users,ALLsub,high,20,1.0
557332,fire,users,ALLsub,high,20,None
913366,fire,users,ALLsub,high,20,0.0007619410448116577
1377803,fire,users,ALLsub,high,20,None
1412057,fire,users,ALLsub,high,20,1.0
30961,treelossTF,users,ALLsub,high,17,1.0
35975,treelossTF,users,ALLsub,high,20,1.0
576420,treelossTF,users,ALLsub,high,19,0.5534278744856169
701068,treelossTF,users,ALLsub,high,14,0.6608039357442302
723123,treelossTF,users,ALLsub,high,20,0.9380533000603111
782693,treelossTF,users,ALLsub,high,18,0.03636363636363636
835445,treelossTF,users,ALLsub,high,19,0.7057937188160036
889432,treelossTF,users,ALLsub,high,20,0.9706631446489385
1058298,treelossTF,users,ALLsub,high,20,0.9683908441597254
74185,cropnew,users,ALLsub,high,16,None
254365,cropnew,users,ALLsub,high,10,0.09107494642259654
835151,cropnew,users,ALLsub,high,20,0.9523809523809522
857008,cropnew,users,ALLsub,high,20,0.43275550801976775
1085866,cropnew,users,ALLsub,high,20,0.5980949635988377
1415162,cropnew,users,ALLsub,high,20,0.0
1465798,cropnew,users,ALLsub,high,20,0.8688789275774893
1472326,cropnew,users,ALLsub,high,20,0.3636363636363636
866187,wetshort,users,ALLsub,high,20,0.8686174671125272
1386398,wetshort,users,ALLsub,high,20,0.6504579064224943
1466277,wetshort,users,ALLsub,high,20,0.6399379987864973
168365,oldcrop_short,users,ALLsub,high,20,0.5733862636479541
490359,oldcrop_short,users,ALLsub,high,20,0.192735200108811
529881,oldcrop_short,users,ALLsub,high,20,0.46730957215190183
1143507,oldcrop_short,users,ALLsub,high,16,0.9999534477178066
1402267,oldcrop_short,users,ALLsub,high,20,0.35126456931481226
1473302,oldcrop_short,users,ALLsub,high,20,1.0
116332,gen,users,ALLsub,high,10,None
315306,gen,users,ALLsub,high,14,0.07425988612133119
405544,gen,users,ALLsub,high,10,None
424369,gen,users,ALLsub,high,13,0.8188504662927342
805113,gen,users,ALLsub,high,10,0.3118411620049546
806902,gen,users,ALLsub,high,8,None
860973,gen,users,ALLsub,high,11,0.6236840316110244
290917,other,users,ALLsub,high,10,1.0
481818,other,users,ALLsub,high,16,0.6993550773069558
819952,other,users,ALLsub,high,11,None
855895,other,users,ALLsub,high,15,0.8119918980411268
916424,other,users,ALLsub,high,16,0.8941989688892326
1125880,other,users,ALLsub,high,16,0.4444444444444444
1159486,other,users,ALLsub,high,13,None
1238088,other,users,ALLsub,high,8,None
1455965,other,users,ALLsub,high,16,1.0
41318,waternew,producers,ALLsub,high,20,0.9029458957145715
97785,waternew,producers,ALLsub,high,20,1.0
197293,waternew,producers,ALLsub,high,17,0.0
372152,waternew,producers,ALLsub,high,20,0.39017501326584025
1141323,waternew,producers,ALLsub,high,20,0.9565217391304348
1147060,waternew,producers,ALLsub,high,19,None
