block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALLsub,high,20,1.0
97785,waternew,users,ALLsub,high,20,None
197293,waternew,users,ALLsub,high,17,None
372152,waternew,users,ALLsub,high,20,1.0
1141323,waternew,users,ALLsub,high,20,0.3326242951407554
1147060,waternew,users,ALLsub,high,19,1.0
1150482,waternew,users,ALLsub,high,14,1.0
1344822,waternew,users,ALLsub,high,20,0.0
34405,treelosswet,users,ALLsub,high,20,1.0
40284,treelosswet,users,ALLsub,high,20,1.0
259801,treelosswet,users,ALLsub,high,20,0.15259476156069632
815373,treelosswet,users,ALLsub,high,20,0.9467825271269674
1050008,treelosswet,users,ALLsub,high,20,1.0
1348871,treelosswet,users,ALLsub,high,19,1.0
1354518,treelosswet,users,ALLsub,high,18,1.0
1398961,treelosswet,users,ALLsub,high,19,0.23341657926851866
1416380,treelosswet,users,ALLsub,high,19,0.49778530702628565
1422212,treelosswet,users,ALLsub,high,19,0.4989429022292985
103279,builtnewalert,users,ALLsub,high,20,None
119116,builtnewalert,users,ALLsub,high,19,None
171471,builtnewalert,users,ALLsub,high,20,1.0
349802,builtnewalert,users,ALLsub,high,20,None
796166,builtnewalert,users,ALLsub,high,20,1.0
824841,builtnewalert,users,ALLsub,high,20,1.0
1240366,builtnewalert,users,ALLsub,high,20,0.5866860751708379
1348771,builtnewalert,users,ALLsub,high,20,1.0
1369893,builtnewalert,users,ALLsub,high,20,None
1382159,builtnewalert,users,ALLsub,high,20,None
539283,fire,users,ALLsub,high,20,1.0
557332,fire,users,ALLsub,high,20,0.9775768762383635
913366,fire,users,ALLsub,high,20,0.8653846153846155
1377803,fire,users,ALLsub,high,20,0.8565812485314502
1412057,fire,users,ALLsub,high,20,0.8323644479486028
30961,treelossTF,users,ALLsub,high,17,1.0
35975,treelossTF,users,ALLsub,high,20,1.0
576420,treelossTF,users,ALLsub,high,19,0.862030677374711
701068,treelossTF,users,ALLsub,high,18,0.9716903389273872
723123,treelossTF,users,ALLsub,high,20,0.8596491228070177
782693,treelossTF,users,ALLsub,high,18,1.0
835445,treelossTF,users,ALLsub,high,19,1.0
889432,treelossTF,users,ALLsub,high,20,0.9115950922477384
1058298,treelossTF,users,ALLsub,high,19,0.8365318020368312
74185,cropnew,users,ALLsub,high,15,None
835151,cropnew,users,ALLsub,high,19,None
857008,cropnew,users,ALLsub,high,20,None
1085866,cropnew,users,ALLsub,high,20,0.0
1415162,cropnew,users,ALLsub,high,20,0.3010938040452038
1465798,cropnew,users,ALLsub,high,16,None
168365,oldcrop_short,users,ALLsub,high,20,0.4967570914858713
490359,oldcrop_short,users,ALLsub,high,20,0.9796210037600793
529881,oldcrop_short,users,ALLsub,high,20,0.7675491590963669
1143507,oldcrop_short,users,ALLsub,high,16,1.0
1402267,oldcrop_short,users,ALLsub,high,20,0.0
1473302,oldcrop_short,users,ALLsub,high,20,None
481818,other,users,ALLsub,high,16,0.65718087466211
819952,other,users,ALLsub,high,11,1.0
855895,other,users,ALLsub,high,15,None
916424,other,users,ALLsub,high,16,1.0
1125880,other,users,ALLsub,high,16,1.0
1159486,other,users,ALLsub,high,13,None
1238088,other,users,ALLsub,high,8,None
1455965,other,users,ALLsub,high,15,None
41318,waternew,producers,ALLsub,high,20,0.694661174032779
97785,waternew,producers,ALLsub,high,20,0.0
197293,waternew,producers,ALLsub,high,17,0.9523809523809523
372152,waternew,producers,ALLsub,high,20,0.7827041262663963
1141323,waternew,producers,ALLsub,high,20,0.31249999999999994
1147060,waternew,producers,ALLsub,high,19,None
1150482,waternew,producers,ALLsub,high,14,None
1344822,waternew,producers,ALLsub,high,20,0.02192546031989381
34405,treelosswet,producers,ALLsub,high,20,0.8685535070263743
40284,treelosswet,producers,ALLsub,high,20,0.765167685727691
259801,treelosswet,producers,ALLsub,high,20,0.6603764178459424
815373,treelosswet,producers,ALLsub,high,20,0.903529311596657
1050008,treelosswet,producers,ALLsub,high,20,0.23796244510686945
1348871,treelosswet,producers,ALLsub,high,19,0.8309901332895454
1354518,treelosswet,producers,ALLsub,high,18,0.9587402843834663
1398961,treelosswet,producers,ALLsub,high,19,0.881397971611499
1416380,treelosswet,producers,ALLsub,high,19,0.9191038391966522
1422212,treelosswet,producers,ALLsub,high,19,0.6561319194655324
103279,builtnewalert,producers,ALLsub,high,20,0.6978417266187049
119116,builtnewalert,producers,ALLsub,high,19,0.07072549110769971
171471,builtnewalert,producers,ALLsub,high,20,0.8841198049925395
349802,builtnewalert,producers,ALLsub,high,20,0.08310427802918112
796166,builtnewalert,producers,ALLsub,high,20,0.8282538865533092
824841,builtnewalert,producers,ALLsub,high,20,0.2977262851590917
1240366,builtnewalert,producers,ALLsub,high,20,0.0
1348771,builtnewalert,producers,ALLsub,high,20,0.12932709387799218
1369893,builtnewalert,producers,ALLsub,high,20,0.390752354808801
1382159,builtnewalert,producers,ALLsub,high,20,None
539283,fire,producers,ALLsub,high,20,0.9295544272226248
557332,fire,producers,ALLsub,high,20,0.8402548319099068
913366,fire,producers,ALLsub,high,20,1.0
1377803,fire,producers,ALLsub,high,20,0.8193953622274435
1412057,fire,producers,ALLsub,high,20,0.7708723499977259
30961,treelossTF,producers,ALLsub,high,17,0.6484330033365753
35975,treelossTF,producers,ALLsub,high,20,0.8758843220942608
576420,treelossTF,producers,ALLsub,high,19,0.8824849612904966
701068,treelossTF,producers,ALLsub,high,18,0.8244388491865846
723123,treelossTF,producers,ALLsub,high,20,0.7968912612884815
782693,treelossTF,producers,ALLsub,high,18,None
835445,treelossTF,producers,ALLsub,high,19,0.7934302058902166
889432,treelossTF,producers,ALLsub,high,20,0.9726837902460738
1058298,treelossTF,producers,ALLsub,high,19,0.7410625439908546
74185,cropnew,producers,ALLsub,high,15,0.35000000000000003
835151,cropnew,producers,ALLsub,high,19,0.7308747092556801
857008,cropnew,producers,ALLsub,high,20,0.5165960478421433
1085866,cropnew,producers,ALLsub,high,20,0.6086226569588364
1415162,cropnew,producers,ALLsub,high,20,0.2868547429910179
1465798,cropnew,producers,ALLsub,high,16,0.5965341251002207
168365,oldcrop_short,producers,ALLsub,high,20,0.6637728888409636
490359,oldcrop_short,producers,ALLsub,high,20,0.8622180538089768
529881,oldcrop_short,producers,ALLsub,high,20,0.6256293861625002
1143507,oldcrop_short,producers,ALLsub,high,16,None
1402267,oldcrop_short,producers,ALLsub,high,20,None
1473302,oldcrop_short,producers,ALLsub,high,20,0.9089021881976636
481818,other,producers,ALLsub,high,16,0.8183169436848253
819952,other,producers,ALLsub,high,11,0.5929834333931628
855895,other,producers,ALLsub,high,15,0.35621367046282054
916424,other,producers,ALLsub,high,16,0.2753998993669479
1125880,other,producers,ALLsub,high,16,None
1159486,other,producers,ALLsub,high,13,0.7170208289501369
1238088,other,producers,ALLsub,high,8,None
1455965,other,producers,ALLsub,high,15,0.15888227686310916
41318,waternew,overall,ALLsub,high,20,0.9714792683205465
97785,waternew,overall,ALLsub,high,20,0.9998319712190353
197293,waternew,overall,ALLsub,high,17,0.9998283401394962
372152,waternew,overall,ALLsub,high,20,0.9965129295261207
1141323,waternew,overall,ALLsub,high,20,0.9996451744795046
1147060,waternew,overall,ALLsub,high,19,0.9999818651391693
1150482,waternew,overall,ALLsub,high,14,0.9881361289747222
1344822,waternew,overall,ALLsub,high,20,0.9905103300088905
34405,treelosswet,overall,ALLsub,high,20,0.977474430701285
40284,treelosswet,overall,ALLsub,high,20,0.9817006014687402
259801,treelosswet,overall,ALLsub,high,20,0.9813771769356514
815373,treelosswet,overall,ALLsub,high,20,0.9841266236933125
1050008,treelosswet,overall,ALLsub,high,20,0.42652353951483335
1348871,treelosswet,overall,ALLsub,high,19,0.9618605783918068
1354518,treelosswet,overall,ALLsub,high,18,0.9948195539560475
1398961,treelosswet,overall,ALLsub,high,19,0.9509125070455591
1416380,treelosswet,overall,ALLsub,high,19,0.8727345264993043
