block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALLsub,high,20,0.694330810736561
97785,waternew,users,ALLsub,high,20,0.034982311640870234
197293,waternew,users,ALLsub,high,17,0.9625888175069803
372152,waternew,users,ALLsub,high,20,0.10783751740897805
1141323,waternew,users,ALLsub,high,20,0.9696112895647007
1147060,waternew,users,ALLsub,high,19,0.9793127402845753
1150482,waternew,users,ALLsub,high,14,0.25939173251095016
1344822,waternew,users,ALLsub,high,20,0.6954685369328732
34405,treelosswet,users,ALLsub,high,20,1.0
40284,treelosswet,users,ALLsub,high,20,0.860906868914191
259801,treelosswet,users,ALLsub,high,20,0.7914189897949491
815373,treelosswet,users,ALLsub,high,20,0.20279663613501597
1050008,treelosswet,users,ALLsub,high,20,1.0
1348871,treelosswet,users,ALLsub,high,20,0.999540136600119
1354518,treelosswet,users,ALLsub,high,20,0.625798822497624
1398961,treelosswet,users,ALLsub,high,20,0.8612489356635353
1416380,treelosswet,users,ALLsub,high,20,0.5014992906128034
1422212,treelosswet,users,ALLsub,high,19,0.875519936266828
103279,builtnewalert,users,ALLsub,high,20,0.24896964226248036
119116,builtnewalert,users,ALLsub,high,19,0.6499639108928239
171471,builtnewalert,users,ALLsub,high,20,0.0
349802,builtnewalert,users,ALLsub,high,20,0.9791438470928346
423727,builtnewalert,users,ALLsub,high,20,0.8299344282300449
796166,builtnewalert,users,ALLsub,high,20,0.07179986233414824
824841,builtnewalert,users,ALLsub,high,20,0.11826689767074684
1240366,builtnewalert,users,ALLsub,high,20,0.6790792857789277
1348771,builtnewalert,users,ALLsub,high,20,0.9995194427398079
1369893,builtnewalert,users,ALLsub,high,20,0.7401273036979562
1382159,builtnewalert,users,ALLsub,high,20,0.9523081582554912
539283,fire,users,ALLsub,high,20,1.0
557332,fire,users,ALLsub,high,20,None
913366,fire,users,ALLsub,high,20,0.0010315168057891896
1377803,fire,users,ALLsub,high,20,None
1412057,fire,users,ALLsub,high,20,0.9657499833377003
30961,treelossTF,users,ALLsub,high,17,1.0
35975,treelossTF,users,ALLsub,high,20,1.0
576420,treelossTF,users,ALLsub,high,19,0.5431681601153587
701068,treelossTF,users,ALLsub,high,14,0.6874081171672587
723123,treelossTF,users,ALLsub,high,20,0.38762867640016396
782693,treelossTF,users,ALLsub,high,18,0.047619047619047616
835445,treelossTF,users,ALLsub,high,19,0.6978021561432972
889432,treelossTF,users,ALLsub,high,20,0.9718875659862491
1058298,treelossTF,users,ALLsub,high,20,0.7998070710689802
74185,cropnew,users,ALLsub,high,16,None
254365,cropnew,users,ALLsub,high,10,0.08306299870972625
835151,cropnew,users,ALLsub,high,20,0.9166666666666667
857008,cropnew,users,ALLsub,high,20,0.44330566018683004
1085866,cropnew,users,ALLsub,high,20,0.6876563491308102
1415162,cropnew,users,ALLsub,high,20,0.01944582406503571
1465798,cropnew,users,ALLsub,high,20,0.7201924078537975
1472326,cropnew,users,ALLsub,high,20,0.43750000000000006
866187,wetshort,users,ALLsub,high,20,0.7099509987794915
1386398,wetshort,users,ALLsub,high,20,0.6667677604364047
1466277,wetshort,users,ALLsub,high,20,0.661814306399434
168365,oldcrop_short,users,ALLsub,high,20,0.5500930733086229
490359,oldcrop_short,users,ALLsub,high,20,0.18006179326113
529881,oldcrop_short,users,ALLsub,high,20,0.48649147853323427
1143507,oldcrop_short,users,ALLsub,high,16,0.9999549707607309
1402267,oldcrop_short,users,ALLsub,high,20,0.37818938926588525
1473302,oldcrop_short,users,ALLsub,high,20,0.7676693279910438
116332,gen,users,ALLsub,high,10,0.0
315306,gen,users,ALLsub,high,14,0.04618939703268115
405544,gen,users,ALLsub,high,10,None
424369,gen,users,ALLsub,high,13,0.14299349458014496
805113,gen,users,ALLsub,high,10,0.29707112970711297
806902,gen,users,ALLsub,high,8,None
860973,gen,users,ALLsub,high,11,0.4382340884825971
290917,other,users,ALLsub,high,10,1.0
481818,other,users,ALLsub,high,16,0.6679011259025127
819952,other,users,ALLsub,high,11,1.0
855895,other,users,ALLsub,high,15,0.7783251231527092
916424,other,users,ALLsub,high,16,0.2249057336216998
1125880,other,users,ALLsub,high,16,0.5652173913043478
1159486,other,users,ALLsub,high,13,None
1238088,other,users,ALLsub,high,8,None
1455965,other,users,ALLsub,high,16,1.0
41318,waternew,producers,ALLsub,high,20,0.9286452821467235
97785,waternew,producers,ALLsub,high,20,1.0
197293,waternew,producers,ALLsub,high,17,0.5
372152,waternew,producers,ALLsub,high,20,0.5246478873239435
