block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,ALLsub,high,20,0.7242225882085276
97785,waternew,users,ALLsub,high,20,0.03614682344282218
197293,waternew,users,ALLsub,high,17,0.9913999124530832
372152,waternew,users,ALLsub,high,20,1.0
1141323,waternew,users,ALLsub,high,20,0.9693572719285272
1147060,waternew,users,ALLsub,high,19,0.9790947072304529
1150482,waternew,users,ALLsub,high,14,0.27479374974482335
1344822,waternew,users,ALLsub,high,20,0.6958064670200639
34405,treelosswet,users,ALLsub,high,20,0.9819658374899147
40284,treelosswet,users,ALLsub,high,20,0.8611362744100827
259801,treelosswet,users,ALLsub,high,20,0.8460895600614478
815373,treelosswet,users,ALLsub,high,20,0.2038213974798635
1050008,treelosswet,users,ALLsub,high,20,1.0
1348871,treelosswet,users,ALLsub,high,20,0.9995560521684225
1354518,treelosswet,users,ALLsub,high,20,0.641577106474074
1398961,treelosswet,users,ALLsub,high,20,0.8403266677323563
1416380,treelosswet,users,ALLsub,high,20,0.5179265256957216
1422212,treelosswet,users,ALLsub,high,19,0.3136016348123709
103279,builtnewalert,users,ALLsub,high,20,0.6666666666666667
119116,builtnewalert,users,ALLsub,high,19,0.6497646599579832
171471,builtnewalert,users,ALLsub,high,20,None
349802,builtnewalert,users,ALLsub,high,20,0.9867526314082002
423727,builtnewalert,users,ALLsub,high,20,0.8514792392773896
796166,builtnewalert,users,ALLsub,high,20,0.06470709859982844
824841,builtnewalert,users,ALLsub,high,20,0.16487055154078642
1240366,builtnewalert,users,ALLsub,high,20,0.6798028855204911
1348771,builtnewalert,users,ALLsub,high,20,0.9994986200459557
1369893,builtnewalert,users,ALLsub,high,20,0.7766247632371863
1382159,builtnewalert,users,ALLsub,high,20,0.9633582046395056
539283,fire,users,ALLsub,high,20,1.0
557332,fire,users,ALLsub,high,20,None
913366,fire,users,ALLsub,high,20,0.0011002089339081221
1377803,fire,users,ALLsub,high,20,None
1412057,fire,users,ALLsub,high,20,1.0
30961,treelossTF,users,ALLsub,high,17,1.0
35975,treelossTF,users,ALLsub,high,20,1.0
576420,treelossTF,users,ALLsub,high,19,0.5456674401620355
701068,treelossTF,users,ALLsub,high,14,0.6492193403311999
723123,treelossTF,users,ALLsub,high,20,0.9453574562039139
782693,treelossTF,users,ALLsub,high,18,0.034482758620689655
835445,treelossTF,users,ALLsub,high,19,0.7085303090134945
889432,treelossTF,users,ALLsub,high,20,0.9705135050541738
1058298,treelossTF,users,ALLsub,high,20,0.8882290551399591
74185,cropnew,users,ALLsub,high,16,None
254365,cropnew,users,ALLsub,high,10,0.08481259733703225
835151,cropnew,users,ALLsub,high,20,0.9130434782608694
857008,cropnew,users,ALLsub,high,20,0.43334878650577924
1085866,cropnew,users,ALLsub,high,20,0.6622381143250649
1415162,cropnew,users,ALLsub,high,20,0.02045418045726912
1465798,cropnew,users,ALLsub,high,20,0.7412398058148588
1472326,cropnew,users,ALLsub,high,20,0.39443155452436196
866187,wetshort,users,ALLsub,high,20,0.7924625866457945
1386398,wetshort,users,ALLsub,high,20,0.6683451032379591
1466277,wetshort,users,ALLsub,high,20,0.6594204092177597
168365,oldcrop_short,users,ALLsub,high,20,0.6271955368683791
490359,oldcrop_short,users,ALLsub,high,20,0.18288018070247722
529881,oldcrop_short,users,ALLsub,high,20,0.4422185491560593
1143507,oldcrop_short,users,ALLsub,high,16,0.9999557988634317
1402267,oldcrop_short,users,ALLsub,high,20,0.3419785618151728
1473302,oldcrop_short,users,ALLsub,high,20,0.8190402651086807
116332,gen,users,ALLsub,high,10,None
