block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,all,20,0.7225427939650371
97785,waternew,users,VL,all,20,0.31951414357378943
197293,waternew,users,VL,all,17,None
372152,waternew,users,VL,all,20,0.3
1141323,waternew,users,VL,all,20,0.8705965910319393
1147060,waternew,users,VL,all,19,0.9404974722867327
1150482,waternew,users,VL,all,14,0.0
1344822,waternew,users,VL,all,20,0.6359604642701365
34405,treelosswet,users,VL,all,20,1.0
40284,treelosswet,users,VL,all,20,0.8741257349615558
259801,treelosswet,users,VL,all,20,0.4470276674804988
815373,treelosswet,users,VL,all,20,0.20147506236360144
1050008,treelosswet,users,VL,all,20,1.0
1348871,treelosswet,users,VL,all,19,0.0
1354518,treelosswet,users,VL,all,18,1.0
1398961,treelosswet,users,VL,all,19,0.7575928188066443
1416380,treelosswet,users,VL,all,19,0.27610159377317967
1422212,treelosswet,users,VL,all,19,0.3308115846723831
103279,builtnewalert,users,VL,all,20,0.21428571428571425
119116,builtnewalert,users,VL,all,19,0.6460709128270599
171471,builtnewalert,users,VL,all,20,None
349802,builtnewalert,users,VL,all,20,None
796166,builtnewalert,users,VL,all,20,0.0
824841,builtnewalert,users,VL,all,20,0.0
1240366,builtnewalert,users,VL,all,20,0.01565858634527717
1348771,builtnewalert,users,VL,all,20,0.9990353936129354
1369893,builtnewalert,users,VL,all,20,1.0
1382159,builtnewalert,users,VL,all,20,1.0
539283,fire,users,VL,all,20,None
557332,fire,users,VL,all,20,None
913366,fire,users,VL,all,20,1.0
1377803,fire,users,VL,all,20,None
1412057,fire,users,VL,all,20,1.0
30961,treelossTF,users,VL,all,17,0.5797328002041222
35975,treelossTF,users,VL,all,20,1.0
576420,treelossTF,users,VL,all,19,0.44427968046706395
701068,treelossTF,users,VL,all,15,0.8061597170693161
723123,treelossTF,users,VL,all,20,1.0
782693,treelossTF,users,VL,all,18,0.0
889432,treelossTF,users,VL,all,20,1.0
1058298,treelossTF,users,VL,all,19,1.0
74185,cropnew,users,VL,all,15,None
835151,cropnew,users,VL,all,19,None
857008,cropnew,users,VL,all,20,0.38419695201062226
1085866,cropnew,users,VL,all,20,0.6520819820368987
1415162,cropnew,users,VL,all,20,None
1465798,cropnew,users,VL,all,15,None
168365,oldcrop_short,users,VL,all,20,0.4404695318468804
490359,oldcrop_short,users,VL,all,20,0.17605090409475746
529881,oldcrop_short,users,VL,all,20,0.6224714076935983
1143507,oldcrop_short,users,VL,all,16,0.999915166282047
1402267,oldcrop_short,users,VL,all,20,0.6708722688835047
1473302,oldcrop_short,users,VL,all,20,None
481818,other,users,VL,all,16,0.8199170457224231
819952,other,users,VL,all,11,None
855895,other,users,VL,all,15,0.7945205479452054
916424,other,users,VL,all,16,0.7680209698558321
1125880,other,users,VL,all,16,None
1159486,other,users,VL,all,13,None
1238088,other,users,VL,all,8,None
1455965,other,users,VL,all,15,1.0
41318,waternew,producers,VL,all,20,0.628562179010808
97785,waternew,producers,VL,all,20,0.1681715089098682
197293,waternew,producers,VL,all,17,0.0
372152,waternew,producers,VL,all,20,0.013555722543853394
1141323,waternew,producers,VL,all,20,0.28667282458700505
1147060,waternew,producers,VL,all,19,0.6448977807983245
1150482,waternew,producers,VL,all,14,0.0
1344822,waternew,producers,VL,all,20,0.49532561266675174
34405,treelosswet,producers,VL,all,20,0.6061037952598047
40284,treelosswet,producers,VL,all,20,0.06330709917789125
259801,treelosswet,producers,VL,all,20,0.10282102110571337
815373,treelosswet,producers,VL,all,20,0.036799164650344225
1050008,treelosswet,producers,VL,all,20,0.521056494460205
1348871,treelosswet,producers,VL,all,19,0.0
1354518,treelosswet,producers,VL,all,18,0.02889903910695666
1398961,treelosswet,producers,VL,all,19,0.2734141395302891
1416380,treelosswet,producers,VL,all,19,0.28883718287067967
