block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,all,20,0.20476999163828571
97785,waternew,users,VL,all,20,0.029904094941033053
197293,waternew,users,VL,all,17,0.02253619915231338
372152,waternew,users,VL,all,20,0.09382611052749357
1141323,waternew,users,VL,all,20,0.5032507914539334
1147060,waternew,users,VL,all,19,0.22250259812683115
1150482,waternew,users,VL,all,14,0.10525027693700255
1344822,waternew,users,VL,all,20,0.031501025712070266
34405,treelosswet,users,VL,all,20,0.9920823623588103
40284,treelosswet,users,VL,all,20,0.6350278649298975
259801,treelosswet,users,VL,all,20,0.14449357820253733
815373,treelosswet,users,VL,all,20,0.40465321411458655
1050008,treelosswet,users,VL,all,20,0.9482170822317224
1348871,treelosswet,users,VL,all,19,0.16152136244398205
1354518,treelosswet,users,VL,all,18,0.451960553893254
1398961,treelosswet,users,VL,all,19,0.8074693962070293
1416380,treelosswet,users,VL,all,19,0.36320971102254024
1422212,treelosswet,users,VL,all,19,0.15685218364189565
103279,builtnewalert,users,VL,all,20,0.10506170662517923
119116,builtnewalert,users,VL,all,19,0.571723038315533
171471,builtnewalert,users,VL,all,20,0.0015409098990750254
349802,builtnewalert,users,VL,all,20,0.015335579159135642
796166,builtnewalert,users,VL,all,20,0.043545547492464615
824841,builtnewalert,users,VL,all,20,0.04218309927313905
1240366,builtnewalert,users,VL,all,20,0.018647028075830782
1348771,builtnewalert,users,VL,all,20,0.8627511164237942
1369893,builtnewalert,users,VL,all,20,0.02367443538847021
1382159,builtnewalert,users,VL,all,20,0.5374190081518392
539283,fire,users,VL,all,20,0.4606596283246021
557332,fire,users,VL,all,20,0.13772437601974782
913366,fire,users,VL,all,20,0.10353304466942428
1377803,fire,users,VL,all,20,0.09440052359764811
1412057,fire,users,VL,all,20,0.7902682848948299
30961,treelossTF,users,VL,all,17,0.10822300048142068
35975,treelossTF,users,VL,all,20,0.05347935746129237
576420,treelossTF,users,VL,all,19,0.27685012316379304
701068,treelossTF,users,VL,all,14,0.6468135369453347
723123,treelossTF,users,VL,all,20,0.18735862839012493
782693,treelossTF,users,VL,all,18,0.07839125941633365
835445,treelossTF,users,VL,all,18,0.05759072228687134
889432,treelossTF,users,VL,all,20,0.3439728656818542
1058298,treelossTF,users,VL,all,19,0.449619648002484
74185,cropnew,users,VL,all,15,0.003646613206863405
835151,cropnew,users,VL,all,20,0.018272600846223546
857008,cropnew,users,VL,all,20,0.04780321198786446
1085866,cropnew,users,VL,all,20,0.37493709167951106
1415162,cropnew,users,VL,all,20,0.05672252846359246
1465798,cropnew,users,VL,all,20,0.05642558457953383
1472326,cropnew,users,VL,all,20,0.024020077847993905
866187,wetshort,users,VL,all,20,0.5654075203925294
