block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,high,20,0.5489390481673264
97785,waternew,users,VL,high,20,None
197293,waternew,users,VL,high,17,None
372152,waternew,users,VL,high,20,0.987040385774563
1141323,waternew,users,VL,high,20,0.8408602150537633
1147060,waternew,users,VL,high,19,1.0
1150482,waternew,users,VL,high,14,1.0
1344822,waternew,users,VL,high,20,None
34405,treelosswet,users,VL,high,20,1.0
40284,treelosswet,users,VL,high,20,None
259801,treelosswet,users,VL,high,20,0.20936239179792562
815373,treelosswet,users,VL,high,20,0.9352355473628625
1050008,treelosswet,users,VL,high,20,1.0
1348871,treelosswet,users,VL,high,19,1.0
1354518,treelosswet,users,VL,high,18,0.10956499361230845
1398961,treelosswet,users,VL,high,19,0.546428313199604
1416380,treelosswet,users,VL,high,19,0.04395455017656392
1422212,treelosswet,users,VL,high,19,0.5852516590401048
103279,builtnewalert,users,VL,high,20,None
119116,builtnewalert,users,VL,high,19,None
171471,builtnewalert,users,VL,high,20,0.31448844129091325
349802,builtnewalert,users,VL,high,20,None
796166,builtnewalert,users,VL,high,20,0.9986954779727679
824841,builtnewalert,users,VL,high,20,1.0
1240366,builtnewalert,users,VL,high,20,1.0
1348771,builtnewalert,users,VL,high,20,1.0
1369893,builtnewalert,users,VL,high,20,None
1382159,builtnewalert,users,VL,high,20,None
539283,fire,users,VL,high,20,1.0
557332,fire,users,VL,high,20,1.0
913366,fire,users,VL,high,20,0.9782608695652174
1377803,fire,users,VL,high,20,0.9972477993049412
1412057,fire,users,VL,high,20,1.0
30961,treelossTF,users,VL,high,17,1.0
35975,treelossTF,users,VL,high,20,1.0
576420,treelossTF,users,VL,high,19,1.0
701068,treelossTF,users,VL,high,18,0.9442688236575916
723123,treelossTF,users,VL,high,20,0.7948717948717949
782693,treelossTF,users,VL,high,18,0.5142252699377673
889432,treelossTF,users,VL,high,20,0.8070037688192012
1058298,treelossTF,users,VL,high,19,0.809904368335411
74185,cropnew,users,VL,high,15,None
835151,cropnew,users,VL,high,19,None
857008,cropnew,users,VL,high,20,None
1085866,cropnew,users,VL,high,20,0.0
1415162,cropnew,users,VL,high,20,0.0
1465798,cropnew,users,VL,high,15,None
168365,oldcrop_short,users,VL,high,20,0.33803769859566846
490359,oldcrop_short,users,VL,high,20,0.37290558698478526
529881,oldcrop_short,users,VL,high,20,0.7051000833577371
1143507,oldcrop_short,users,VL,high,16,1.0
1402267,oldcrop_short,users,VL,high,20,0.0
1473302,oldcrop_short,users,VL,high,20,None
481818,other,users,VL,high,16,0.5492836562920631
819952,other,users,VL,high,11,1.0
855895,other,users,VL,high,15,None
916424,other,users,VL,high,16,None
1125880,other,users,VL,high,16,None
1159486,other,users,VL,high,13,None
1238088,other,users,VL,high,8,None
1455965,other,users,VL,high,15,None
41318,waternew,producers,VL,high,20,0.6001730648671422
97785,waternew,producers,VL,high,20,None
197293,waternew,producers,VL,high,17,0.9495798319327731
372152,waternew,producers,VL,high,20,0.815802080151879
1141323,waternew,producers,VL,high,20,0.0
1147060,waternew,producers,VL,high,19,None
1150482,waternew,producers,VL,high,14,None
1344822,waternew,producers,VL,high,20,0.0
34405,treelosswet,producers,VL,high,20,0.8158357918492185
40284,treelosswet,producers,VL,high,20,0.5481787394274495
259801,treelosswet,producers,VL,high,20,0.24125807528905044
815373,treelosswet,producers,VL,high,20,0.8913693353566686
1050008,treelosswet,producers,VL,high,20,0.11066738858739018
1348871,treelosswet,producers,VL,high,19,0.6551558391839796
1354518,treelosswet,producers,VL,high,18,0.926035308535198
1398961,treelosswet,producers,VL,high,19,0.6237160489203972
1416380,treelosswet,producers,VL,high,19,0.9017938123853629
1422212,treelosswet,producers,VL,high,19,0.6374771935055095
103279,builtnewalert,producers,VL,high,20,0.0
119116,builtnewalert,producers,VL,high,19,0.014927322926313661
171471,builtnewalert,producers,VL,high,20,0.31090358780793537
349802,builtnewalert,producers,VL,high,20,0.654584618957863
796166,builtnewalert,producers,VL,high,20,0.7647165747172447
824841,builtnewalert,producers,VL,high,20,0.009389916939255553
1240366,builtnewalert,producers,VL,high,20,0.0
1348771,builtnewalert,producers,VL,high,20,0.0
1369893,builtnewalert,producers,VL,high,20,0.3911855937998633
1382159,builtnewalert,producers,VL,high,20,None
539283,fire,producers,VL,high,20,0.9185360312608971
557332,fire,producers,VL,high,20,0.7936325812907326
913366,fire,producers,VL,high,20,1.0
1377803,fire,producers,VL,high,20,0.6375529238599327
1412057,fire,producers,VL,high,20,0.6979323281896335
30961,treelossTF,producers,VL,high,17,0.5703252139845945
35975,treelossTF,producers,VL,high,20,0.20750168845681868
576420,treelossTF,producers,VL,high,19,0.8564048094885375
701068,treelossTF,producers,VL,high,18,0.33722580905519756
723123,treelossTF,producers,VL,high,20,0.6924177537713633
782693,treelossTF,producers,VL,high,18,None
889432,treelossTF,producers,VL,high,20,0.9649944706606992
1058298,treelossTF,producers,VL,high,19,0.6821503208759605
74185,cropnew,producers,VL,high,15,None
835151,cropnew,producers,VL,high,19,0.5008862794411593
857008,cropnew,producers,VL,high,20,0.3474852953907184
