block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,high,20,0.9741335851926822
97785,waternew,users,VL,high,20,0.7910239400838366
197293,waternew,users,VL,high,17,1.0
372152,waternew,users,VL,high,20,0.9559938850302924
1141323,waternew,users,VL,high,20,0.9816979119459572
1147060,waternew,users,VL,high,19,1.0
1150482,waternew,users,VL,high,14,None
1344822,waternew,users,VL,high,20,0.7001576576570717
34405,treelosswet,users,VL,high,20,1.0
40284,treelosswet,users,VL,high,20,0.8317961994117272
259801,treelosswet,users,VL,high,20,0.599785436235303
815373,treelosswet,users,VL,high,20,0.944198403358565
1050008,treelosswet,users,VL,high,20,0.9855056392260267
1348871,treelosswet,users,VL,high,19,1.0
1354518,treelosswet,users,VL,high,18,1.0
1398961,treelosswet,users,VL,high,19,0.6213034648465918
1416380,treelosswet,users,VL,high,19,0.21663857073977769
1422212,treelosswet,users,VL,high,19,0.8152323833452483
103279,builtnewalert,users,VL,high,20,0.9740259740259741
119116,builtnewalert,users,VL,high,19,None
171471,builtnewalert,users,VL,high,20,1.0
349802,builtnewalert,users,VL,high,20,1.0
796166,builtnewalert,users,VL,high,20,1.0
824841,builtnewalert,users,VL,high,20,1.0
1240366,builtnewalert,users,VL,high,20,1.0
1348771,builtnewalert,users,VL,high,20,0.9347713435933707
1369893,builtnewalert,users,VL,high,20,1.0
1382159,builtnewalert,users,VL,high,20,1.0
539283,fire,users,VL,high,20,1.0
557332,fire,users,VL,high,20,1.0
913366,fire,users,VL,high,20,0.9522581258169762
1377803,fire,users,VL,high,20,0.9940141966026418
1412057,fire,users,VL,high,20,1.0
30961,treelossTF,users,VL,high,17,1.0
35975,treelossTF,users,VL,high,20,1.0
576420,treelossTF,users,VL,high,19,0.6962066081424574
701068,treelossTF,users,VL,high,18,0.8837643817787968
723123,treelossTF,users,VL,high,20,1.0
782693,treelossTF,users,VL,high,18,0.4805580920315225
889432,treelossTF,users,VL,high,20,0.9913945463147656
1058298,treelossTF,users,VL,high,19,1.0
74185,cropnew,users,VL,high,15,0.9406943105110895
835151,cropnew,users,VL,high,19,1.0
857008,cropnew,users,VL,high,20,0.8966208398801256
1085866,cropnew,users,VL,high,20,0.9974920307647269
1415162,cropnew,users,VL,high,20,0.8915909380544118
1465798,cropnew,users,VL,high,15,0.9412337662337662
168365,oldcrop_short,users,VL,high,20,1.0
490359,oldcrop_short,users,VL,high,20,0.9656236144635537
529881,oldcrop_short,users,VL,high,20,0.9902387171300129
1143507,oldcrop_short,users,VL,high,16,0.824508136834386
1402267,oldcrop_short,users,VL,high,20,0.04699250517222095
1473302,oldcrop_short,users,VL,high,20,0.9881810513829261
481818,other,users,VL,high,16,0.9225357685468629
819952,other,users,VL,high,11,1.0
855895,other,users,VL,high,15,1.0
916424,other,users,VL,high,16,0.9138295613834441
1125880,other,users,VL,high,16,0.8598279547682369
1159486,other,users,VL,high,13,1.0
1238088,other,users,VL,high,8,None
1455965,other,users,VL,high,15,1.0
41318,waternew,producers,VL,high,20,0.9526158523064653
97785,waternew,producers,VL,high,20,None
197293,waternew,producers,VL,high,17,0.9838709677419354
372152,waternew,producers,VL,high,20,0.9436997681243975
1141323,waternew,producers,VL,high,20,0.9777777777777779
1147060,waternew,producers,VL,high,19,None
1150482,waternew,producers,VL,high,14,None
1344822,waternew,producers,VL,high,20,0.8761877442638142
34405,treelosswet,producers,VL,high,20,0.974232417143127
40284,treelosswet,producers,VL,high,20,0.9137680924420529
259801,treelosswet,producers,VL,high,20,0.9036687964160734
815373,treelosswet,producers,VL,high,20,0.9260691784892537
1050008,treelosswet,producers,VL,high,20,0.5255624421632263
1348871,treelosswet,producers,VL,high,19,0.9205816507257295
1354518,treelosswet,producers,VL,high,18,0.9646146044214665
1398961,treelosswet,producers,VL,high,19,0.9772836783823028
1416380,treelosswet,producers,VL,high,19,0.9993705880511143
1422212,treelosswet,producers,VL,high,19,0.991959270765212
103279,builtnewalert,producers,VL,high,20,1.0
119116,builtnewalert,producers,VL,high,19,0.9944829473583067
171471,builtnewalert,producers,VL,high,20,0.614012137850165
349802,builtnewalert,producers,VL,high,20,0.9801682178726643
796166,builtnewalert,producers,VL,high,20,0.9665359067194711
824841,builtnewalert,producers,VL,high,20,0.9853957617833797
1240366,builtnewalert,producers,VL,high,20,0.7894736842105264
1348771,builtnewalert,producers,VL,high,20,0.9435538154906533
1369893,builtnewalert,producers,VL,high,20,0.02339384915870195
1382159,builtnewalert,producers,VL,high,20,None
539283,fire,producers,VL,high,20,0.939325741140386
557332,fire,producers,VL,high,20,0.8951064526210183
913366,fire,producers,VL,high,20,1.0
1377803,fire,producers,VL,high,20,0.9808160586548139
1412057,fire,producers,VL,high,20,1.0
30961,treelossTF,producers,VL,high,17,0.13792241934289415
35975,treelossTF,producers,VL,high,20,0.908106290957236
576420,treelossTF,producers,VL,high,19,0.8409666727403666
701068,treelossTF,producers,VL,high,18,0.5636698913795485
723123,treelossTF,producers,VL,high,20,0.9220146841223743
782693,treelossTF,producers,VL,high,18,None
889432,treelossTF,producers,VL,high,20,0.9653201485511912
1058298,treelossTF,producers,VL,high,19,0.9934787714827102
74185,cropnew,producers,VL,high,15,None
835151,cropnew,producers,VL,high,19,0.9966799419443896
857008,cropnew,producers,VL,high,20,0.8969514981326242
1085866,cropnew,producers,VL,high,20,0.9631868020419834
1415162,cropnew,producers,VL,high,20,1.0
1465798,cropnew,producers,VL,high,15,1.0
168365,oldcrop_short,producers,VL,high,20,0.9654440500202061
490359,oldcrop_short,producers,VL,high,20,0.9529480499555556
529881,oldcrop_short,producers,VL,high,20,0.9381293332956678
1143507,oldcrop_short,producers,VL,high,16,None
1402267,oldcrop_short,producers,VL,high,20,None
1473302,oldcrop_short,producers,VL,high,20,0.9338409589120121
481818,other,producers,VL,high,16,0.8241842365984668
819952,other,producers,VL,high,11,0.8363422355179758
855895,other,producers,VL,high,15,1.0
916424,other,producers,VL,high,16,0.9912146490949372
1125880,other,producers,VL,high,16,None
1159486,other,producers,VL,high,13,1.0
1238088,other,producers,VL,high,8,None
1455965,other,producers,VL,high,15,1.0
41318,waternew,overall,VL,high,20,0.9928875752068652
97785,waternew,overall,VL,high,20,0.990913401024118
197293,waternew,overall,VL,high,17,0.9996608896146749
372152,waternew,overall,VL,high,20,0.9987273582907547
1141323,waternew,overall,VL,high,20,0.9990635782368124
1147060,waternew,overall,VL,high,19,0.9994567551795169
1150482,waternew,overall,VL,high,14,1.0
1344822,waternew,overall,VL,high,20,0.9912223004174449
34405,treelosswet,overall,VL,high,20,0.9891618344887975
40284,treelosswet,overall,VL,high,20,0.9894215525424767
259801,treelosswet,overall,VL,high,20,0.9808395242039288
815373,treelosswet,overall,VL,high,20,0.9859701085446004
1050008,treelosswet,overall,VL,high,20,0.4482880638368878
1348871,treelosswet,overall,VL,high,19,0.9838399773170126
1354518,treelosswet,overall,VL,high,18,0.9830691720665877
1398961,treelosswet,overall,VL,high,19,0.9856557968441554
1416380,treelosswet,overall,VL,high,19,0.7833638040389002
1422212,treelosswet,overall,VL,high,19,0.884761164536677
103279,builtnewalert,overall,VL,high,20,0.9993835517780237
119116,builtnewalert,overall,VL,high,19,0.9757426511120741
171471,builtnewalert,overall,VL,high,20,0.9991218685810218
349802,builtnewalert,overall,VL,high,20,0.979765150577218
796166,builtnewalert,overall,VL,high,20,0.9954884140431349
824841,builtnewalert,overall,VL,high,20,0.984423799737978
1240366,builtnewalert,overall,VL,high,20,0.9994177067445152
1348771,builtnewalert,overall,VL,high,20,0.9830912451721998
1369893,builtnewalert,overall,VL,high,20,0.9965406716425018
1382159,builtnewalert,overall,VL,high,20,0.9643325581484997
539283,fire,overall,VL,high,20,0.9867550235623812
557332,fire,overall,VL,high,20,0.8925839078482674
913366,fire,overall,VL,high,20,0.977787489618708
1377803,fire,overall,VL,high,20,0.9815479803348801
1412057,fire,overall,VL,high,20,0.9470506546326217
30961,treelossTF,overall,VL,high,17,0.9991513773719486
35975,treelossTF,overall,VL,high,20,0.9986108923154198
576420,treelossTF,overall,VL,high,19,0.9774693438318312
701068,treelossTF,overall,VL,high,18,0.9884881314282998
723123,treelossTF,overall,VL,high,20,0.9953541089994932
782693,treelossTF,overall,VL,high,18,0.9999073454453451
889432,treelossTF,overall,VL,high,20,0.9735570918151873
1058298,treelossTF,overall,VL,high,19,0.9541159362440905
74185,cropnew,overall,VL,high,15,0.999928357387794
835151,cropnew,overall,VL,high,19,0.9980000821542324
857008,cropnew,overall,VL,high,20,0.9939019660687187
1085866,cropnew,overall,VL,high,20,0.9780700893246999
1415162,cropnew,overall,VL,high,20,0.9907708747188854
1465798,cropnew,overall,VL,high,15,0.9927853444352338
168365,oldcrop_short,overall,VL,high,20,0.9649834153853986
490359,oldcrop_short,overall,VL,high,20,0.9915752258026549
529881,oldcrop_short,overall,VL,high,20,0.9892924864256994
1143507,oldcrop_short,overall,VL,high,16,0.9992544232110452
1402267,oldcrop_short,overall,VL,high,20,0.9722178163586346
1473302,oldcrop_short,overall,VL,high,20,0.9749294981983179
481818,other,overall,VL,high,16,0.9982552031904641
819952,other,overall,VL,high,11,0.997738779665589
855895,other,overall,VL,high,15,0.9985055504718591
916424,other,overall,VL,high,16,0.9839434912185019
1125880,other,overall,VL,high,16,0.9978473585970392
1159486,other,overall,VL,high,13,0.9998215469572631
1238088,other,overall,VL,high,8,None
1455965,other,overall,VL,high,15,0.9946950373121117
