block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,high,20,0.7337358364997397
97785,waternew,users,VL,high,20,0.21688067685802043
197293,waternew,users,VL,high,17,None
372152,waternew,users,VL,high,20,0.3
1141323,waternew,users,VL,high,20,0.9718107446075518
1147060,waternew,users,VL,high,19,0.9404974722867327
1150482,waternew,users,VL,high,14,0.0
1344822,waternew,users,VL,high,20,0.6429239587600162
34405,treelosswet,users,VL,high,20,1.0
40284,treelosswet,users,VL,high,20,0.8741257349615558
259801,treelosswet,users,VL,high,20,0.44574368568755834
815373,treelosswet,users,VL,high,20,0.20147506236360144
1050008,treelosswet,users,VL,high,20,1.0
1348871,treelosswet,users,VL,high,19,0.0
1354518,treelosswet,users,VL,high,18,1.0
1398961,treelosswet,users,VL,high,19,0.7575928188066443
1416380,treelosswet,users,VL,high,19,0.14027560509841688
1422212,treelosswet,users,VL,high,19,1.0
103279,builtnewalert,users,VL,high,20,None
119116,builtnewalert,users,VL,high,19,0.6460709128270599
171471,builtnewalert,users,VL,high,20,None
349802,builtnewalert,users,VL,high,20,None
796166,builtnewalert,users,VL,high,20,0.0
824841,builtnewalert,users,VL,high,20,None
1240366,builtnewalert,users,VL,high,20,0.9558373132552644
1348771,builtnewalert,users,VL,high,20,0.9681905410602325
1369893,builtnewalert,users,VL,high,20,1.0
1382159,builtnewalert,users,VL,high,20,1.0
539283,fire,users,VL,high,20,None
557332,fire,users,VL,high,20,None
913366,fire,users,VL,high,20,None
1377803,fire,users,VL,high,20,None
1412057,fire,users,VL,high,20,1.0
30961,treelossTF,users,VL,high,17,1.0
35975,treelossTF,users,VL,high,20,1.0
576420,treelossTF,users,VL,high,19,0.7416697198080537
701068,treelossTF,users,VL,high,15,0.8061597170693161
723123,treelossTF,users,VL,high,20,1.0
782693,treelossTF,users,VL,high,18,None
889432,treelossTF,users,VL,high,20,1.0
1058298,treelossTF,users,VL,high,19,1.0
74185,cropnew,users,VL,high,15,None
835151,cropnew,users,VL,high,19,None
857008,cropnew,users,VL,high,20,0.38419695201062226
1085866,cropnew,users,VL,high,20,0.6520819820368987
1415162,cropnew,users,VL,high,20,None
1465798,cropnew,users,VL,high,15,None
168365,oldcrop_short,users,VL,high,20,0.29195869403049807
490359,oldcrop_short,users,VL,high,20,0.155385804706662
529881,oldcrop_short,users,VL,high,20,0.65807980983275
1143507,oldcrop_short,users,VL,high,16,0.9998602900776994
1402267,oldcrop_short,users,VL,high,20,0.6708722688835047
1473302,oldcrop_short,users,VL,high,20,None
481818,other,users,VL,high,16,0.8471563627140072
819952,other,users,VL,high,11,None
855895,other,users,VL,high,15,0.7945205479452054
916424,other,users,VL,high,16,0.7680209698558321
1125880,other,users,VL,high,16,None
1159486,other,users,VL,high,13,None
1238088,other,users,VL,high,8,None
1455965,other,users,VL,high,15,None
41318,waternew,producers,VL,high,20,0.7420934560290473
97785,waternew,producers,VL,high,20,None
