block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,high,20,0.6052923342363921
97785,waternew,users,VL,high,20,None
197293,waternew,users,VL,high,17,None
372152,waternew,users,VL,high,20,0.9880463205080311
1141323,waternew,users,VL,high,20,0.3326242951407554
1147060,waternew,users,VL,high,19,1.0
1150482,waternew,users,VL,high,14,1.0
1344822,waternew,users,VL,high,20,0.0
34405,treelosswet,users,VL,high,20,1.0
40284,treelosswet,users,VL,high,20,1.0
259801,treelosswet,users,VL,high,20,0.1470934624225343
815373,treelosswet,users,VL,high,20,0.9474954753323687
1050008,treelosswet,users,VL,high,20,1.0
1348871,treelosswet,users,VL,high,19,1.0
1354518,treelosswet,users,VL,high,18,0.10909021514674991
1398961,treelosswet,users,VL,high,19,0.21220263840253686
1416380,treelosswet,users,VL,high,19,0.24078822926152257
1422212,treelosswet,users,VL,high,19,0.48926434543458364
103279,builtnewalert,users,VL,high,20,None
119116,builtnewalert,users,VL,high,19,None
171471,builtnewalert,users,VL,high,20,0.32052931266132934
349802,builtnewalert,users,VL,high,20,None
796166,builtnewalert,users,VL,high,20,0.9986120924598768
824841,builtnewalert,users,VL,high,20,1.0
1240366,builtnewalert,users,VL,high,20,0.5818761250704926
1348771,builtnewalert,users,VL,high,20,1.0
1369893,builtnewalert,users,VL,high,20,None
1382159,builtnewalert,users,VL,high,20,None
539283,fire,users,VL,high,20,1.0
557332,fire,users,VL,high,20,0.9775768762383635
913366,fire,users,VL,high,20,0.8653846153846155
1377803,fire,users,VL,high,20,0.8252690806171564
1412057,fire,users,VL,high,20,0.8342212414509782
30961,treelossTF,users,VL,high,17,1.0
35975,treelossTF,users,VL,high,20,1.0
576420,treelossTF,users,VL,high,19,0.862030677374711
701068,treelossTF,users,VL,high,18,0.9716903389273872
723123,treelossTF,users,VL,high,20,0.865263157894737
782693,treelossTF,users,VL,high,18,0.4695500922444749
889432,treelossTF,users,VL,high,20,0.7490254465151972
1058298,treelossTF,users,VL,high,19,0.8365318020368312
74185,cropnew,users,VL,high,15,None
835151,cropnew,users,VL,high,19,None
857008,cropnew,users,VL,high,20,None
1085866,cropnew,users,VL,high,20,0.0
1415162,cropnew,users,VL,high,20,0.0
1465798,cropnew,users,VL,high,15,None
168365,oldcrop_short,users,VL,high,20,0.3168936558361904
490359,oldcrop_short,users,VL,high,20,0.35897473742179425
529881,oldcrop_short,users,VL,high,20,0.7165051866609259
1143507,oldcrop_short,users,VL,high,16,1.0
1402267,oldcrop_short,users,VL,high,20,0.0
1473302,oldcrop_short,users,VL,high,20,None
481818,other,users,VL,high,16,0.5127796046511754
819952,other,users,VL,high,11,1.0
855895,other,users,VL,high,15,None
916424,other,users,VL,high,16,1.0
1125880,other,users,VL,high,16,None
1159486,other,users,VL,high,13,None
1238088,other,users,VL,high,8,None
1455965,other,users,VL,high,15,None
41318,waternew,producers,VL,high,20,0.741922533857507
97785,waternew,producers,VL,high,20,None
197293,waternew,producers,VL,high,17,0.9523809523809523
372152,waternew,producers,VL,high,20,0.8522361171103785
1141323,waternew,producers,VL,high,20,0.31249999999999994
1147060,waternew,producers,VL,high,19,None
1150482,waternew,producers,VL,high,14,None
1344822,waternew,producers,VL,high,20,0.04346831996555832
34405,treelosswet,producers,VL,high,20,0.8765061742295516
40284,treelosswet,producers,VL,high,20,0.841543017717088
259801,treelosswet,producers,VL,high,20,0.6227783087566838
815373,treelosswet,producers,VL,high,20,0.9037544855893961
1050008,treelosswet,producers,VL,high,20,0.23796244510686945
1348871,treelosswet,producers,VL,high,19,0.7593316665329245
1354518,treelosswet,producers,VL,high,18,0.9358131483081815
1398961,treelosswet,producers,VL,high,19,0.8928931082454731
1416380,treelosswet,producers,VL,high,19,0.9190079832738761
1422212,treelosswet,producers,VL,high,19,0.6666414678925691
103279,builtnewalert,producers,VL,high,20,0.3181818181818182
119116,builtnewalert,producers,VL,high,19,0.08943217559496631
171471,builtnewalert,producers,VL,high,20,0.4221237466373197
349802,builtnewalert,producers,VL,high,20,0.6887677994242974
796166,builtnewalert,producers,VL,high,20,0.8180062692815679
824841,builtnewalert,producers,VL,high,20,0.3169901388431088
1240366,builtnewalert,producers,VL,high,20,0.0
1348771,builtnewalert,producers,VL,high,20,0.1038692794480615
1369893,builtnewalert,producers,VL,high,20,0.390752354808801
1382159,builtnewalert,producers,VL,high,20,None
539283,fire,producers,VL,high,20,0.9295544272226248
557332,fire,producers,VL,high,20,0.8378831162352349
913366,fire,producers,VL,high,20,1.0
1377803,fire,producers,VL,high,20,0.8193953622274435
1412057,fire,producers,VL,high,20,0.7794477637901148
30961,treelossTF,producers,VL,high,17,0.6495824714320209
35975,treelossTF,producers,VL,high,20,0.881845136240049
576420,treelossTF,producers,VL,high,19,0.8824849612904966
701068,treelossTF,producers,VL,high,18,0.8244388491865846
723123,treelossTF,producers,VL,high,20,0.7968912612884815
782693,treelossTF,producers,VL,high,18,None
889432,treelossTF,producers,VL,high,20,0.9726837902460738
1058298,treelossTF,producers,VL,high,19,0.7410625439908546
74185,cropnew,producers,VL,high,15,None
835151,cropnew,producers,VL,high,19,0.7062349666719847
857008,cropnew,producers,VL,high,20,0.5425326809503868
1085866,cropnew,producers,VL,high,20,0.6603822013601429
1415162,cropnew,producers,VL,high,20,0.3128582253582739
1465798,cropnew,producers,VL,high,15,0.7000000000000001
168365,oldcrop_short,producers,VL,high,20,0.6786587576561156
490359,oldcrop_short,producers,VL,high,20,0.8347913862718708
529881,oldcrop_short,producers,VL,high,20,0.5942711952744962
1143507,oldcrop_short,producers,VL,high,16,None
1402267,oldcrop_short,producers,VL,high,20,None
1473302,oldcrop_short,producers,VL,high,20,0.9135833663601782
481818,other,producers,VL,high,16,0.7926357536881257
819952,other,producers,VL,high,11,0.09342350840786998
855895,other,producers,VL,high,15,0.44094301403196773
916424,other,producers,VL,high,16,0.3349375339786197
1125880,other,producers,VL,high,16,None
1159486,other,producers,VL,high,13,0.7391021470396877
1238088,other,producers,VL,high,8,None
1455965,other,producers,VL,high,15,0.14795735155007697
41318,waternew,overall,VL,high,20,0.9669411468958891
97785,waternew,overall,VL,high,20,1.0
197293,waternew,overall,VL,high,17,0.9998283401394962
372152,waternew,overall,VL,high,20,0.9976971999607943
1141323,waternew,overall,VL,high,20,0.9996451744795046
1147060,waternew,overall,VL,high,19,0.9999818651391693
1150482,waternew,overall,VL,high,14,0.9867532237631869
1344822,waternew,overall,VL,high,20,0.9955439122045787
34405,treelosswet,overall,VL,high,20,0.9777429301851395
40284,treelosswet,overall,VL,high,20,0.9843170254700203
259801,treelosswet,overall,VL,high,20,0.9834537094514949
815373,treelosswet,overall,VL,high,20,0.9840826090212617
1050008,treelosswet,overall,VL,high,20,0.42652353951483335
1348871,treelosswet,overall,VL,high,19,0.9807837201735354
1354518,treelosswet,overall,VL,high,18,0.9764766476076909
1398961,treelosswet,overall,VL,high,19,0.9512744971187646
1416380,treelosswet,overall,VL,high,19,0.8803785853957917
1422212,treelosswet,overall,VL,high,19,0.8967952252109428
103279,builtnewalert,overall,VL,high,20,0.9937072965500662
119116,builtnewalert,overall,VL,high,19,0.9837908911315348
171471,builtnewalert,overall,VL,high,20,0.9855386887911567
349802,builtnewalert,overall,VL,high,20,0.9796016531942735
796166,builtnewalert,overall,VL,high,20,0.9960542307556841
824841,builtnewalert,overall,VL,high,20,0.9871963336078912
1240366,builtnewalert,overall,VL,high,20,0.9961066942077272
1348771,builtnewalert,overall,VL,high,20,0.9503788958618575
1369893,builtnewalert,overall,VL,high,20,0.9944605190524684
1382159,builtnewalert,overall,VL,high,20,1.0
539283,fire,overall,VL,high,20,0.9607787038430793
557332,fire,overall,VL,high,20,0.6814389992301321
913366,fire,overall,VL,high,20,0.9581618657887871
1377803,fire,overall,VL,high,20,0.9116609378460635
1412057,fire,overall,VL,high,20,0.8863523907817585
30961,treelossTF,overall,VL,high,17,0.9990432425215591
35975,treelossTF,overall,VL,high,20,0.9985879198372561
576420,treelossTF,overall,VL,high,19,0.9928723379545199
701068,treelossTF,overall,VL,high,18,0.9908526672728245
723123,treelossTF,overall,VL,high,20,0.9975442332223157
782693,treelossTF,overall,VL,high,18,0.9999296708408453
889432,treelossTF,overall,VL,high,20,0.9638165494186737
1058298,treelossTF,overall,VL,high,19,0.9621044175332841
74185,cropnew,overall,VL,high,15,1.0
835151,cropnew,overall,VL,high,19,0.9987750333822616
857008,cropnew,overall,VL,high,20,0.9928790942067864
1085866,cropnew,overall,VL,high,20,0.9841620184905739
1415162,cropnew,overall,VL,high,20,0.992456945601562
1465798,cropnew,overall,VL,high,15,0.9996934363586049
168365,oldcrop_short,overall,VL,high,20,0.9609088672859881
490359,oldcrop_short,overall,VL,high,20,0.935245803028856
529881,oldcrop_short,overall,VL,high,20,0.9767107814756513
1143507,oldcrop_short,overall,VL,high,16,0.9466116331489125
1402267,oldcrop_short,overall,VL,high,20,0.9687574343314966
1473302,oldcrop_short,overall,VL,high,20,0.9157409027678209
481818,other,overall,VL,high,16,0.9906404067440893
819952,other,overall,VL,high,11,0.9986751779813782
855895,other,overall,VL,high,15,0.9994443243960017
916424,other,overall,VL,high,16,0.99671945134581
1125880,other,overall,VL,high,16,1.0
1159486,other,overall,VL,high,13,0.9998618935449319
1238088,other,overall,VL,high,8,None
1455965,other,overall,VL,high,15,0.9976350545524069
