block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,high,20,0.9211948179844047
97785,waternew,users,VL,high,20,0.7584527383720133
197293,waternew,users,VL,high,17,1.0
372152,waternew,users,VL,high,20,0.9561606486215
1141323,waternew,users,VL,high,20,0.9815459255161838
1147060,waternew,users,VL,high,19,1.0
1150482,waternew,users,VL,high,14,None
1344822,waternew,users,VL,high,20,0.6169991585285532
34405,treelosswet,users,VL,high,20,1.0
40284,treelosswet,users,VL,high,20,0.3957985151469698
259801,treelosswet,users,VL,high,20,0.505970651831143
815373,treelosswet,users,VL,high,20,0.9546244058414567
1050008,treelosswet,users,VL,high,20,0.9848547162256446
1348871,treelosswet,users,VL,high,19,1.0
1354518,treelosswet,users,VL,high,18,1.0
1398961,treelosswet,users,VL,high,19,0.6257462955719918
1416380,treelosswet,users,VL,high,19,0.19477486913019712
1422212,treelosswet,users,VL,high,19,0.810697195756907
103279,builtnewalert,users,VL,high,20,0.974025974025974
119116,builtnewalert,users,VL,high,19,None
171471,builtnewalert,users,VL,high,20,1.0
349802,builtnewalert,users,VL,high,20,1.0
796166,builtnewalert,users,VL,high,20,1.0
824841,builtnewalert,users,VL,high,20,1.0
1240366,builtnewalert,users,VL,high,20,0.7985419934142798
1348771,builtnewalert,users,VL,high,20,0.9542138637112022
1369893,builtnewalert,users,VL,high,20,1.0
1382159,builtnewalert,users,VL,high,20,1.0
539283,fire,users,VL,high,20,0.9983683421612756
557332,fire,users,VL,high,20,0.9964158892846947
913366,fire,users,VL,high,20,0.9103084733199895
1377803,fire,users,VL,high,20,0.8372443618332314
1412057,fire,users,VL,high,20,0.8776951919603485
30961,treelossTF,users,VL,high,17,1.0
35975,treelossTF,users,VL,high,20,0.908875235977616
576420,treelossTF,users,VL,high,19,0.6957863137492748
701068,treelossTF,users,VL,high,18,0.9427879918601382
723123,treelossTF,users,VL,high,20,1.0
782693,treelossTF,users,VL,high,18,0.5142598751198613
889432,treelossTF,users,VL,high,20,0.994027639566395
1058298,treelossTF,users,VL,high,19,1.0
74185,cropnew,users,VL,high,15,0.878650988462528
835151,cropnew,users,VL,high,19,1.0
857008,cropnew,users,VL,high,20,0.8744852962422607
1085866,cropnew,users,VL,high,20,0.9979670978448129
1415162,cropnew,users,VL,high,20,0.8532443462553876
1465798,cropnew,users,VL,high,15,0.9351015801354401
168365,oldcrop_short,users,VL,high,20,1.0
490359,oldcrop_short,users,VL,high,20,0.9631130358722754
529881,oldcrop_short,users,VL,high,20,0.9901513066478793
1143507,oldcrop_short,users,VL,high,16,0.8204140588740885
1402267,oldcrop_short,users,VL,high,20,0.04130945059726613
1473302,oldcrop_short,users,VL,high,20,0.9847127660431039
481818,other,users,VL,high,16,0.9078445270760693
819952,other,users,VL,high,11,1.0
855895,other,users,VL,high,15,0.9973614021876431
916424,other,users,VL,high,16,0.9084577074356328
1125880,other,users,VL,high,16,0.8742924788183528
1159486,other,users,VL,high,13,1.0
1238088,other,users,VL,high,8,None
1455965,other,users,VL,high,15,1.0
41318,waternew,producers,VL,high,20,0.9590107231764244
97785,waternew,producers,VL,high,20,None
197293,waternew,producers,VL,high,17,0.984126984126984
372152,waternew,producers,VL,high,20,0.9505909301988367
1141323,waternew,producers,VL,high,20,0.9823529411764704
1147060,waternew,producers,VL,high,19,None
1150482,waternew,producers,VL,high,14,None
1344822,waternew,producers,VL,high,20,0.888143874985974
34405,treelosswet,producers,VL,high,20,0.9795334057990296
40284,treelosswet,producers,VL,high,20,0.9351441469423879
259801,treelosswet,producers,VL,high,20,0.9368547538047993
