block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,high,20,0.5937268865683599
97785,waternew,users,VL,high,20,0.029707050543973774
197293,waternew,users,VL,high,17,0.0
372152,waternew,users,VL,high,20,0.06683260044679473
1141323,waternew,users,VL,high,20,0.9187350128093773
1147060,waternew,users,VL,high,19,0.8365941098372843
1150482,waternew,users,VL,high,14,0.026081907301850796
1344822,waternew,users,VL,high,20,0.3958598511858979
34405,treelosswet,users,VL,high,20,0.993085406947993
40284,treelosswet,users,VL,high,20,0.4854119788586341
259801,treelosswet,users,VL,high,20,0.4092070260855484
815373,treelosswet,users,VL,high,20,0.15550969240154866
1050008,treelosswet,users,VL,high,20,1.0
1348871,treelosswet,users,VL,high,19,0.0019205293624110157
1354518,treelosswet,users,VL,high,18,0.34514793937084187
1398961,treelosswet,users,VL,high,19,0.7891644091462001
1416380,treelosswet,users,VL,high,19,0.17378469596709506
1422212,treelosswet,users,VL,high,19,0.25311961760096724
103279,builtnewalert,users,VL,high,20,0.2489502831794214
119116,builtnewalert,users,VL,high,19,0.6075212944886172
171471,builtnewalert,users,VL,high,20,0.0
349802,builtnewalert,users,VL,high,20,0.03273220028153069
796166,builtnewalert,users,VL,high,20,0.0026109040848781183
824841,builtnewalert,users,VL,high,20,0.08352739207122337
1240366,builtnewalert,users,VL,high,20,0.021220072828191567
1348771,builtnewalert,users,VL,high,20,0.9995194427398079
1369893,builtnewalert,users,VL,high,20,0.054500690659938934
1382159,builtnewalert,users,VL,high,20,0.957992346676692
539283,fire,users,VL,high,20,0.9901536023002749
557332,fire,users,VL,high,20,None
913366,fire,users,VL,high,20,0.0010315168057891896
1377803,fire,users,VL,high,20,None
1412057,fire,users,VL,high,20,0.9666098385912855
30961,treelossTF,users,VL,high,17,1.0
35975,treelossTF,users,VL,high,20,1.0
576420,treelossTF,users,VL,high,19,0.44150669474909227
701068,treelossTF,users,VL,high,14,0.6427872382070855
723123,treelossTF,users,VL,high,20,0.39687070937568897
782693,treelossTF,users,VL,high,18,0.01570867547304534
835445,treelossTF,users,VL,high,18,0.24792674779801696
889432,treelossTF,users,VL,high,20,0.9714077486490879
1058298,treelossTF,users,VL,high,19,0.8001621099083507
74185,cropnew,users,VL,high,15,None
835151,cropnew,users,VL,high,20,0.04262877442273535
857008,cropnew,users,VL,high,20,0.43069221996999096
1085866,cropnew,users,VL,high,20,0.6876563491308102
1415162,cropnew,users,VL,high,20,0.018792079670843467
1465798,cropnew,users,VL,high,20,0.3545803058465698
1472326,cropnew,users,VL,high,20,0.0
866187,wetshort,users,VL,high,20,0.7093291264122947
1386398,wetshort,users,VL,high,20,0.6515628302119312
1466277,wetshort,users,VL,high,20,0.19989657646022524
168365,oldcrop_short,users,VL,high,20,0.29662598041000815
490359,oldcrop_short,users,VL,high,20,0.12498775013470859
529881,oldcrop_short,users,VL,high,20,0.33639392964408166
1143507,oldcrop_short,users,VL,high,16,0.9711516046394564
1402267,oldcrop_short,users,VL,high,20,0.3646421961752005
1473302,oldcrop_short,users,VL,high,20,0.43938879705833045
116332,gen,users,VL,high,10,0.0
481818,other,users,VL,high,16,0.5842421533527028
819952,other,users,VL,high,11,1.0
855895,other,users,VL,high,15,0.7187261535330925
916424,other,users,VL,high,16,0.19586904071573563
1125880,other,users,VL,high,16,0.34782608695652173
1159486,other,users,VL,high,13,None
1238088,other,users,VL,high,8,None
1455965,other,users,VL,high,15,1.0
41318,waternew,producers,VL,high,20,0.9331041908645145
97785,waternew,producers,VL,high,20,None
197293,waternew,producers,VL,high,17,0.8888888888888888
372152,waternew,producers,VL,high,20,0.45284780578898226
1141323,waternew,producers,VL,high,20,0.9600000000000002
1147060,waternew,producers,VL,high,19,None
1150482,waternew,producers,VL,high,14,None
1344822,waternew,producers,VL,high,20,0.7054203675147331
34405,treelosswet,producers,VL,high,20,0.7629410699259442
40284,treelosswet,producers,VL,high,20,0.41225033060237903
259801,treelosswet,producers,VL,high,20,0.5169170484975493
815373,treelosswet,producers,VL,high,20,0.20085254770147504
1050008,treelosswet,producers,VL,high,20,0.8230823400426502
1348871,treelosswet,producers,VL,high,19,0.17068587384034017
1354518,treelosswet,producers,VL,high,18,0.6757839036075656
1398961,treelosswet,producers,VL,high,19,0.6856033160497024
1416380,treelosswet,producers,VL,high,19,0.631901504655029
1422212,treelosswet,producers,VL,high,19,0.5910326700317708
103279,builtnewalert,producers,VL,high,20,0.8333333333333334
119116,builtnewalert,producers,VL,high,19,0.2071719498834745
171471,builtnewalert,producers,VL,high,20,0.062031390346522955
349802,builtnewalert,producers,VL,high,20,0.3964310865091463
796166,builtnewalert,producers,VL,high,20,0.02349332366074432
824841,builtnewalert,producers,VL,high,20,0.5825378990973885
1240366,builtnewalert,producers,VL,high,20,1.0
1348771,builtnewalert,producers,VL,high,20,0.9114216879184753
1369893,builtnewalert,producers,VL,high,20,0.03301532581529821
1382159,builtnewalert,producers,VL,high,20,None
539283,fire,producers,VL,high,20,0.3513210175914365
557332,fire,producers,VL,high,20,0.09126052983636014
913366,fire,producers,VL,high,20,0.4930056912740879
1377803,fire,producers,VL,high,20,0.06846218817287447
1412057,fire,producers,VL,high,20,0.8706226538143844
30961,treelossTF,producers,VL,high,17,0.9296420009569322
35975,treelossTF,producers,VL,high,20,0.32945648491272894
576420,treelossTF,producers,VL,high,19,0.4922410314139462
701068,treelossTF,producers,VL,high,14,1.0
723123,treelossTF,producers,VL,high,20,0.8595956417417299
782693,treelossTF,producers,VL,high,18,None
835445,treelossTF,producers,VL,high,18,0.6666666666666666
889432,treelossTF,producers,VL,high,20,0.33885588273796524
