block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VL,high,20,0.9661232229994268
97785,waternew,users,VL,high,20,0.782267114578006
197293,waternew,users,VL,high,17,0.9863387978142076
372152,waternew,users,VL,high,20,0.9539658325400119
1141323,waternew,users,VL,high,20,0.9818240284434907
1147060,waternew,users,VL,high,19,1.0
1150482,waternew,users,VL,high,14,None
1344822,waternew,users,VL,high,20,0.6640571745045267
34405,treelosswet,users,VL,high,20,1.0
40284,treelosswet,users,VL,high,20,0.8423901409063002
259801,treelosswet,users,VL,high,20,0.530019496634048
815373,treelosswet,users,VL,high,20,0.9525941263953869
1050008,treelosswet,users,VL,high,20,0.9861947729706941
1348871,treelosswet,users,VL,high,19,1.0
1354518,treelosswet,users,VL,high,18,1.0
1398961,treelosswet,users,VL,high,19,0.6198403030046985
1422212,treelosswet,users,VL,high,19,0.8162508533007412
103279,builtnewalert,users,VL,high,20,0.9480519480519479
119116,builtnewalert,users,VL,high,19,None
171471,builtnewalert,users,VL,high,20,0.7615622337998805
349802,builtnewalert,users,VL,high,20,1.0
796166,builtnewalert,users,VL,high,20,0.9498925749906576
824841,builtnewalert,users,VL,high,20,1.0
1240366,builtnewalert,users,VL,high,20,1.0
1348771,builtnewalert,users,VL,high,20,0.9374681557078527
1369893,builtnewalert,users,VL,high,20,1.0
1382159,builtnewalert,users,VL,high,20,1.0
539283,fire,users,VL,high,20,1.0
557332,fire,users,VL,high,20,1.0
913366,fire,users,VL,high,20,0.9349274156359525
1377803,fire,users,VL,high,20,0.9446664532424937
1412057,fire,users,VL,high,20,1.0
30961,treelossTF,users,VL,high,17,1.0
35975,treelossTF,users,VL,high,20,1.0
576420,treelossTF,users,VL,high,19,0.7021019116282203
701068,treelossTF,users,VL,high,18,0.9377837225652647
723123,treelossTF,users,VL,high,20,1.0
782693,treelossTF,users,VL,high,18,0.5130950434206337
835445,treelossTF,users,VL,high,18,0.2057390462838082
889432,treelossTF,users,VL,high,20,0.991421353720723
1058298,treelossTF,users,VL,high,19,1.0
74185,cropnew,users,VL,high,15,0.9411764705882353
835151,cropnew,users,VL,high,20,1.0
857008,cropnew,users,VL,high,20,0.8902294492926714
1085866,cropnew,users,VL,high,20,0.9979323046249231
1415162,cropnew,users,VL,high,20,0.8664200559013672
1465798,cropnew,users,VL,high,20,0.861310756103485
1472326,cropnew,users,VL,high,20,0.9954535111892172
866187,wetshort,users,VL,high,20,0.9951747965044958
1386398,wetshort,users,VL,high,20,1.0
1460357,wetshort,users,VL,high,20,0.9315723729097766
1466277,wetshort,users,VL,high,20,0.557983086939398
168365,oldcrop_short,users,VL,high,20,1.0
490359,oldcrop_short,users,VL,high,20,0.9656157680157947
529881,oldcrop_short,users,VL,high,20,0.9901289861725614
1143507,oldcrop_short,users,VL,high,16,0.8201641141147846
1473302,oldcrop_short,users,VL,high,20,0.9846642118851796
116332,gen,users,VL,high,10,None
481818,other,users,VL,high,16,0.9192281959912546
819952,other,users,VL,high,11,1.0
855895,other,users,VL,high,15,1.0
916424,other,users,VL,high,16,0.9071170156890224
1125880,other,users,VL,high,16,0.8741437776200954
1159486,other,users,VL,high,13,1.0
1238088,other,users,VL,high,8,None
1455965,other,users,VL,high,15,1.0
41318,waternew,producers,VL,high,20,0.9521750426234664
