block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
34405,treelosswet,overall,VL,high,20,0.9702062213629629
168365,oldcrop_short,users,VL,high,20,0.27457686930792513
490359,oldcrop_short,users,VL,high,20,0.15339425188921507
529881,oldcrop_short,users,VL,high,20,0.662228692429857
1143507,oldcrop_short,users,VL,high,16,0.9998736612303569
1402267,oldcrop_short,users,VL,high,20,0.6682370248854953
1473302,oldcrop_short,users,VL,high,20,None
168365,oldcrop_short,producers,VL,high,20,0.07427399075972656
490359,oldcrop_short,producers,VL,high,20,0.7062706882299956
529881,oldcrop_short,producers,VL,high,20,0.44545268989648645
1143507,oldcrop_short,producers,VL,high,16,None
1402267,oldcrop_short,producers,VL,high,20,None
1473302,oldcrop_short,producers,VL,high,20,0.0
34405,treelosswet,overall,VL,high,20,0.9702062213629629
168365,oldcrop_short,users,VL,high,20,0.27457686930792513
490359,oldcrop_short,users,VL,high,20,0.15339425188921507
529881,oldcrop_short,users,VL,high,20,0.662228692429857
1143507,oldcrop_short,users,VL,high,16,0.9998736612303569
1402267,oldcrop_short,users,VL,high,20,0.6682370248854953
1473302,oldcrop_short,users,VL,high,20,None
168365,oldcrop_short,producers,VL,high,20,0.07427399075972656
490359,oldcrop_short,producers,VL,high,20,0.7062706882299956
529881,oldcrop_short,producers,VL,high,20,0.44545268989648645
1143507,oldcrop_short,producers,VL,high,16,None
1402267,oldcrop_short,producers,VL,high,20,None
1473302,oldcrop_short,producers,VL,high,20,0.0
