block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VLsub,all,20,0.21917002261352228
97785,waternew,users,VLsub,all,20,0.04045238319548221
197293,waternew,users,VLsub,all,17,0.08031383949097486
372152,waternew,users,VLsub,all,20,0.10201231573634327
1141323,waternew,users,VLsub,all,20,0.797002816841353
1147060,waternew,users,VLsub,all,19,0.4692733865145195
1150482,waternew,users,VLsub,all,14,0.4884967409936237
1344822,waternew,users,VLsub,all,20,0.03550478991879721
34405,treelosswet,users,VLsub,all,20,0.9679577567239958
40284,treelosswet,users,VLsub,all,20,0.6988178695261487
259801,treelosswet,users,VLsub,all,20,0.16297482189585866
815373,treelosswet,users,VLsub,all,20,0.43746901704101704
1050008,treelosswet,users,VLsub,all,20,0.9482170822317224
1348871,treelosswet,users,VLsub,all,20,0.16224220415527654
1354518,treelosswet,users,VLsub,all,20,0.48994187061297256
1398961,treelosswet,users,VLsub,all,20,0.8066239185182137
1416380,treelosswet,users,VLsub,all,20,0.6057381999943894
1422212,treelosswet,users,VLsub,all,19,0.17044709240228617
103279,builtnewalert,users,VLsub,all,20,0.1673874624310286
119116,builtnewalert,users,VLsub,all,19,0.5909156982353323
171471,builtnewalert,users,VLsub,all,20,0.001986156642209184
349802,builtnewalert,users,VLsub,all,20,0.017829581917344347
423727,builtnewalert,users,VLsub,all,20,0.18940009192668839
796166,builtnewalert,users,VLsub,all,20,0.047037927633713936
824841,builtnewalert,users,VLsub,all,20,0.05425605307936072
1240366,builtnewalert,users,VLsub,all,20,0.18335894600082558
1348771,builtnewalert,users,VLsub,all,20,0.9239473034279566
1369893,builtnewalert,users,VLsub,all,20,0.30749694600299315
1382159,builtnewalert,users,VLsub,all,20,0.5586942883736236
539283,fire,users,VLsub,all,20,0.473483369237843
557332,fire,users,VLsub,all,20,0.2874710969359713
913366,fire,users,VLsub,all,20,0.10399585087092879
1377803,fire,users,VLsub,all,20,0.1958090281714504
1412057,fire,users,VLsub,all,20,0.7663086293412595
30961,treelossTF,users,VLsub,all,17,0.11130881520181023
35975,treelossTF,users,VLsub,all,20,0.05398303179100924
576420,treelossTF,users,VLsub,all,19,0.34504176265560293
701068,treelossTF,users,VLsub,all,15,0.17875722936915966
723123,treelossTF,users,VLsub,all,20,0.19910691948174888
782693,treelossTF,users,VLsub,all,18,0.12961063730252975
835445,treelossTF,users,VLsub,all,19,0.13438982404075545
889432,treelossTF,users,VLsub,all,20,0.40165525482975095
1058298,treelossTF,users,VLsub,all,20,0.45329159712155426
74185,cropnew,users,VLsub,all,16,0.0030388207086745143
254365,cropnew,users,VLsub,all,10,0.002582426491227739
835151,cropnew,users,VLsub,all,20,0.09530718136959818
857008,cropnew,users,VLsub,all,20,0.04255667551914249
1085866,cropnew,users,VLsub,all,20,0.3898518496045682
1415162,cropnew,users,VLsub,all,20,0.06516483501001749
1465798,cropnew,users,VLsub,all,20,0.13873433132342053
1472326,cropnew,users,VLsub,all,20,0.262078968418659
866187,wetshort,users,VLsub,all,20,0.6161469493653998
1386398,wetshort,users,VLsub,all,20,0.7547040699169016
1466277,wetshort,users,VLsub,all,20,0.010836997277423962
168365,oldcrop_short,users,VLsub,all,20,0.07341658560958043
490359,oldcrop_short,users,VLsub,all,20,0.09899373013355571
529881,oldcrop_short,users,VLsub,all,20,0.368573618153353
1143507,oldcrop_short,users,VLsub,all,16,0.9123872375902801
1402267,oldcrop_short,users,VLsub,all,20,0.11671496144031059
1473302,oldcrop_short,users,VLsub,all,20,0.24588259971821555
116332,gen,users,VLsub,all,10,0.0
315306,gen,users,VLsub,all,14,0.0005158009285870047
405544,gen,users,VLsub,all,10,0.0
424369,gen,users,VLsub,all,13,0.0001280861938641357
805113,gen,users,VLsub,all,10,0.0
806902,gen,users,VLsub,all,8,None
860973,gen,users,VLsub,all,11,2.5820742792480343e-06
290917,other,users,VLsub,all,10,0.02899285977045445
481818,other,users,VLsub,all,16,0.4732425749395365
819952,other,users,VLsub,all,11,0.0068307842944103385
855895,other,users,VLsub,all,15,0.07575017951055274
916424,other,users,VLsub,all,16,0.11172471922517548
1125880,other,users,VLsub,all,16,0.6586070586591506
1159486,other,users,VLsub,all,13,0.8980504177676213
1238088,other,users,VLsub,all,8,None
1455965,other,users,VLsub,all,16,0.031331580714256894
41318,waternew,producers,VLsub,all,20,0.8518412519425659
97785,waternew,producers,VLsub,all,20,0.5502988687658272
197293,waternew,producers,VLsub,all,17,0.14866979655712045
372152,waternew,producers,VLsub,all,20,0.4017833569310797
1141323,waternew,producers,VLsub,all,20,0.7218431192329189
1147060,waternew,producers,VLsub,all,19,0.8632658840873652
1150482,waternew,producers,VLsub,all,14,0.15260159894220915
1344822,waternew,producers,VLsub,all,20,0.6655558673407479
34405,treelosswet,producers,VLsub,all,20,0.7858474437979638
40284,treelosswet,producers,VLsub,all,20,0.3699643357058208
259801,treelosswet,producers,VLsub,all,20,0.22876748214568268
815373,treelosswet,producers,VLsub,all,20,0.27923330565974525
1050008,treelosswet,producers,VLsub,all,20,0.8150169921715215
1348871,treelosswet,producers,VLsub,all,20,0.011533859891546473
1354518,treelosswet,producers,VLsub,all,20,0.18378575914226153
1398961,treelosswet,producers,VLsub,all,20,0.5043851191145453
1416380,treelosswet,producers,VLsub,all,20,0.6218538357243163
1422212,treelosswet,producers,VLsub,all,19,0.4493210746477237
103279,builtnewalert,producers,VLsub,all,20,0.5194129604032953
119116,builtnewalert,producers,VLsub,all,19,0.9070240646763474
171471,builtnewalert,producers,VLsub,all,20,0.02730805916683504
349802,builtnewalert,producers,VLsub,all,20,0.32198473471259387
423727,builtnewalert,producers,VLsub,all,20,0.10246533972025454
796166,builtnewalert,producers,VLsub,all,20,0.11328541281806326
824841,builtnewalert,producers,VLsub,all,20,0.5623314373922843
1240366,builtnewalert,producers,VLsub,all,20,0.37193350021871413
1348771,builtnewalert,producers,VLsub,all,20,0.6877941858114928
1369893,builtnewalert,producers,VLsub,all,20,0.28065629147683274
1382159,builtnewalert,producers,VLsub,all,20,0.6025938537139625
539283,fire,producers,VLsub,all,20,0.3107454881541152
557332,fire,producers,VLsub,all,20,0.07061793649075823
913366,fire,producers,VLsub,all,20,0.49323105106740217
1377803,fire,producers,VLsub,all,20,0.07645858304310335
1412057,fire,producers,VLsub,all,20,0.7979438736352119
30961,treelossTF,producers,VLsub,all,17,0.44295205235864843
35975,treelossTF,producers,VLsub,all,20,0.27817802694008625
576420,treelossTF,producers,VLsub,all,19,0.42673376029369287
701068,treelossTF,producers,VLsub,all,15,0.5614311716590648
723123,treelossTF,producers,VLsub,all,20,0.5634750767549623
782693,treelossTF,producers,VLsub,all,18,0.23247359497412537
835445,treelossTF,producers,VLsub,all,19,0.6862115485800744
889432,treelossTF,producers,VLsub,all,20,0.3537504751688911
1058298,treelossTF,producers,VLsub,all,20,0.7845811541908667
74185,cropnew,producers,VLsub,all,16,0.07095723294409507
254365,cropnew,producers,VLsub,all,10,0.003942691786927057
835151,cropnew,producers,VLsub,all,20,0.4934027927673527
857008,cropnew,producers,VLsub,all,20,0.4658228163152382
1085866,cropnew,producers,VLsub,all,20,0.608251949054546
1415162,cropnew,producers,VLsub,all,20,0.528320189062449
1465798,cropnew,producers,VLsub,all,20,0.6489832255735863
1472326,cropnew,producers,VLsub,all,20,0.33312734194506083
866187,wetshort,producers,VLsub,all,20,0.7011613934543717
1386398,wetshort,producers,VLsub,all,20,0.3381536333819803
1466277,wetshort,producers,VLsub,all,20,0.23895039056324577
168365,oldcrop_short,producers,VLsub,all,20,0.3294039637517212
490359,oldcrop_short,producers,VLsub,all,20,0.6817567114814695
529881,oldcrop_short,producers,VLsub,all,20,0.3845400689845841
1143507,oldcrop_short,producers,VLsub,all,16,0.9530390922079105
1402267,oldcrop_short,producers,VLsub,all,20,0.5035541736426693
1473302,oldcrop_short,producers,VLsub,all,20,0.19273143056688927
116332,gen,producers,VLsub,all,10,None
315306,gen,producers,VLsub,all,14,0.6243902439024389
405544,gen,producers,VLsub,all,10,None
424369,gen,producers,VLsub,all,13,0.4
805113,gen,producers,VLsub,all,10,None
806902,gen,producers,VLsub,all,8,None
860973,gen,producers,VLsub,all,11,0.5294117647058824
290917,other,producers,VLsub,all,10,0.17201444235568403
481818,other,producers,VLsub,all,16,0.6866550978903898
819952,other,producers,VLsub,all,11,0.0849754529345121
855895,other,producers,VLsub,all,15,0.1383374895872222
916424,other,producers,VLsub,all,16,0.8714796043378303
1125880,other,producers,VLsub,all,16,0.49304909627405086
1159486,other,producers,VLsub,all,13,0.006296043096575376
1238088,other,producers,VLsub,all,8,None
1455965,other,producers,VLsub,all,16,0.24324050205582393
41318,waternew,overall,VLsub,all,20,0.8173501613552197
97785,waternew,overall,VLsub,all,20,0.6424329377209231
197293,waternew,overall,VLsub,all,17,0.9949977714333899
372152,waternew,overall,VLsub,all,20,0.9545744805720616
1141323,waternew,overall,VLsub,all,20,0.9235589782801175
1147060,waternew,overall,VLsub,all,19,0.6774075089613719
1150482,waternew,overall,VLsub,all,14,0.6336742267936198
1344822,waternew,overall,VLsub,all,20,0.7969966100684965
34405,treelosswet,overall,VLsub,all,20,0.9844892002706483
40284,treelosswet,overall,VLsub,all,20,0.9650322402805729
259801,treelosswet,overall,VLsub,all,20,0.9201400592996625
815373,treelosswet,overall,VLsub,all,20,0.9662908104546262
1050008,treelosswet,overall,VLsub,all,20,0.8369398822639565
1348871,treelosswet,overall,VLsub,all,20,0.5034831797507976
1354518,treelosswet,overall,VLsub,all,20,0.8790980605667246
1398961,treelosswet,overall,VLsub,all,20,0.9673272087693171
1416380,treelosswet,overall,VLsub,all,20,0.7727052222751976
1422212,treelosswet,overall,VLsub,all,19,0.5162350652675557
103279,builtnewalert,overall,VLsub,all,20,0.932147037975106
119116,builtnewalert,overall,VLsub,all,19,0.7709434108561333
171471,builtnewalert,overall,VLsub,all,20,0.9500917874869095
349802,builtnewalert,overall,VLsub,all,20,0.6489924261414971
423727,builtnewalert,overall,VLsub,all,20,0.5533822081807419
796166,builtnewalert,overall,VLsub,all,20,0.9690469352097844
824841,builtnewalert,overall,VLsub,all,20,0.7353244044415826
1240366,builtnewalert,overall,VLsub,all,20,0.5464391204795106
1348771,builtnewalert,overall,VLsub,all,20,0.843916935283337
1369893,builtnewalert,overall,VLsub,all,20,0.9315419354605659
1382159,builtnewalert,overall,VLsub,all,20,0.7922504196496454
539283,fire,overall,VLsub,all,20,0.7809675288889485
557332,fire,overall,VLsub,all,20,0.48467466060398584
913366,fire,overall,VLsub,all,20,0.4495244286630944
1377803,fire,overall,VLsub,all,20,0.7278878951702284
1412057,fire,overall,VLsub,all,20,0.8545082801112328
30961,treelossTF,overall,VLsub,all,17,0.9546074626507374
35975,treelossTF,overall,VLsub,all,20,0.8793029155203221
576420,treelossTF,overall,VLsub,all,19,0.9367908643578551
701068,treelossTF,overall,VLsub,all,15,0.9410919146625067
723123,treelossTF,overall,VLsub,all,20,0.9216209965576576
782693,treelossTF,overall,VLsub,all,18,0.934078894966981
835445,treelossTF,overall,VLsub,all,19,0.8801293246665376
889432,treelossTF,overall,VLsub,all,20,0.9193001108747201
1058298,treelossTF,overall,VLsub,all,20,0.8705728759055245
74185,cropnew,overall,VLsub,all,16,0.9483563942982808
254365,cropnew,overall,VLsub,all,10,0.7691072326969556
835151,cropnew,overall,VLsub,all,20,0.9475880072062289
857008,cropnew,overall,VLsub,all,20,0.89496284699922
1085866,cropnew,overall,VLsub,all,20,0.9519045875670996
1415162,cropnew,overall,VLsub,all,20,0.8023480063793987
1465798,cropnew,overall,VLsub,all,20,0.8815720356005731
1472326,cropnew,overall,VLsub,all,20,0.8747992215944758
