block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VLsub,high,20,0.970539999008815
97785,waternew,users,VLsub,high,20,0.9926588949539727
197293,waternew,users,VLsub,high,17,1.0
372152,waternew,users,VLsub,high,20,0.9581950820508259
1141323,waternew,users,VLsub,high,20,0.9816425203307592
1147060,waternew,users,VLsub,high,19,1.0
1150482,waternew,users,VLsub,high,14,None
1344822,waternew,users,VLsub,high,20,0.6996706688044826
34405,treelosswet,users,VLsub,high,20,1.0
40284,treelosswet,users,VLsub,high,20,0.8337340829163787
259801,treelosswet,users,VLsub,high,20,0.7067035571279993
815373,treelosswet,users,VLsub,high,20,0.947383927516713
1050008,treelosswet,users,VLsub,high,20,0.9855056392260267
1348871,treelosswet,users,VLsub,high,20,1.0
1354518,treelosswet,users,VLsub,high,20,1.0
1398961,treelosswet,users,VLsub,high,20,0.6263692642667181
1416380,treelosswet,users,VLsub,high,20,0.5726979580943009
1422212,treelosswet,users,VLsub,high,19,0.8423977082761074
103279,builtnewalert,users,VLsub,high,20,1.0
119116,builtnewalert,users,VLsub,high,19,None
171471,builtnewalert,users,VLsub,high,20,1.0
349802,builtnewalert,users,VLsub,high,20,1.0
423727,builtnewalert,users,VLsub,high,20,1.0
796166,builtnewalert,users,VLsub,high,20,0.9318834937056194
824841,builtnewalert,users,VLsub,high,20,1.0
1240366,builtnewalert,users,VLsub,high,20,1.0
1348771,builtnewalert,users,VLsub,high,20,0.9891285572655619
1369893,builtnewalert,users,VLsub,high,20,1.0
1382159,builtnewalert,users,VLsub,high,20,1.0
539283,fire,users,VLsub,high,20,1.0
557332,fire,users,VLsub,high,20,1.0
913366,fire,users,VLsub,high,20,0.9522581258169762
1377803,fire,users,VLsub,high,20,0.9941653398234575
1412057,fire,users,VLsub,high,20,1.0
30961,treelossTF,users,VLsub,high,17,1.0
35975,treelossTF,users,VLsub,high,20,1.0
576420,treelossTF,users,VLsub,high,19,0.9920272788846695
701068,treelossTF,users,VLsub,high,19,0.9191828007400056
723123,treelossTF,users,VLsub,high,20,1.0
782693,treelossTF,users,VLsub,high,18,1.0
835445,treelossTF,users,VLsub,high,19,0.31784062777345273
889432,treelossTF,users,VLsub,high,20,0.9913945463147656
1058298,treelossTF,users,VLsub,high,20,1.0
74185,cropnew,users,VLsub,high,16,0.9411820964039785
254365,cropnew,users,VLsub,high,10,1.0
835151,cropnew,users,VLsub,high,20,1.0
857008,cropnew,users,VLsub,high,20,0.8967970052017102
1085866,cropnew,users,VLsub,high,20,1.0
