block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VLsub,high,20,0.7036933115637676
97785,waternew,users,VLsub,high,20,0.03543133401925537
197293,waternew,users,VLsub,high,17,0.0
372152,waternew,users,VLsub,high,20,0.7620241045280468
1141323,waternew,users,VLsub,high,20,0.952713822138987
1147060,waternew,users,VLsub,high,19,0.9744251603431334
1150482,waternew,users,VLsub,high,14,0.21836132987920462
1344822,waternew,users,VLsub,high,20,0.4055870261075507
34405,treelosswet,users,VLsub,high,20,1.0
40284,treelosswet,users,VLsub,high,20,0.46872348750436454
259801,treelosswet,users,VLsub,high,20,0.4746061590348384
815373,treelosswet,users,VLsub,high,20,0.21105473955649406
1050008,treelosswet,users,VLsub,high,20,1.0
1348871,treelosswet,users,VLsub,high,19,0.0
1354518,treelosswet,users,VLsub,high,18,0.18215933031154238
1398961,treelosswet,users,VLsub,high,19,0.6610389479939487
1416380,treelosswet,users,VLsub,high,19,0.4750697708665366
1422212,treelosswet,users,VLsub,high,19,0.29888622548891147
103279,builtnewalert,users,VLsub,high,20,None
119116,builtnewalert,users,VLsub,high,19,0.6763009291274975
171471,builtnewalert,users,VLsub,high,20,None
349802,builtnewalert,users,VLsub,high,20,0.03916455636441507
796166,builtnewalert,users,VLsub,high,20,0.0
824841,builtnewalert,users,VLsub,high,20,0.11822066607193203
1240366,builtnewalert,users,VLsub,high,20,0.24805778543722135
1348771,builtnewalert,users,VLsub,high,20,0.9993287104224687
1369893,builtnewalert,users,VLsub,high,20,1.0
1382159,builtnewalert,users,VLsub,high,20,0.9532324621733149
539283,fire,users,VLsub,high,20,1.0
557332,fire,users,VLsub,high,20,None
913366,fire,users,VLsub,high,20,0.0007619410448116577
1377803,fire,users,VLsub,high,20,None
1412057,fire,users,VLsub,high,20,1.0
30961,treelossTF,users,VLsub,high,17,1.0
35975,treelossTF,users,VLsub,high,20,1.0
576420,treelossTF,users,VLsub,high,19,0.5534278744856169
701068,treelossTF,users,VLsub,high,14,0.6427872382070855
723123,treelossTF,users,VLsub,high,20,0.9380533000603111
782693,treelossTF,users,VLsub,high,18,0.03636363636363636
835445,treelossTF,users,VLsub,high,19,0.6115723606833376
889432,treelossTF,users,VLsub,high,20,0.9706631446489385
1058298,treelossTF,users,VLsub,high,19,0.9629130595456031
