block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VLsub,high,20,0.6039533806162495
97785,waternew,users,VLsub,high,20,None
197293,waternew,users,VLsub,high,17,None
372152,waternew,users,VLsub,high,20,1.0
1141323,waternew,users,VLsub,high,20,0.3326242951407554
1147060,waternew,users,VLsub,high,19,1.0
1150482,waternew,users,VLsub,high,14,1.0
1344822,waternew,users,VLsub,high,20,0.0
34405,treelosswet,users,VLsub,high,20,1.0
40284,treelosswet,users,VLsub,high,20,1.0
259801,treelosswet,users,VLsub,high,20,0.1470934624225343
815373,treelosswet,users,VLsub,high,20,0.9467825271269674
1050008,treelosswet,users,VLsub,high,20,1.0
1348871,treelosswet,users,VLsub,high,20,1.0
1354518,treelosswet,users,VLsub,high,20,0.10909021514674991
1398961,treelosswet,users,VLsub,high,20,0.3128412497914602
1416380,treelosswet,users,VLsub,high,20,0.5031490347232431
1422212,treelosswet,users,VLsub,high,19,0.4989429022292985
103279,builtnewalert,users,VLsub,high,20,None
119116,builtnewalert,users,VLsub,high,19,None
171471,builtnewalert,users,VLsub,high,20,0.3218277778892657
349802,builtnewalert,users,VLsub,high,20,None
423727,builtnewalert,users,VLsub,high,20,0.9755069014018284
796166,builtnewalert,users,VLsub,high,20,0.9851736104222579
824841,builtnewalert,users,VLsub,high,20,1.0
1240366,builtnewalert,users,VLsub,high,20,0.5689546140000973
1348771,builtnewalert,users,VLsub,high,20,1.0
1369893,builtnewalert,users,VLsub,high,20,None
1382159,builtnewalert,users,VLsub,high,20,None
539283,fire,users,VLsub,high,20,1.0
557332,fire,users,VLsub,high,20,0.9775768762383635
913366,fire,users,VLsub,high,20,0.8653846153846155
1377803,fire,users,VLsub,high,20,0.8565812485314502
1412057,fire,users,VLsub,high,20,0.8323644479486028
30961,treelossTF,users,VLsub,high,17,1.0
35975,treelossTF,users,VLsub,high,20,1.0
576420,treelossTF,users,VLsub,high,19,0.862030677374711
701068,treelossTF,users,VLsub,high,19,0.9854725309517874
723123,treelossTF,users,VLsub,high,20,0.8596491228070177
782693,treelossTF,users,VLsub,high,18,1.0
835445,treelossTF,users,VLsub,high,19,1.0
889432,treelossTF,users,VLsub,high,20,0.9115950922477384
1058298,treelossTF,users,VLsub,high,20,0.841767118699625
74185,cropnew,users,VLsub,high,16,None
254365,cropnew,users,VLsub,high,10,None
835151,cropnew,users,VLsub,high,20,None
857008,cropnew,users,VLsub,high,20,None
1085866,cropnew,users,VLsub,high,20,0.0
1415162,cropnew,users,VLsub,high,20,0.0
1465798,cropnew,users,VLsub,high,20,0.7974683544303799
1472326,cropnew,users,VLsub,high,20,None
866187,wetshort,users,VLsub,high,20,1.0
1386398,wetshort,users,VLsub,high,20,0.019002754102138135
1460357,wetshort,users,VLsub,high,20,0.8730529352552328
1466277,wetshort,users,VLsub,high,20,None
168365,oldcrop_short,users,VLsub,high,20,0.3168936558361904
490359,oldcrop_short,users,VLsub,high,20,0.38813096774290323
529881,oldcrop_short,users,VLsub,high,20,0.7182389992073079
1143507,oldcrop_short,users,VLsub,high,16,1.0
1402267,oldcrop_short,users,VLsub,high,20,0.0
1473302,oldcrop_short,users,VLsub,high,20,None
116332,gen,users,VLsub,high,10,None
315306,gen,users,VLsub,high,14,0.0
405544,gen,users,VLsub,high,10,None
424369,gen,users,VLsub,high,13,0.0
805113,gen,users,VLsub,high,10,0.0
806902,gen,users,VLsub,high,8,None
860973,gen,users,VLsub,high,11,0.0
290917,other,users,VLsub,high,10,1.0
481818,other,users,VLsub,high,16,0.5127796046511754
819952,other,users,VLsub,high,11,1.0
855895,other,users,VLsub,high,15,None
916424,other,users,VLsub,high,16,1.0
1125880,other,users,VLsub,high,16,1.0
1159486,other,users,VLsub,high,13,None
1238088,other,users,VLsub,high,8,None
1455965,other,users,VLsub,high,16,None
41318,waternew,producers,VLsub,high,20,0.705290674599157
97785,waternew,producers,VLsub,high,20,None
197293,waternew,producers,VLsub,high,17,0.9523809523809523
372152,waternew,producers,VLsub,high,20,0.8012834111158251
1141323,waternew,producers,VLsub,high,20,0.31249999999999994
1147060,waternew,producers,VLsub,high,19,None
1150482,waternew,producers,VLsub,high,14,None
1344822,waternew,producers,VLsub,high,20,0.04329193968449661
34405,treelosswet,producers,VLsub,high,20,0.8685535070263743
40284,treelosswet,producers,VLsub,high,20,0.8458768973601498
259801,treelosswet,producers,VLsub,high,20,0.6227783087566838
815373,treelosswet,producers,VLsub,high,20,0.903529311596657
1050008,treelosswet,producers,VLsub,high,20,0.23796244510686945
1348871,treelosswet,producers,VLsub,high,20,0.7676755388316825
1354518,treelosswet,producers,VLsub,high,20,0.9371257478687092
1398961,treelosswet,producers,VLsub,high,20,0.8902055970641108
1416380,treelosswet,producers,VLsub,high,20,0.9191038391966522
1422212,treelosswet,producers,VLsub,high,19,0.6561319194655324
103279,builtnewalert,producers,VLsub,high,20,0.3043478260869565
119116,builtnewalert,producers,VLsub,high,19,0.08944107005166897
171471,builtnewalert,producers,VLsub,high,20,0.3710687542545949
349802,builtnewalert,producers,VLsub,high,20,0.6792095299490635
423727,builtnewalert,producers,VLsub,high,20,0.9196330929697301
796166,builtnewalert,producers,VLsub,high,20,0.7799545585430662
824841,builtnewalert,producers,VLsub,high,20,0.30249149602682707
