block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VLsub,high,20,0.9111053764366861
97785,waternew,users,VLsub,high,20,0.9782905506474515
197293,waternew,users,VLsub,high,17,1.0
372152,waternew,users,VLsub,high,20,0.9579051628079733
1141323,waternew,users,VLsub,high,20,0.9814947480897548
1147060,waternew,users,VLsub,high,19,1.0
1150482,waternew,users,VLsub,high,14,None
1344822,waternew,users,VLsub,high,20,0.6235575816651312
34405,treelosswet,users,VLsub,high,20,1.0
40284,treelosswet,users,VLsub,high,20,0.3987173598758714
259801,treelosswet,users,VLsub,high,20,0.5800238117278914
815373,treelosswet,users,VLsub,high,20,0.9574976018239949
1050008,treelosswet,users,VLsub,high,20,0.9848547162256446
1348871,treelosswet,users,VLsub,high,20,1.0
1354518,treelosswet,users,VLsub,high,20,1.0
1398961,treelosswet,users,VLsub,high,20,0.4215484480531615
1416380,treelosswet,users,VLsub,high,20,0.5634723713706021
1422212,treelosswet,users,VLsub,high,19,0.8331033557742974
103279,builtnewalert,users,VLsub,high,20,1.0
119116,builtnewalert,users,VLsub,high,19,None
171471,builtnewalert,users,VLsub,high,20,1.0
349802,builtnewalert,users,VLsub,high,20,1.0
423727,builtnewalert,users,VLsub,high,20,1.0
796166,builtnewalert,users,VLsub,high,20,0.9612838731399495
824841,builtnewalert,users,VLsub,high,20,1.0
1240366,builtnewalert,users,VLsub,high,20,0.7961817623619551
1348771,builtnewalert,users,VLsub,high,20,0.9922103505295321
1369893,builtnewalert,users,VLsub,high,20,1.0
1382159,builtnewalert,users,VLsub,high,20,1.0
539283,fire,users,VLsub,high,20,1.0
557332,fire,users,VLsub,high,20,0.9964158892846947
913366,fire,users,VLsub,high,20,0.9103084733199895
1377803,fire,users,VLsub,high,20,0.8996940617142847
1412057,fire,users,VLsub,high,20,0.8765861682156413
30961,treelossTF,users,VLsub,high,17,1.0
35975,treelossTF,users,VLsub,high,20,0.902501628149574
576420,treelossTF,users,VLsub,high,19,0.9839904564447519
701068,treelossTF,users,VLsub,high,19,0.9614515935794277
723123,treelossTF,users,VLsub,high,20,1.0
782693,treelossTF,users,VLsub,high,18,1.0
835445,treelossTF,users,VLsub,high,19,0.308962476452596
889432,treelossTF,users,VLsub,high,20,0.994027639566395
1058298,treelossTF,users,VLsub,high,20,1.0
74185,cropnew,users,VLsub,high,16,0.8858545322358934
254365,cropnew,users,VLsub,high,10,1.0
835151,cropnew,users,VLsub,high,20,1.0
857008,cropnew,users,VLsub,high,20,0.8747138255991379
1085866,cropnew,users,VLsub,high,20,1.0
1415162,cropnew,users,VLsub,high,20,0.8528600826833916
1465798,cropnew,users,VLsub,high,20,0.9456156507454513
1472326,cropnew,users,VLsub,high,20,0.997732426303855
866187,wetshort,users,VLsub,high,20,1.0
1386398,wetshort,users,VLsub,high,20,0.997519246823494
1460357,wetshort,users,VLsub,high,20,0.9723055252480574
1466277,wetshort,users,VLsub,high,20,0.5785852619851637
168365,oldcrop_short,users,VLsub,high,20,1.0
490359,oldcrop_short,users,VLsub,high,20,0.9631130358722754
529881,oldcrop_short,users,VLsub,high,20,0.9901513066478793
1143507,oldcrop_short,users,VLsub,high,16,1.0
1402267,oldcrop_short,users,VLsub,high,20,0.04292309102279856
1473302,oldcrop_short,users,VLsub,high,20,0.9847245237962686
116332,gen,users,VLsub,high,10,None
315306,gen,users,VLsub,high,14,None
405544,gen,users,VLsub,high,10,None
424369,gen,users,VLsub,high,13,None
805113,gen,users,VLsub,high,10,None
806902,gen,users,VLsub,high,8,None
860973,gen,users,VLsub,high,11,None
290917,other,users,VLsub,high,10,1.0
481818,other,users,VLsub,high,16,0.9265438516729388
819952,other,users,VLsub,high,11,1.0
855895,other,users,VLsub,high,15,0.997326203208556
916424,other,users,VLsub,high,16,1.0
1125880,other,users,VLsub,high,16,0.8850163697255096
1159486,other,users,VLsub,high,13,1.0
1238088,other,users,VLsub,high,8,None
1455965,other,users,VLsub,high,16,0.9924535998368346
41318,waternew,producers,VLsub,high,20,0.9533045625853387
97785,waternew,producers,VLsub,high,20,None
197293,waternew,producers,VLsub,high,17,0.984126984126984
372152,waternew,producers,VLsub,high,20,0.9028981757019019
1141323,waternew,producers,VLsub,high,20,0.9823529411764704
1147060,waternew,producers,VLsub,high,19,None
1150482,waternew,producers,VLsub,high,14,None
1344822,waternew,producers,VLsub,high,20,0.888143874985974
34405,treelosswet,producers,VLsub,high,20,0.9734377940323605
40284,treelosswet,producers,VLsub,high,20,0.934992320250179
259801,treelosswet,producers,VLsub,high,20,0.9368547538047993
815373,treelosswet,producers,VLsub,high,20,0.9337870661688282
1050008,treelosswet,producers,VLsub,high,20,0.6646305763658431
1348871,treelosswet,producers,VLsub,high,20,0.9232718444756901
1354518,treelosswet,producers,VLsub,high,20,0.9702067331570671
1398961,treelosswet,producers,VLsub,high,20,0.9885961920663212
1416380,treelosswet,producers,VLsub,high,20,0.9992933633535843
1422212,treelosswet,producers,VLsub,high,19,0.9840860265576327
103279,builtnewalert,producers,VLsub,high,20,1.0
119116,builtnewalert,producers,VLsub,high,19,0.9944414796843362
171471,builtnewalert,producers,VLsub,high,20,0.7944791943789854
349802,builtnewalert,producers,VLsub,high,20,0.9618573286684426
423727,builtnewalert,producers,VLsub,high,20,0.9223142741000404
796166,builtnewalert,producers,VLsub,high,20,0.9069090866176411
824841,builtnewalert,producers,VLsub,high,20,0.9708953275272456
1240366,builtnewalert,producers,VLsub,high,20,0.857142857142857
1348771,builtnewalert,producers,VLsub,high,20,0.9504640478993802
1369893,builtnewalert,producers,VLsub,high,20,0.02213574290128421
1382159,builtnewalert,producers,VLsub,high,20,None
539283,fire,producers,VLsub,high,20,0.9492801699071052
557332,fire,producers,VLsub,high,20,0.9077617208969866
913366,fire,producers,VLsub,high,20,1.0
1377803,fire,producers,VLsub,high,20,0.9885573031750798
1412057,fire,producers,VLsub,high,20,1.0
30961,treelossTF,producers,VLsub,high,17,0.4515595173290081
35975,treelossTF,producers,VLsub,high,20,0.8773229720267681
576420,treelossTF,producers,VLsub,high,19,0.8646855168333871
701068,treelossTF,producers,VLsub,high,19,0.8477126233303828
723123,treelossTF,producers,VLsub,high,20,0.9369840193419036
782693,treelossTF,producers,VLsub,high,18,None
835445,treelossTF,producers,VLsub,high,19,1.0
889432,treelossTF,producers,VLsub,high,20,0.9690947849822205
1058298,treelossTF,producers,VLsub,high,20,0.9950429693732628
74185,cropnew,producers,VLsub,high,16,None
254365,cropnew,producers,VLsub,high,10,0.8866396761133601
835151,cropnew,producers,VLsub,high,20,0.9966797855627361
857008,cropnew,producers,VLsub,high,20,0.9032178103471279
1085866,cropnew,producers,VLsub,high,20,0.9664526702032243
1415162,cropnew,producers,VLsub,high,20,1.0
1465798,cropnew,producers,VLsub,high,20,0.8911716019633421
1472326,cropnew,producers,VLsub,high,20,1.0
866187,wetshort,producers,VLsub,high,20,0.9253731343283582
1386398,wetshort,producers,VLsub,high,20,0.9860959056391658
1460357,wetshort,producers,VLsub,high,20,0.9161195779773388
1466277,wetshort,producers,VLsub,high,20,0.984375
168365,oldcrop_short,producers,VLsub,high,20,0.9659587149727145
490359,oldcrop_short,producers,VLsub,high,20,0.9559608018713787
529881,oldcrop_short,producers,VLsub,high,20,0.9452887537993921
1143507,oldcrop_short,producers,VLsub,high,16,None
1402267,oldcrop_short,producers,VLsub,high,20,None
1473302,oldcrop_short,producers,VLsub,high,20,0.9284360917095374
116332,gen,producers,VLsub,high,10,None
315306,gen,producers,VLsub,high,14,None
405544,gen,producers,VLsub,high,10,None
424369,gen,producers,VLsub,high,13,0.96
805113,gen,producers,VLsub,high,10,None
806902,gen,producers,VLsub,high,8,None
860973,gen,producers,VLsub,high,11,None
290917,other,producers,VLsub,high,10,0.9918490216510362
481818,other,producers,VLsub,high,16,0.8787084513823629
819952,other,producers,VLsub,high,11,0.8545057487007403
855895,other,producers,VLsub,high,15,0.914280808589547
916424,other,producers,VLsub,high,16,0.9921650287945665
1125880,other,producers,VLsub,high,16,None
1159486,other,producers,VLsub,high,13,1.0
1238088,other,producers,VLsub,high,8,None
1455965,other,producers,VLsub,high,16,1.0
41318,waternew,overall,VLsub,high,20,0.9877779980056252
97785,waternew,overall,VLsub,high,20,0.992926764740112
197293,waternew,overall,VLsub,high,17,0.9996648545580641
372152,waternew,overall,VLsub,high,20,0.9984268425641499
1141323,waternew,overall,VLsub,high,20,0.9990880935540581
1147060,waternew,overall,VLsub,high,19,0.9994870425079351
1150482,waternew,overall,VLsub,high,14,1.0
1344822,waternew,overall,VLsub,high,20,0.9893832400090451
34405,treelosswet,overall,VLsub,high,20,0.9878935305319548
40284,treelosswet,overall,VLsub,high,20,0.9770098134271139
259801,treelosswet,overall,VLsub,high,20,0.9788450352925824
815373,treelosswet,overall,VLsub,high,20,0.985495449839951
1050008,treelosswet,overall,VLsub,high,20,0.4081214533775228
1348871,treelosswet,overall,VLsub,high,20,0.9844565338719253
1354518,treelosswet,overall,VLsub,high,20,0.9869674467078945
1398961,treelosswet,overall,VLsub,high,20,0.9638638267282612
1416380,treelosswet,overall,VLsub,high,20,0.7589422774743222
1422212,treelosswet,overall,VLsub,high,19,0.8864236105977935
103279,builtnewalert,overall,VLsub,high,20,0.9983108347933248
