block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VLsub,high,20,0.6554594975124592
97785,waternew,users,VLsub,high,20,0.033926201478871265
197293,waternew,users,VLsub,high,17,0.08798892193139768
372152,waternew,users,VLsub,high,20,0.07191511102306684
1141323,waternew,users,VLsub,high,20,0.9592373871171784
1147060,waternew,users,VLsub,high,19,0.9793127402845753
1150482,waternew,users,VLsub,high,14,0.25939173251095016
1344822,waternew,users,VLsub,high,20,0.414209750035727
34405,treelosswet,users,VLsub,high,20,1.0
40284,treelosswet,users,VLsub,high,20,0.48206426668731006
259801,treelosswet,users,VLsub,high,20,0.4103300237775482
815373,treelosswet,users,VLsub,high,20,0.20279663613501597
1050008,treelosswet,users,VLsub,high,20,1.0
1348871,treelosswet,users,VLsub,high,19,0.0019205293624110157
1354518,treelosswet,users,VLsub,high,18,0.34514793937084187
1398961,treelosswet,users,VLsub,high,19,0.7882580686907323
1416380,treelosswet,users,VLsub,high,19,0.5053203096371657
1422212,treelosswet,users,VLsub,high,19,0.25311961760096724
103279,builtnewalert,users,VLsub,high,20,0.24896964226248036
119116,builtnewalert,users,VLsub,high,19,0.6499639108928239
171471,builtnewalert,users,VLsub,high,20,0.0
349802,builtnewalert,users,VLsub,high,20,0.03626007314445811
796166,builtnewalert,users,VLsub,high,20,0.0026109040848781183
824841,builtnewalert,users,VLsub,high,20,0.0918801312783457
1240366,builtnewalert,users,VLsub,high,20,0.25054145254274285
1348771,builtnewalert,users,VLsub,high,20,0.9995194427398079
1369893,builtnewalert,users,VLsub,high,20,0.7401273036979562
1382159,builtnewalert,users,VLsub,high,20,0.9523081582554912
539283,fire,users,VLsub,high,20,0.9901887697189246
557332,fire,users,VLsub,high,20,None
913366,fire,users,VLsub,high,20,0.0010315168057891896
1377803,fire,users,VLsub,high,20,None
1412057,fire,users,VLsub,high,20,0.9657499833377003
30961,treelossTF,users,VLsub,high,17,1.0
35975,treelossTF,users,VLsub,high,20,1.0
576420,treelossTF,users,VLsub,high,19,0.5431681601153587
701068,treelossTF,users,VLsub,high,14,0.6427872382070855
723123,treelossTF,users,VLsub,high,20,0.38762867640016396
782693,treelossTF,users,VLsub,high,18,0.047619047619047616
835445,treelossTF,users,VLsub,high,19,0.6170199961842642
889432,treelossTF,users,VLsub,high,20,0.9718875659862491
1058298,treelossTF,users,VLsub,high,19,0.8001621099083507
74185,cropnew,users,VLsub,high,15,None
835151,cropnew,users,VLsub,high,20,0.9166666666666667
857008,cropnew,users,VLsub,high,20,0.43069221996999096
1085866,cropnew,users,VLsub,high,20,0.6876563491308102
