block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VLsub,high,20,1.0
97785,waternew,users,VLsub,high,20,1.0
197293,waternew,users,VLsub,high,17,1.0
372152,waternew,users,VLsub,high,20,1.0
1141323,waternew,users,VLsub,high,20,1.0
1147060,waternew,users,VLsub,high,19,1.0
1150482,waternew,users,VLsub,high,14,None
1344822,waternew,users,VLsub,high,20,0.7125415876009616
34405,treelosswet,users,VLsub,high,20,1.0
40284,treelosswet,users,VLsub,high,19,1.0
259801,treelosswet,users,VLsub,high,20,1.0
815373,treelosswet,users,VLsub,high,20,1.0
1050008,treelosswet,users,VLsub,high,20,None
1348871,treelosswet,users,VLsub,high,20,1.0
1354518,treelosswet,users,VLsub,high,20,1.0
1398961,treelosswet,users,VLsub,high,20,0.8616116657676695
1416380,treelosswet,users,VLsub,high,20,0.7257893373730631
1422212,treelosswet,users,VLsub,high,19,0.8958825922883138
103279,builtnewalert,users,VLsub,high,20,1.0
119116,builtnewalert,users,VLsub,high,19,None
171471,builtnewalert,users,VLsub,high,20,1.0
349802,builtnewalert,users,VLsub,high,20,1.0
423727,builtnewalert,users,VLsub,high,20,1.0
796166,builtnewalert,users,VLsub,high,20,1.0
824841,builtnewalert,users,VLsub,high,20,1.0
1240366,builtnewalert,users,VLsub,high,20,1.0
1348771,builtnewalert,users,VLsub,high,20,1.0
1369893,builtnewalert,users,VLsub,high,20,None
1382159,builtnewalert,users,VLsub,high,20,1.0
539283,fire,users,VLsub,high,20,1.0
557332,fire,users,VLsub,high,20,1.0
913366,fire,users,VLsub,high,20,None
1377803,fire,users,VLsub,high,20,None
1412057,fire,users,VLsub,high,20,1.0
30961,treelossTF,users,VLsub,high,17,1.0
35975,treelossTF,users,VLsub,high,19,1.0
576420,treelossTF,users,VLsub,high,19,1.0
701068,treelossTF,users,VLsub,high,19,1.0
723123,treelossTF,users,VLsub,high,20,1.0
782693,treelossTF,users,VLsub,high,18,1.0
835445,treelossTF,users,VLsub,high,18,0.5
889432,treelossTF,users,VLsub,high,18,1.0
1058298,treelossTF,users,VLsub,high,20,1.0
74185,cropnew,users,VLsub,high,16,1.0
254365,cropnew,users,VLsub,high,10,1.0
835151,cropnew,users,VLsub,high,20,1.0
857008,cropnew,users,VLsub,high,20,0.9175763396326795
1085866,cropnew,users,VLsub,high,20,1.0
1415162,cropnew,users,VLsub,high,20,1.0
1465798,cropnew,users,VLsub,high,20,1.0
1472326,cropnew,users,VLsub,high,20,1.0
866187,wetshort,users,VLsub,high,20,1.0
1386398,wetshort,users,VLsub,high,20,1.0
1460357,wetshort,users,VLsub,high,20,1.0
1466277,wetshort,users,VLsub,high,20,0.4217693258219911
168365,oldcrop_short,users,VLsub,high,20,1.0
490359,oldcrop_short,users,VLsub,high,20,1.0
529881,oldcrop_short,users,VLsub,high,20,1.0
1143507,oldcrop_short,users,VLsub,high,16,1.0
1402267,oldcrop_short,users,VLsub,high,20,0.08025415574145683
1473302,oldcrop_short,users,VLsub,high,20,1.0
116332,gen,users,VLsub,high,10,None
315306,gen,users,VLsub,high,14,None
405544,gen,users,VLsub,high,10,None
424369,gen,users,VLsub,high,13,None
805113,gen,users,VLsub,high,10,None
806902,gen,users,VLsub,high,8,None
860973,gen,users,VLsub,high,11,None
290917,other,users,VLsub,high,10,1.0
481818,other,users,VLsub,high,16,1.0
819952,other,users,VLsub,high,11,1.0
855895,other,users,VLsub,high,15,1.0
916424,other,users,VLsub,high,16,1.0
1125880,other,users,VLsub,high,16,0.875425861235463
1159486,other,users,VLsub,high,13,1.0
1238088,other,users,VLsub,high,8,None
1455965,other,users,VLsub,high,16,1.0
41318,waternew,producers,VLsub,high,20,0.8861480367086833
97785,waternew,producers,VLsub,high,20,None
197293,waternew,producers,VLsub,high,17,0.981651376146789
372152,waternew,producers,VLsub,high,20,0.8315678530360047
1141323,waternew,producers,VLsub,high,20,0.9767441860465116
1147060,waternew,producers,VLsub,high,19,None
1150482,waternew,producers,VLsub,high,14,None
1344822,waternew,producers,VLsub,high,20,0.8607544281775777
34405,treelosswet,producers,VLsub,high,20,0.7910014704138086
40284,treelosswet,producers,VLsub,high,19,0.7019255788596753
259801,treelosswet,producers,VLsub,high,20,0.7025450896819437
815373,treelosswet,producers,VLsub,high,20,0.7064026497633105
1050008,treelosswet,producers,VLsub,high,20,0.0
1348871,treelosswet,producers,VLsub,high,20,0.0979392881453508
1354518,treelosswet,producers,VLsub,high,20,0.7233955300389584
1398961,treelosswet,producers,VLsub,high,20,0.903582922432673
1416380,treelosswet,producers,VLsub,high,20,0.9994284726014661
1422212,treelosswet,producers,VLsub,high,19,0.08627856263439652
103279,builtnewalert,producers,VLsub,high,20,1.0
119116,builtnewalert,producers,VLsub,high,19,0.9914192219794569
171471,builtnewalert,producers,VLsub,high,20,0.638600558236158
349802,builtnewalert,producers,VLsub,high,20,0.9506898639078897
423727,builtnewalert,producers,VLsub,high,20,0.9193654590201991
796166,builtnewalert,producers,VLsub,high,20,0.025419449730475586
824841,builtnewalert,producers,VLsub,high,20,0.9610225542947893
1240366,builtnewalert,producers,VLsub,high,20,0.6666666666666666
1348771,builtnewalert,producers,VLsub,high,20,0.9002053173849327
1369893,builtnewalert,producers,VLsub,high,20,0.0
1382159,builtnewalert,producers,VLsub,high,20,None
539283,fire,producers,VLsub,high,20,0.842748263141781
557332,fire,producers,VLsub,high,20,0.48620701353554774
913366,fire,producers,VLsub,high,20,None
1377803,fire,producers,VLsub,high,20,0.0
1412057,fire,producers,VLsub,high,20,1.0
30961,treelossTF,producers,VLsub,high,17,0.052435060147766374
35975,treelossTF,producers,VLsub,high,19,0.25795636488800566
576420,treelossTF,producers,VLsub,high,19,0.6940058031007483
701068,treelossTF,producers,VLsub,high,19,0.4503250201314084
723123,treelossTF,producers,VLsub,high,20,0.7444957961060399
782693,treelossTF,producers,VLsub,high,18,None
835445,treelossTF,producers,VLsub,high,18,None
889432,treelossTF,producers,VLsub,high,18,0.6317665109892239
1058298,treelossTF,producers,VLsub,high,20,0.9898593599539108
74185,cropnew,producers,VLsub,high,16,None
254365,cropnew,producers,VLsub,high,10,0.8673745201454548
835151,cropnew,producers,VLsub,high,20,0.9953893483805492
857008,cropnew,producers,VLsub,high,20,0.835835067703938
1085866,cropnew,producers,VLsub,high,20,0.9572179729155915
1415162,cropnew,producers,VLsub,high,20,1.0
1465798,cropnew,producers,VLsub,high,20,0.889346822247216
1472326,cropnew,producers,VLsub,high,20,1.0
866187,wetshort,producers,VLsub,high,20,0.0
1386398,wetshort,producers,VLsub,high,20,0.9705914671142598
1460357,wetshort,producers,VLsub,high,20,0.6782400681152182
1466277,wetshort,producers,VLsub,high,20,0.0
168365,oldcrop_short,producers,VLsub,high,20,0.9395957870568791
490359,oldcrop_short,producers,VLsub,high,20,0.9290583744992813
529881,oldcrop_short,producers,VLsub,high,20,0.8749344666594283
1143507,oldcrop_short,producers,VLsub,high,16,None
1402267,oldcrop_short,producers,VLsub,high,20,None
1473302,oldcrop_short,producers,VLsub,high,20,0.8952527538828029
116332,gen,producers,VLsub,high,10,None
315306,gen,producers,VLsub,high,14,None
405544,gen,producers,VLsub,high,10,None
424369,gen,producers,VLsub,high,13,0.95
805113,gen,producers,VLsub,high,10,None
806902,gen,producers,VLsub,high,8,None
860973,gen,producers,VLsub,high,11,None
290917,other,producers,VLsub,high,10,0.9717314487632508
481818,other,producers,VLsub,high,16,0.7964404617418142
