block,blockstratum,measureType,refChangeType,changeintensity,NpixelsEvaluated,stat
41318,waternew,users,VLsub,high,20,0.6977591098652249
97785,waternew,users,VLsub,high,20,0.03413096379770379
197293,waternew,users,VLsub,high,17,0.048733829432528346
372152,waternew,users,VLsub,high,20,0.7030086315548257
1141323,waternew,users,VLsub,high,20,0.9589288157572314
1147060,waternew,users,VLsub,high,19,0.9790947072304529
1150482,waternew,users,VLsub,high,14,0.2574094150424767
1344822,waternew,users,VLsub,high,20,0.4148764808078966
34405,treelosswet,users,VLsub,high,20,1.0
40284,treelosswet,users,VLsub,high,20,0.4707093737375633
259801,treelosswet,users,VLsub,high,20,0.4373184501815127
815373,treelosswet,users,VLsub,high,20,0.2038213974798635
1050008,treelosswet,users,VLsub,high,20,1.0
1348871,treelosswet,users,VLsub,high,20,0.0018353077403859997
1354518,treelosswet,users,VLsub,high,20,0.35344836054398315
1398961,treelosswet,users,VLsub,high,20,0.7581789077348448
1416380,treelosswet,users,VLsub,high,20,0.5035598466664085
1422212,treelosswet,users,VLsub,high,19,0.23242187292812164
103279,builtnewalert,users,VLsub,high,20,0.19924388640712073
119116,builtnewalert,users,VLsub,high,19,0.6494847444663826
171471,builtnewalert,users,VLsub,high,20,None
349802,builtnewalert,users,VLsub,high,20,0.03497026940796619
423727,builtnewalert,users,VLsub,high,20,0.8260654291720521
796166,builtnewalert,users,VLsub,high,20,0.0
824841,builtnewalert,users,VLsub,high,20,0.09543955782737333
1240366,builtnewalert,users,VLsub,high,20,0.2497652555292139
1348771,builtnewalert,users,VLsub,high,20,0.9994986200459557
1369893,builtnewalert,users,VLsub,high,20,0.7766247632371863
1382159,builtnewalert,users,VLsub,high,20,0.9524119856327592
539283,fire,users,VLsub,high,20,1.0
557332,fire,users,VLsub,high,20,None
913366,fire,users,VLsub,high,20,0.0011002089339081221
1377803,fire,users,VLsub,high,20,None
1412057,fire,users,VLsub,high,20,1.0
30961,treelossTF,users,VLsub,high,17,1.0
35975,treelossTF,users,VLsub,high,20,1.0
576420,treelossTF,users,VLsub,high,19,0.5456674401620355
701068,treelossTF,users,VLsub,high,15,0.6188244047619047
723123,treelossTF,users,VLsub,high,20,0.9453574562039139
782693,treelossTF,users,VLsub,high,18,0.034482758620689655
835445,treelossTF,users,VLsub,high,19,0.622959456371323
889432,treelossTF,users,VLsub,high,20,0.9705135050541738
1058298,treelossTF,users,VLsub,high,20,0.8882290551399591
74185,cropnew,users,VLsub,high,16,None
254365,cropnew,users,VLsub,high,10,0.0016430212346181768
835151,cropnew,users,VLsub,high,20,0.9130434782608694
857008,cropnew,users,VLsub,high,20,0.42037400139967235
1085866,cropnew,users,VLsub,high,20,0.6622381143250649
1415162,cropnew,users,VLsub,high,20,0.019652091936371532
1465798,cropnew,users,VLsub,high,20,0.7357316006866197
1472326,cropnew,users,VLsub,high,20,0.12529002320185614
866187,wetshort,users,VLsub,high,20,0.792506867105572
1386398,wetshort,users,VLsub,high,20,0.6683451032379591
1466277,wetshort,users,VLsub,high,20,0.1933577944848288
168365,oldcrop_short,users,VLsub,high,20,0.2944855921859547
490359,oldcrop_short,users,VLsub,high,20,0.14516030001785993
529881,oldcrop_short,users,VLsub,high,20,0.3593239998323938
1143507,oldcrop_short,users,VLsub,high,16,0.9999557988634317
1402267,oldcrop_short,users,VLsub,high,20,0.37573601498581943
1473302,oldcrop_short,users,VLsub,high,20,0.6143781031925503
116332,gen,users,VLsub,high,10,None
315306,gen,users,VLsub,high,14,0.005487456659128718
405544,gen,users,VLsub,high,10,None
424369,gen,users,VLsub,high,13,0.00011780719562141191
805113,gen,users,VLsub,high,10,0.0
806902,gen,users,VLsub,high,8,None
860973,gen,users,VLsub,high,11,0.0
290917,other,users,VLsub,high,10,1.0
481818,other,users,VLsub,high,16,0.604934430677399
819952,other,users,VLsub,high,11,None
855895,other,users,VLsub,high,15,0.7755655751045527
916424,other,users,VLsub,high,16,0.19915229247236788
1125880,other,users,VLsub,high,16,0.3660130718954248
1159486,other,users,VLsub,high,13,None
1238088,other,users,VLsub,high,8,None
1455965,other,users,VLsub,high,16,1.0
41318,waternew,producers,VLsub,high,20,0.9237269004798415
97785,waternew,producers,VLsub,high,20,None
197293,waternew,producers,VLsub,high,17,0.75
372152,waternew,producers,VLsub,high,20,0.3917287894923677
1141323,waternew,producers,VLsub,high,20,0.9583333333333331
1147060,waternew,producers,VLsub,high,19,None
1150482,waternew,producers,VLsub,high,14,None
1344822,waternew,producers,VLsub,high,20,0.6905190057665087
34405,treelosswet,producers,VLsub,high,20,0.7313893912131176
40284,treelosswet,producers,VLsub,high,20,0.368669510992721
259801,treelosswet,producers,VLsub,high,20,0.4259402004513668
815373,treelosswet,producers,VLsub,high,20,0.11275555090922847
1050008,treelosswet,producers,VLsub,high,20,0.8046178441783385
1348871,treelosswet,producers,VLsub,high,20,0.1132469760897511
1354518,treelosswet,producers,VLsub,high,20,0.6553634857239596
1398961,treelosswet,producers,VLsub,high,20,0.6099321225698671
1416380,treelosswet,producers,VLsub,high,20,0.6306190702326945
1422212,treelosswet,producers,VLsub,high,19,0.5598199368872998
103279,builtnewalert,producers,VLsub,high,20,0.8571428571428572
119116,builtnewalert,producers,VLsub,high,19,0.0736837470575184
171471,builtnewalert,producers,VLsub,high,20,0.029769214549357555
349802,builtnewalert,producers,VLsub,high,20,0.37595837901378987
423727,builtnewalert,producers,VLsub,high,20,0.7328427675182778
796166,builtnewalert,producers,VLsub,high,20,0.0
824841,builtnewalert,producers,VLsub,high,20,0.5425530162716933
1240366,builtnewalert,producers,VLsub,high,20,1.0
1348771,builtnewalert,producers,VLsub,high,20,0.8772717257975046
1369893,builtnewalert,producers,VLsub,high,20,0.024262988908347927
1382159,builtnewalert,producers,VLsub,high,20,None
539283,fire,producers,VLsub,high,20,0.2689199352942681
557332,fire,producers,VLsub,high,20,0.0
913366,fire,producers,VLsub,high,20,0.4439381886517249
1377803,fire,producers,VLsub,high,20,0.0
1412057,fire,producers,VLsub,high,20,0.8693240321129508
30961,treelossTF,producers,VLsub,high,17,0.9248067171003408
35975,treelossTF,producers,VLsub,high,20,0.18485996105733976
