,ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
58,40284_2,No change,no,6.28045915134305,101.930309193865,47NRG,treelosswet,2,28,20,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.5833333333333334
75,40284_19,No change,no,6.29117059630664,101.95339345905,47NRG,treelosswet,3,41,0,13,0,0,0,0,0,0,,,0.0,,0.0,,0.7592592592592593,0.7592592592592593
77,41318_1,No change,no,6.45867571299236,31.4615204017486,36NUN,waternew,2,29,0,18,0,0,0,0,0,0,,,0.0,,0.0,,0.6170212765957447,0.6170212765957447
91,41318_15,No change,no,6.42693354613126,31.461073634256,36NUN,waternew,3,45,0,3,0,0,0,0,0,0,,,0.0,,0.0,,0.9375,0.9375
122,97785_11,No change,no,13.9677078927691,13.6576355459521,33PUR,waternew,3,26,18,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.5909090909090909
123,97785_12,No change,no,13.9622882623089,13.7084843804036,33PUR,waternew,1,46,0,9,0,0,0,0,0,0,,,0.0,,0.0,,0.8363636363636363,0.8363636363636363
127,97785_16,No change,no,14.0320462547674,13.7197614282055,33PUR,waternew,4,19,0,23,0,0,0,0,0,0,,,0.0,,0.0,,0.4523809523809524,0.4523809523809524
151,103279_20,No change,no,14.6639323544052,78.7837381235483,44PKB,builtnewalert,3,27,21,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.5625
227,197293_7,No change,no,24.0446168853437,79.0546099568956,44QKM,waternew,1,32,0,16,0,0,0,0,0,0,,,0.0,,0.0,,0.6666666666666666,0.6666666666666666
233,197293_13,No change,no,24.0421771289389,79.075882130539,44QKM,waternew,1,7,0,43,0,0,0,0,0,0,,,0.0,,0.0,,0.14,0.14
243,254365_9,No change,human,28.6584759326685,30.9757887814271,36RTS,cropnew,3,0,0,82,0,0,0,0,0,0,,,0.0,,0.0,,0.0,0.0
274,315306_4,No change,no,33.6781989048084,58.4310395378182,40SFC,gen,2,13,24,66,0,0,0,0,0,0,0.0,,0.0,,0.0,,0.3592233009708738,0.1262135922330097
276,315306_7,No change,no,33.7041559432914,58.5007416449238,40SFC,gen,4,91,16,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.8504672897196262
288,349802_11,No change,human,36.8622415575269,116.628378957692,50SMF,builtnewalert,4,33,0,15,0,0,0,0,0,0,,,0.0,,0.0,,0.6875,0.6875
301,372152_4,No change,no,39.1348970023884,115.474068794899,50SLJ,waternew,1,14,36,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.28
313,372152_16,No change,no,39.1364683879562,115.470216817025,50SLJ,waternew,1,8,42,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.16
351,490359_7,No change,no,50.0252517727298,35.7283137171403,36UXA,oldcrop_short,2,41,43,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.4880952380952381
360,490359_16,No change,no,49.971673120989,35.824451693647,36UXA,oldcrop_short,4,42,0,47,0,0,0,0,0,0,,,0.0,,0.0,,0.4719101123595505,0.4719101123595505
361,490359_17,No change,no,50.016196419199,35.7231934654291,36UXA,oldcrop_short,2,37,0,34,0,0,0,0,0,0,,,0.0,,0.0,,0.5211267605633803,0.5211267605633803
362,490359_18,No change,no,49.9568508839162,35.8235838557712,36UXA,oldcrop_short,4,48,40,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.5454545454545454
367,529881_3,No change,no,53.5601421478993,42.7424588395094,38ULE,oldcrop_short,3,28,0,15,0,0,0,0,0,0,,,0.0,,0.0,,0.6511627906976745,0.6511627906976745
389,539283_5,No change,no,54.5330419586548,126.634354970891,52UCF,fire,3,14,5,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.7368421052631579
406,557332_2,No change,no,56.4816818888803,126.713267950363,52VCH,fire,4,0,23,0,0,0,0,0,0,0,0.0,,,,0.0,,1.0,0.0
