ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
30961_1,Shifting cultivation,no,4.93315831609935,13.8540476044282,33NUF,treelossTF,3,65,3,0,0,11,0,0,0,0,0.7857142857142857,1.0,NA,NA,0.7857142857142857,1.0,1.0,0.9620253164556962
30961_2,Shifting cultivation,no,4.90792000402806,13.8521970389413,33NUF,treelossTF,2,69,0,0,0,0,0,0,3,7,1.0,NA,1.0,1.0,1.0,1.0,0.9620253164556962,1.0
30961_3,noChange,no,4.94863895253569,13.8621375449735,33NUF,treelossTF,1,78,1,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.9873417721518988
30961_4,noChange,no,4.93937479037958,13.8399685278492,33NUF,treelossTF,4,79,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_5,Shifting cultivation,no,4.94295089116232,13.8680993444711,33NUF,treelossTF,3,56,2,0,0,0,0,13,8,0,0.8,NA,NA,0.38095238095238093,0.8,0.38095238095238093,0.7341772151898734,0.810126582278481
30961_6,Clear cut,human,4.92444382317138,13.8359363524202,33NUF,treelossTF,2,20,5,0,0,0,0,0,0,23,0.0,NA,1.0,NA,0.8214285714285714,NA,1.0,0.8958333333333334
30961_7,Clear cut,human,4.92606619143591,13.8326870539208,33NUF,treelossTF,2,32,0,0,0,0,0,0,3,8,1.0,NA,1.0,1.0,1.0,1.0,0.9302325581395349,1.0
30961_8,noChange,no,4.88723380584879,13.8154410505811,33NUF,treelossTF,1,65,14,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.8227848101265823
30961_9,Shifting cultivation,no,4.94788351068175,13.8967695906488,33NUF,treelossTF,3,27,0,0,5,47,0,0,0,0,1.0,0.8245614035087719,NA,NA,1.0,0.8245614035087719,1.0,0.9367088607594937
30961_10,noChange,no,4.94205770236993,13.8226489246664,33NUF,treelossTF,1,78,1,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.9873417721518988
30961_11,noChange,no,4.9456532250911,13.8616015435596,33NUF,treelossTF,1,76,3,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.9620253164556962
