ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
30961_1,Shifting cultivation,no,4.93315831609935,13.8540476044282,33NUF,treelossTF,3,20,0,0,0,1,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
30961_2,Shifting cultivation,no,4.90792000402806,13.8521970389413,33NUF,treelossTF,2,23,0,0,0,0,0,1,0,0,NA,NA,NA,0.0,NA,0.0,0.9583333333333334,0.9583333333333334
30961_3,noChange,no,4.94863895253569,13.8621375449735,33NUF,treelossTF,1,27,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_4,noChange,no,4.93937479037958,13.8399685278492,33NUF,treelossTF,4,27,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_5,Shifting cultivation,no,4.94295089116232,13.8680993444711,33NUF,treelossTF,3,19,0,0,0,0,0,0,0,3,NA,NA,1.0,NA,1.0,NA,1.0,1.0
30961_6,Clear cut,human,4.92444382317138,13.8359363524202,33NUF,treelossTF,2,6,0,0,0,0,0,6,0,0,NA,NA,NA,0.0,NA,0.0,0.5,0.5
30961_7,Clear cut,human,4.92606619143591,13.8326870539208,33NUF,treelossTF,2,7,0,0,0,0,0,0,0,1,NA,NA,1.0,NA,1.0,NA,1.0,1.0
30961_8,Shifting cultivation,no,4.88723380584879,13.8154410505811,33NUF,treelossTF,1,18,1,0,0,1,0,0,0,0,0.5,1.0,NA,NA,0.5,1.0,1.0,0.95
30961_9,Shifting cultivation,no,4.94788351068175,13.8967695906488,33NUF,treelossTF,3,6,0,0,12,2,0,0,0,0,1.0,0.14285714285714285,NA,NA,1.0,0.14285714285714285,1.0,0.4
30961_10,noChange,no,4.94205770236993,13.8226489246664,33NUF,treelossTF,1,24,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_11,noChange,no,4.9456532250911,13.8616015435596,33NUF,treelossTF,1,25,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_12,Shifting cultivation,no,4.90055761267954,13.8313787918802,33NUF,treelossTF,2,13,0,0,5,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.7222222222222222
30961_13,Shifting cultivation,no,4.92611219112987,13.8591999753117,33NUF,treelossTF,3,17,0,0,6,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.7391304347826086
30961_14,Shifting cultivation,no,4.91164777235024,13.8116106176828,33NUF,treelossTF,1,8,0,0,18,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.3076923076923077
30961_15,Natural greening,no,4.94406789315766,13.8867654701644,33NUF,treelossTF,4,24,0,0,1,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.96
30961_16,Shifting cultivation,no,4.9263863184397,13.8608227615272,33NUF,treelossTF,3,26,0,0,1,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.9629629629629629
30961_17,Shifting cultivation,no,4.91870744974674,13.814303454022,33NUF,treelossTF,1,6,0,0,5,6,0,0,0,0,1.0,0.5454545454545454,NA,NA,1.0,0.5454545454545454,1.0,0.7058823529411765
34405_1,Plantation clearing,no,5.35773464004273,118.036706165415,50NPL,treelosswet,1,51,0,0,0,0,0,8,0,0,NA,NA,NA,0.0,NA,0.0,0.864406779661017,0.864406779661017
34405_2,Plantation clearing,no,5.37827780167988,118.08249606226,50NPL,treelosswet,2,10,0,0,0,2,0,1,21,15,1.0,1.0,1.0,0.972972972972973,1.0,0.9743589743589743,0.5510204081632653,0.9795918367346939
34405_3,Plantation clearing,no,5.3783788037846,118.024016098578,50NPL,treelosswet,1,11,0,0,5,6,0,15,6,0,1.0,0.5454545454545454,NA,0.2857142857142857,1.0,0.375,0.5116279069767442,0.5348837209302325
34405_4,Plantation clearing,no,5.3460738524517,118.032354868666,50NPL,treelosswet,1,7,0,0,16,0,0,32,0,0,NA,0.0,NA,0.0,NA,0.0,0.41818181818181815,0.12727272727272726
34405_5,Plantation clearing,no,5.31126408498706,118.077234907634,50NPL,treelosswet,2,0,0,0,0,0,0,0,0,44,NA,NA,1.0,NA,1.0,NA,1.0,1.0
34405_6,noChange,no,5.31510547236924,118.052606735237,50NPL,treelosswet,4,60,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_7,Plantation clearing,no,5.37565251515517,118.031592328576,50NPL,treelosswet,1,57,0,0,0,0,0,2,0,0,NA,NA,NA,0.0,NA,0.0,0.9661016949152542,0.9661016949152542
34405_8,Plantation clearing,no,5.37176547993411,118.08248456134,50NPL,treelosswet,2,7,0,0,0,0,0,3,21,21,1.0,NA,1.0,0.9333333333333333,1.0,0.9333333333333333,0.5384615384615384,0.9423076923076923
34405_9,Plantation clearing,no,5.36237040054315,118.02317716789,50NPL,treelosswet,2,18,0,0,7,0,0,29,0,0,NA,0.0,NA,0.0,NA,0.0,0.46296296296296297,0.3333333333333333
34405_10,Plantation clearing,no,5.36724291013504,118.030224493082,50NPL,treelosswet,2,23,0,0,0,0,0,4,0,10,NA,NA,1.0,0.7142857142857143,1.0,0.7142857142857143,0.8918918918918919,0.8918918918918919
34405_11,Plantation clearing,no,5.37378389558324,118.013178728468,50NPL,treelosswet,2,10,0,0,7,0,0,3,0,22,NA,0.0,1.0,0.88,1.0,0.6875,0.9285714285714286,0.7619047619047619
34405_12,Plantation clearing,no,5.35585523441667,118.024790728687,50NPL,treelosswet,3,52,0,0,7,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.8813559322033898
34405_13,Plantation clearing,no,5.37863966689473,118.030243640746,50NPL,treelosswet,3,15,0,0,42,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.2631578947368421
34405_14,Plantation clearing,no,5.35501791983879,118.038596713671,50NPL,treelosswet,1,15,0,0,0,0,0,12,0,5,NA,NA,1.0,0.29411764705882354,1.0,0.29411764705882354,0.625,0.625
34405_15,Plantation clearing,no,5.3724076999327,118.024818346221,50NPL,treelosswet,3,18,0,0,8,0,0,6,8,0,1.0,0.0,NA,0.5714285714285714,1.0,0.36363636363636365,0.65,0.65
34405_16,Clear cut,human,5.31731737308694,118.028246082712,50NPL,treelosswet,3,0,0,0,5,0,36,0,0,0,NA,0.8780487804878049,1.0,NA,1.0,0.8780487804878049,0.12195121951219512,0.8780487804878049
34405_17,Plantation clearing,no,5.34385128785649,118.062672534682,50NPL,treelosswet,3,43,0,0,9,0,0,7,0,0,NA,0.0,NA,0.0,NA,0.0,0.8813559322033898,0.7288135593220338
34405_18,noChange,no,5.36740997243673,118.090328153776,50NPL,treelosswet,4,53,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_19,Plantation clearing,no,5.34634474819065,118.032626051506,50NPL,treelosswet,1,7,0,0,12,0,0,23,0,0,NA,0.0,NA,0.0,NA,0.0,0.4523809523809524,0.16666666666666666
34405_20,Plantation clearing,no,5.36390168750025,118.079492633898,50NPL,treelosswet,3,0,0,0,29,0,0,9,0,15,NA,0.0,1.0,0.625,1.0,0.2830188679245283,0.8301886792452831,0.2830188679245283
35975_1,Clear cut,human,5.64627891534383,39.1161743309978,37NEG,treelossTF,1,21,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_2,Shifting cultivation,human,5.6468226025064,39.1115690068124,37NEG,treelossTF,2,0,0,0,27,4,0,0,0,0,1.0,0.12903225806451613,NA,NA,1.0,0.12903225806451613,1.0,0.12903225806451613
35975_3,Shifting cultivation,no,5.6164157261481,39.1586986736435,37NEG,treelossTF,3,9,0,0,49,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.15517241379310345
35975_4,Shifting cultivation,no,5.63949136200562,39.1291763867671,37NEG,treelossTF,2,1,0,0,14,0,0,11,0,0,NA,0.0,NA,0.0,NA,0.0,0.5769230769230769,0.038461538461538464
35975_5,Shifting cultivation,no,5.64193937294018,39.1015445664197,37NEG,treelossTF,2,55,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_6,noChange,no,5.61858627133971,39.1608664146604,37NEG,treelossTF,3,56,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_7,Shifting cultivation,no,5.63514955993625,39.1270082090461,37NEG,treelossTF,2,0,0,0,0,0,0,42,0,0,NA,NA,NA,0.0,NA,0.0,0.0,0.0
35975_8,Shifting cultivation,no,5.64031175727347,39.0972098050508,37NEG,treelossTF,3,0,0,0,28,0,8,0,0,0,NA,0.2222222222222222,1.0,NA,1.0,0.2222222222222222,0.7777777777777778,0.2222222222222222
35975_9,Shifting cultivation,no,5.60475551363627,39.1177914229253,37NEG,treelossTF,3,0,0,0,10,0,0,32,0,0,NA,0.0,NA,0.0,NA,0.0,0.23809523809523808,0.0
35975_10,noChange,no,5.65740595006373,39.1164474616891,37NEG,treelossTF,4,53,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_11,noChange,no,5.60908202196629,39.1798260859336,37NEG,treelossTF,4,54,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_12,Shifting cultivation,no,5.66174944560504,39.1102172917479,37NEG,treelossTF,1,0,0,0,36,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.0
35975_13,Shifting cultivation,no,5.63949265430008,39.1232164931308,37NEG,treelossTF,2,5,0,0,21,0,0,23,0,0,NA,0.0,NA,0.0,NA,0.0,0.5306122448979592,0.10204081632653061
