ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
30961_1,Shifting cultivation,no,4.93315831609935,13.8540476044282,33NUF,treelossTF,3,20,4,0,0,3,0,0,0,0,0.42857142857142855,1.0,NA,NA,0.42857142857142855,1.0,1.0,0.8518518518518519
30961_2,Shifting cultivation,no,4.90792000402806,13.8521970389413,33NUF,treelossTF,2,23,1,0,0,0,0,1,1,1,0.5,NA,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9259259259259259,0.9259259259259259
30961_3,noChange,no,4.94863895253569,13.8621375449735,33NUF,treelossTF,1,27,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_4,noChange,no,4.93937479037958,13.8399685278492,33NUF,treelossTF,4,27,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_5,Shifting cultivation,no,4.94295089116232,13.8680993444711,33NUF,treelossTF,3,19,3,0,0,0,0,0,2,3,0.4,NA,1.0,1.0,0.625,1.0,0.9259259259259259,0.8888888888888888
30961_6,Clear cut,human,4.92444382317138,13.8359363524202,33NUF,treelossTF,2,6,0,0,0,0,0,6,2,0,1.0,NA,NA,0.25,1.0,0.25,0.42857142857142855,0.5714285714285714
30961_7,Clear cut,human,4.92606619143591,13.8326870539208,33NUF,treelossTF,2,7,1,0,0,0,0,0,1,2,0.5,NA,1.0,1.0,0.75,1.0,0.9090909090909091,0.9090909090909091
30961_8,Shifting cultivation,no,4.88723380584879,13.8154410505811,33NUF,treelossTF,1,18,9,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.6666666666666666
30961_9,Shifting cultivation,no,4.94788351068175,13.8967695906488,33NUF,treelossTF,3,7,0,0,11,9,0,0,0,0,1.0,0.2903225806451613,NA,NA,1.0,0.2903225806451613,1.0,0.5925925925925926
30961_10,noChange,no,4.94205770236993,13.8226489246664,33NUF,treelossTF,1,24,3,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.8888888888888888
30961_11,noChange,no,4.9456532250911,13.8616015435596,33NUF,treelossTF,1,25,2,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.9259259259259259
30961_12,Shifting cultivation,no,4.90055761267954,13.8313787918802,33NUF,treelossTF,2,14,0,0,3,0,0,0,1,2,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.95,0.85
30961_13,Shifting cultivation,no,4.92611219112987,13.8591999753117,33NUF,treelossTF,3,17,2,0,6,2,0,0,0,0,0.5,0.14285714285714285,NA,NA,0.5,0.14285714285714285,1.0,0.7037037037037037
30961_14,Shifting cultivation,no,4.91164777235024,13.8116106176828,33NUF,treelossTF,1,9,0,0,7,1,0,0,0,0,1.0,0.06666666666666667,NA,NA,1.0,0.06666666666666667,1.0,0.5882352941176471
30961_15,noChange,no,4.94406789315766,13.8867654701644,33NUF,treelossTF,4,25,2,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.9259259259259259
30961_16,Shifting cultivation,no,4.9263863184397,13.8608227615272,33NUF,treelossTF,3,26,0,0,1,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.9629629629629629
30961_17,Shifting cultivation,no,4.91870744974674,13.814303454022,33NUF,treelossTF,1,6,5,0,5,10,0,0,0,0,0.6666666666666666,0.5,NA,NA,0.6666666666666666,0.5,1.0,0.6153846153846154
34405_1,Plantation clearing,no,5.35773464004273,118.036706165415,50NPL,treelosswet,1,51,1,0,0,0,0,8,0,0,0.0,NA,NA,0.0,0.0,0.0,0.8666666666666667,0.85
34405_2,Plantation clearing,no,5.37827780167988,118.08249606226,50NPL,treelosswet,2,10,0,0,0,2,0,1,32,15,1.0,1.0,1.0,0.9791666666666666,1.0,0.98,0.45,0.9833333333333333
34405_3,Plantation clearing,no,5.3783788037846,118.024016098578,50NPL,treelosswet,1,11,0,0,5,13,0,15,9,4,1.0,0.5652173913043478,1.0,0.4642857142857143,1.0,0.5098039215686274,0.5789473684210527,0.6491228070175439
34405_4,Plantation clearing,no,5.3460738524517,118.032354868666,50NPL,treelosswet,1,7,0,0,16,0,0,32,4,0,1.0,0.0,NA,0.1111111111111111,1.0,0.058823529411764705,0.3898305084745763,0.1864406779661017
34405_5,Plantation clearing,no,5.31126408498706,118.077234907634,50NPL,treelosswet,2,0,0,0,0,7,0,0,2,44,1.0,1.0,1.0,1.0,1.0,1.0,0.9622641509433962,1.0
34405_6,noChange,no,5.31510547236924,118.052606735237,50NPL,treelosswet,4,60,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_7,Plantation clearing,no,5.37565251515517,118.031592328576,50NPL,treelosswet,1,57,0,0,0,0,0,2,1,0,1.0,NA,NA,0.3333333333333333,1.0,0.3333333333333333,0.95,0.9666666666666667
34405_8,Plantation clearing,no,5.37176547993411,118.08248456134,50NPL,treelosswet,2,7,0,0,0,1,0,3,26,23,1.0,1.0,1.0,0.9423076923076923,1.0,0.9433962264150944,0.5166666666666667,0.95
34405_9,Plantation clearing,no,5.36237040054315,118.02317716789,50NPL,treelosswet,2,18,0,0,7,1,0,29,4,1,1.0,0.06666666666666667,1.0,0.14705882352941177,1.0,0.12244897959183673,0.45,0.4
34405_10,Plantation clearing,no,5.36724291013504,118.030224493082,50NPL,treelosswet,2,23,0,0,0,0,0,4,11,10,1.0,NA,1.0,0.84,1.0,0.84,0.6875,0.9166666666666666
34405_11,Plantation clearing,no,5.37378389558324,118.013178728468,50NPL,treelosswet,2,14,0,1,4,1,0,2,5,24,1.0,0.1111111111111111,0.96,0.9354838709677419,0.967741935483871,0.75,0.8431372549019608,0.8627450980392157
34405_12,Plantation clearing,no,5.35585523441667,118.024790728687,50NPL,treelosswet,3,52,1,0,7,0,0,0,0,0,0.0,0.0,NA,NA,0.0,0.0,1.0,0.8666666666666667
34405_13,Plantation clearing,no,5.37863966689473,118.030243640746,50NPL,treelosswet,3,15,0,0,29,1,1,0,0,0,1.0,0.03389830508474576,1.0,NA,1.0,0.03389830508474576,0.9782608695652174,0.3695652173913043
34405_14,Plantation clearing,no,5.35501791983879,118.038596713671,50NPL,treelosswet,1,15,0,0,0,0,0,12,8,16,1.0,NA,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6078431372549019,0.7647058823529411
34405_15,Plantation clearing,no,5.3724076999327,118.024818346221,50NPL,treelosswet,3,18,0,0,8,6,0,6,15,0,1.0,0.2727272727272727,NA,0.7142857142857143,1.0,0.4883720930232558,0.6037735849056604,0.7358490566037735
34405_16,Clear cut,human,5.31731737308694,118.028246082712,50NPL,treelosswet,3,0,0,0,1,3,41,0,0,0,1.0,8.8,1.0,NA,1.0,8.8,0.08888888888888889,0.9777777777777777
34405_17,Plantation clearing,no,5.34385128785649,118.062672534682,50NPL,treelosswet,3,43,1,0,9,0,0,7,0,0,0.0,0.0,NA,0.0,0.0,0.0,0.8833333333333333,0.7166666666666667
34405_18,noChange,no,5.36740997243673,118.090328153776,50NPL,treelosswet,4,53,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
