ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
30961_1,Shifting cultivation,no,4.93315831609935,13.8540476044282,33NUF,treelossTF,3,65,0,0,0,11,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
30961_2,Shifting cultivation,no,4.90792000402806,13.8521970389413,33NUF,treelossTF,2,69,0,0,0,0,0,0,2,7,1.0,NA,1.0,1.0,1.0,1.0,0.9743589743589743,1.0
30961_3,noChange,no,4.94863895253569,13.8621375449735,33NUF,treelossTF,1,78,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_4,noChange,no,4.93937479037958,13.8399685278492,33NUF,treelossTF,4,79,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_5,Shifting cultivation,no,4.94295089116232,13.8680993444711,33NUF,treelossTF,3,56,0,0,0,0,0,13,4,0,1.0,NA,NA,0.23529411764705882,1.0,0.23529411764705882,0.7671232876712328,0.821917808219178
30961_6,Clear cut,human,4.92444382317138,13.8359363524202,33NUF,treelossTF,2,20,2,0,0,0,0,0,0,23,0.0,NA,1.0,NA,0.92,NA,1.0,0.9555555555555556
30961_7,Clear cut,human,4.92606619143591,13.8326870539208,33NUF,treelossTF,2,32,0,0,0,0,0,0,2,8,1.0,NA,1.0,1.0,1.0,1.0,0.9523809523809523,1.0
30961_8,Shifting cultivation,no,4.88723380584879,13.8154410505811,33NUF,treelossTF,1,65,13,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.8333333333333334
30961_9,Shifting cultivation,no,4.94788351068175,13.8967695906488,33NUF,treelossTF,3,27,0,0,5,44,0,0,0,0,1.0,0.8979591836734694,NA,NA,1.0,0.8979591836734694,1.0,0.9342105263157895
30961_10,noChange,no,4.94205770236993,13.8226489246664,33NUF,treelossTF,1,78,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_11,noChange,no,4.9456532250911,13.8616015435596,33NUF,treelossTF,1,76,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_12,Shifting cultivation,no,4.90055761267954,13.8313787918802,33NUF,treelossTF,2,38,0,0,9,0,0,0,0,10,NA,0.0,1.0,NA,1.0,0.5263157894736842,1.0,0.8421052631578947
30961_13,Shifting cultivation,no,4.92611219112987,13.8591999753117,33NUF,treelossTF,3,50,2,0,9,14,0,0,0,0,0.875,0.6086956521739131,NA,NA,0.875,0.6086956521739131,1.0,0.8533333333333334
30961_14,Shifting cultivation,no,4.91164777235024,13.8116106176828,33NUF,treelossTF,1,35,0,0,7,13,0,0,0,0,1.0,0.65,NA,NA,1.0,0.65,1.0,0.8727272727272727
30961_15,noChange,no,4.94406789315766,13.8867654701644,33NUF,treelossTF,4,76,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_16,Shifting cultivation,no,4.9263863184397,13.8608227615272,33NUF,treelossTF,3,73,0,0,0,3,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
30961_17,Shifting cultivation,no,4.91870744974674,13.814303454022,33NUF,treelossTF,1,35,0,0,7,9,0,0,0,0,1.0,0.5625,NA,NA,1.0,0.5625,1.0,0.8627450980392157
34405_1,Plantation clearing,no,5.35773464004273,118.036706165415,50NPL,treelosswet,1,148,0,0,0,0,0,0,7,0,1.0,NA,NA,1.0,1.0,1.0,0.9548387096774194,1.0
34405_2,Plantation clearing,no,5.37827780167988,118.08249606226,50NPL,treelosswet,2,26,0,0,0,11,14,6,0,80,1.0,1.0,1.0,0.9302325581395349,1.0,0.9459459459459459,0.8540145985401459,0.9562043795620438
34405_3,Plantation clearing,no,5.3783788037846,118.024016098578,50NPL,treelosswet,1,25,0,0,0,0,33,6,0,94,NA,NA,1.0,0.94,1.0,0.9548872180451128,0.7531645569620253,0.9620253164556962
34405_4,Plantation clearing,no,5.3460738524517,118.032354868666,50NPL,treelosswet,1,19,0,0,0,0,45,4,13,81,1.0,NA,1.0,0.9591836734693877,1.0,0.972027972027972,0.6172839506172839,0.9753086419753086
34405_5,Plantation clearing,no,5.31126408498706,118.077234907634,50NPL,treelosswet,2,0,0,0,4,15,0,0,6,124,1.0,0.7894736842105263,1.0,1.0,1.0,0.9731543624161074,0.959731543624161,0.9731543624161074
34405_6,noChange,no,5.31510547236924,118.052606735237,50NPL,treelosswet,4,170,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_7,Plantation clearing,no,5.37565251515517,118.031592328576,50NPL,treelosswet,1,163,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_8,Plantation clearing,no,5.37176547993411,118.08248456134,50NPL,treelosswet,2,19,0,0,7,0,5,2,0,107,NA,0.4166666666666667,1.0,0.981651376146789,1.0,0.9256198347107438,0.95,0.9357142857142857
34405_9,Plantation clearing,no,5.36237040054315,118.02317716789,50NPL,treelosswet,2,52,0,0,0,0,18,4,0,89,NA,NA,1.0,0.956989247311828,1.0,0.963963963963964,0.8650306748466258,0.9754601226993865
34405_10,Plantation clearing,no,5.36724291013504,118.030224493082,50NPL,treelosswet,2,71,0,0,0,0,0,0,0,60,NA,NA,1.0,NA,1.0,NA,1.0,1.0
34405_11,Plantation clearing,no,5.37378389558324,118.013178728468,50NPL,treelosswet,2,50,0,0,0,0,0,0,0,89,NA,NA,1.0,NA,1.0,NA,1.0,1.0
34405_12,Plantation clearing,no,5.35585523441667,118.024790728687,50NPL,treelosswet,3,129,1,0,7,18,0,0,0,0,0.9473684210526315,0.72,NA,NA,0.9473684210526315,0.72,1.0,0.9483870967741935
34405_13,Plantation clearing,no,5.37863966689473,118.030243640746,50NPL,treelosswet,3,38,0,0,11,62,0,0,0,0,1.0,0.8493150684931506,NA,NA,1.0,0.8493150684931506,1.0,0.9009009009009009
34405_14,Plantation clearing,no,5.35501791983879,118.038596713671,50NPL,treelosswet,1,43,0,0,0,0,0,0,94,0,1.0,NA,NA,1.0,1.0,1.0,0.31386861313868614,1.0
34405_15,Plantation clearing,no,5.3724076999327,118.024818346221,50NPL,treelosswet,3,57,1,0,12,21,0,4,40,0,0.9838709677419355,0.6363636363636364,NA,0.9090909090909091,0.9838709677419355,0.7922077922077922,0.674074074074074,0.8740740740740741
