ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
30961_1,Shifting cultivation,FALSE,4.93315831609935,13.8540476044282,33NUF,treelossTF,3,65,0,0,0,5,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
30961_2,Shifting cultivation,FALSE,4.90792000402806,13.8521970389413,33NUF,treelossTF,2,69,0,0,0,0,0,0,0,7,NA,NA,1.0,NA,1.0,NA,1.0,1.0
30961_3,noChange,FALSE,4.94863895253569,13.8621375449735,33NUF,treelossTF,1,78,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_4,noChange,FALSE,4.93937479037958,13.8399685278492,33NUF,treelossTF,4,79,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_5,Shifting cultivation,FALSE,4.94295089116232,13.8680993444711,33NUF,treelossTF,3,56,0,0,0,0,0,13,0,0,NA,NA,NA,0.0,NA,0.0,0.8115942028985508,0.8115942028985508
30961_6,Clear cut,TRUE,4.92444382317138,13.8359363524202,33NUF,treelossTF,2,20,0,0,0,0,0,0,0,16,NA,NA,1.0,NA,1.0,NA,1.0,1.0
30961_7,Clear cut,FALSE,4.92606619143591,13.8326870539208,33NUF,treelossTF,2,32,0,0,0,0,0,0,0,8,NA,NA,1.0,NA,1.0,NA,1.0,1.0
30961_8,Shifting cultivation,FALSE,4.88723380584879,13.8154410505811,33NUF,treelossTF,1,65,5,0,0,3,0,0,0,0,0.375,1.0,NA,NA,0.375,1.0,1.0,0.9315068493150684
30961_9,Shifting cultivation,FALSE,4.94788351068175,13.8967695906488,33NUF,treelossTF,3,25,0,0,7,38,0,0,0,0,1.0,0.8444444444444444,NA,NA,1.0,0.8444444444444444,1.0,0.9
30961_10,noChange,FALSE,4.94205770236993,13.8226489246664,33NUF,treelossTF,1,78,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_11,noChange,FALSE,4.9456532250911,13.8616015435596,33NUF,treelossTF,1,76,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_12,Shifting cultivation,TRUE,4.90055761267954,13.8313787918802,33NUF,treelossTF,2,35,0,0,14,8,0,0,0,9,1.0,0.36363636363636365,1.0,NA,1.0,0.5483870967741935,1.0,0.7878787878787878
30961_13,Shifting cultivation,FALSE,4.92611219112987,13.8591999753117,33NUF,treelossTF,3,47,0,0,12,6,0,0,0,0,1.0,0.3333333333333333,NA,NA,1.0,0.3333333333333333,1.0,0.8153846153846154
30961_14,Shifting cultivation,FALSE,4.91164777235024,13.8116106176828,33NUF,treelossTF,1,28,0,0,34,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.45161290322580644
30961_15,noChange,TRUE,4.94406789315766,13.8867654701644,33NUF,treelossTF,4,76,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_16,Shifting cultivation,FALSE,4.9263863184397,13.8608227615272,33NUF,treelossTF,3,73,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
30961_17,Shifting cultivation,FALSE,4.91870744974674,13.814303454022,33NUF,treelossTF,1,35,0,0,7,5,0,0,0,0,1.0,0.4166666666666667,NA,NA,1.0,0.4166666666666667,1.0,0.851063829787234
34405_1,Plantation clearing,FALSE,5.35773464004273,118.036706165415,50NPL,treelosswet,1,148,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_2,Plantation clearing,FALSE,5.37827780167988,118.08249606226,50NPL,treelosswet,2,26,0,0,7,0,14,6,0,69,NA,0.6666666666666666,1.0,0.92,1.0,0.8645833333333334,0.8360655737704918,0.8934426229508197
34405_3,Plantation clearing,FALSE,5.3783788037846,118.024016098578,50NPL,treelosswet,1,25,0,0,0,0,33,6,0,89,NA,NA,1.0,0.9368421052631579,1.0,0.953125,0.7450980392156863,0.9607843137254902
34405_4,Plantation clearing,FALSE,5.3460738524517,118.032354868666,50NPL,treelosswet,1,19,0,0,0,0,45,4,0,72,NA,NA,1.0,0.9473684210526315,1.0,0.9669421487603306,0.65,0.9714285714285714
34405_5,Plantation clearing,FALSE,5.31126408498706,118.077234907634,50NPL,treelosswet,2,0,0,0,4,0,0,0,4,124,1.0,0.0,1.0,1.0,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697
34405_6,noChange,FALSE,5.31510547236924,118.052606735237,50NPL,treelosswet,4,170,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_7,Plantation clearing,FALSE,5.37565251515517,118.031592328576,50NPL,treelosswet,1,163,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_8,Plantation clearing,FALSE,5.37176547993411,118.08248456134,50NPL,treelosswet,2,19,0,0,17,0,5,2,0,78,NA,0.22727272727272727,1.0,0.975,1.0,0.8137254901960784,0.9421487603305785,0.8429752066115702
34405_9,Plantation clearing,FALSE,5.36237040054315,118.02317716789,50NPL,treelosswet,2,52,0,0,0,0,18,4,0,87,NA,NA,1.0,0.9560439560439561,1.0,0.963302752293578,0.8633540372670807,0.9751552795031055
34405_10,Plantation clearing,FALSE,5.36724291013504,118.030224493082,50NPL,treelosswet,2,71,0,0,0,0,0,0,0,60,NA,NA,1.0,NA,1.0,NA,1.0,1.0
34405_11,Plantation clearing,FALSE,5.37378389558324,118.013178728468,50NPL,treelosswet,2,33,0,0,12,0,0,5,0,87,NA,0.0,1.0,0.9456521739130435,1.0,0.8365384615384616,0.9635036496350365,0.8759124087591241
34405_12,Plantation clearing,FALSE,5.35585523441667,118.024790728687,50NPL,treelosswet,3,129,1,0,7,14,0,0,0,0,0.9333333333333333,0.6666666666666666,NA,NA,0.9333333333333333,0.6666666666666666,1.0,0.9470198675496688
34405_13,Plantation clearing,FALSE,5.37863966689473,118.030243640746,50NPL,treelosswet,3,38,0,0,31,49,0,0,0,0,1.0,0.6125,NA,NA,1.0,0.6125,1.0,0.7372881355932204
34405_14,Plantation clearing,FALSE,5.35501791983879,118.038596713671,50NPL,treelosswet,1,43,0,0,0,0,0,0,92,0,1.0,NA,NA,1.0,1.0,1.0,0.31851851851851853,1.0
34405_15,Plantation clearing,FALSE,5.3724076999327,118.024818346221,50NPL,treelosswet,3,57,1,0,12,9,0,4,21,0,0.967741935483871,0.42857142857142855,NA,0.84,0.967741935483871,0.6521739130434783,0.7596153846153846,0.8365384615384616
34405_16,Clear cut,FALSE,5.31731737308694,118.028246082712,50NPL,treelosswet,3,28,0,0,31,93,0,0,0,0,1.0,0.75,NA,NA,1.0,0.75,1.0,0.7960526315789473
34405_17,Plantation clearing,TRUE,5.34385128785649,118.062672534682,50NPL,treelosswet,3,114,0,0,0,14,0,0,14,0,1.0,1.0,NA,1.0,1.0,1.0,0.9014084507042254,1.0
34405_18,noChange,FALSE,5.36740997243673,118.090328153776,50NPL,treelosswet,4,121,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
34405_19,Plantation clearing,FALSE,5.34634474819065,118.032626051506,50NPL,treelosswet,1,19,0,0,2,0,20,0,0,94,NA,0.9090909090909091,1.0,NA,1.0,0.9827586206896551,0.8518518518518519,0.9851851851851852
34405_20,Plantation clearing,TRUE,5.36390168750025,118.079492633898,50NPL,treelosswet,3,0,0,0,7,0,68,0,19,63,1.0,0.9066666666666666,1.0,1.0,1.0,0.9554140127388535,0.445859872611465,0.9554140127388535
35975_1,Clear cut,FALSE,5.64627891534383,39.1161743309978,37NEG,treelossTF,1,59,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_2,Shifting cultivation,TRUE,5.6468226025064,39.1115690068124,37NEG,treelossTF,2,0,0,0,0,5,102,0,0,0,1.0,1.0,1.0,NA,1.0,1.0,0.04672897196261682,1.0
35975_3,Shifting cultivation,FALSE,5.6164157261481,39.1586986736435,37NEG,treelossTF,3,24,0,0,0,140,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
35975_4,Shifting cultivation,FALSE,5.63949136200562,39.1291763867671,37NEG,treelossTF,2,0,0,0,17,0,0,0,0,134,NA,0.0,1.0,NA,1.0,0.8874172185430463,1.0,0.8874172185430463
35975_5,Shifting cultivation,FALSE,5.64193937294018,39.1015445664197,37NEG,treelossTF,2,153,0,0,0,0,10,0,0,0,NA,NA,1.0,NA,1.0,NA,0.9386503067484663,1.0
35975_6,noChange,FALSE,5.61858627133971,39.1608664146604,37NEG,treelossTF,3,173,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_7,Shifting cultivation,TRUE,5.63514955993625,39.1270082090461,37NEG,treelossTF,2,0,0,0,0,0,0,0,21,135,1.0,NA,1.0,1.0,1.0,1.0,0.8653846153846154,1.0
35975_8,Shifting cultivation,FALSE,5.64031175727347,39.0972098050508,37NEG,treelossTF,3,0,0,0,26,129,0,0,0,0,1.0,0.832258064516129,NA,NA,1.0,0.832258064516129,1.0,0.832258064516129
35975_9,Shifting cultivation,FALSE,5.60475551363627,39.1177914229253,37NEG,treelossTF,3,0,0,0,12,24,0,9,3,118,1.0,0.6666666666666666,1.0,0.9307692307692308,1.0,0.8734939759036144,0.927710843373494,0.8734939759036144
35975_10,noChange,FALSE,5.65740595006373,39.1164474616891,37NEG,treelossTF,4,173,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_11,noChange,FALSE,5.60908202196629,39.1798260859336,37NEG,treelossTF,4,173,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_12,Shifting cultivation,FALSE,5.66174944560504,39.1102172917479,37NEG,treelossTF,1,0,0,0,127,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.0
35975_13,Shifting cultivation,FALSE,5.63949265430008,39.1232164931308,37NEG,treelossTF,2,17,0,0,7,0,59,6,0,60,NA,0.8939393939393939,1.0,0.9090909090909091,1.0,0.9015151515151515,0.5637583892617449,0.912751677852349
35975_14,noChange,FALSE,5.61288928438217,39.152467212446,37NEG,treelossTF,1,173,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_15,Shifting cultivation,FALSE,5.59443665306205,39.1443359303958,37NEG,treelossTF,3,28,0,0,0,127,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
35975_16,noChange,FALSE,5.65223382379455,39.1782138933917,37NEG,treelossTF,1,164,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
35975_17,Shifting cultivation,FALSE,5.65821127373909,39.1543754235261,37NEG,treelossTF,3,148,0,0,11,5,0,0,0,0,1.0,0.3125,NA,NA,1.0,0.3125,1.0,0.9329268292682927
35975_18,Selective logging,FALSE,5.65359002846215,39.1806524995517,37NEG,treelossTF,1,95,0,0,67,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.5864197530864198
35975_19,Shifting cultivation,FALSE,5.63270812685056,39.1218605569969,37NEG,treelossTF,2,0,0,0,0,29,106,0,0,24,1.0,1.0,1.0,NA,1.0,1.0,0.3333333333333333,1.0
35975_20,Shifting cultivation,FALSE,5.5903714713549,39.1188720706068,37NEG,treelossTF,1,133,0,0,0,0,0,27,7,0,1.0,NA,NA,0.20588235294117646,1.0,0.20588235294117646,0.7964071856287425,0.8383233532934131
40284_1,Other change; flooding killed vegetation,FALSE,6.23065576130252,101.91811435003,47NRG,treelosswet,1,0,0,0,0,0,0,0,78,0,1.0,NA,NA,1.0,1.0,1.0,0.0,1.0
40284_2,noChange,FALSE,6.28045915134305,101.930309193865,47NRG,treelosswet,2,39,14,28,0,0,0,0,0,0,0.0,NA,0.0,NA,0.0,NA,0.654320987654321,0.48148148148148145
40284_3,Variable water,FALSE,6.26511308549051,101.911804586948,47NRG,treelosswet,3,32,0,0,5,44,0,0,0,0,1.0,0.8979591836734694,NA,NA,1.0,0.8979591836734694,1.0,0.9382716049382716
40284_4,Natural browning,FALSE,6.29635375263118,101.947463520928,47NRG,treelosswet,3,31,0,0,0,10,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
40284_5,Clear cut,FALSE,6.21696610287039,101.991163468592,47NRG,treelosswet,2,33,0,0,0,0,0,0,0,37,NA,NA,1.0,NA,1.0,NA,1.0,1.0
