block,MGRS,stratum,sub1,sub2,sub3,sub4,left,top,right,bottom
30961,33NUF,treelossTF,2263,67,2493,105873,13.80825,4.95,13.8985,4.86
34405,50NPL,treelosswet,1614,6024,2755,100467,118.012,5.4,118.1025,5.31
35975,37NEG,treelossTF,1369,231,2864,106424,39.096,5.67,39.1865,5.58
40284,47NRG,treelosswet,762,2115,7183,100894,101.903,6.3,101.9935,6.21
41318,36NUN,waternew,873,10119,6819,92899,31.4035,6.48,31.494,6.39
64176,36PVR,wetshort,477,23324,1349,85651,32.3025,9.63,32.39375,9.54
74185,31PGN,cropnew,1934,19,1575,107161,5.0325,10.98,5.124,10.89
97785,33PUR,waternew,1066,795,4822,104141,13.63425,14.04,13.727,13.95
103279,44PKB,builtnewalert,301,1111,23795,85713,78.771,14.67,78.864,14.58
114851,34PCC,gen,0,3409,0,107258,19.635,16.11,19.7285,16.02
116332,33QTU,gen,0,29585,0,81419,12.5625,16.29,12.65625,16.2
119116,43QEU,builtnewalert,184,2023,12092,95924,75,16.56,75.09375,16.47
168365,43QDD,oldcrop_short,1550,16112,481,92655,74.4975,21.69,74.59425,21.6
171471,43QFE,builtnewalert,163,1402,5125,103964,76.33575,21.96,76.4325,21.87
197293,44QKM,waternew,1306,57,1938,107383,78.993,24.12,79.09125,24.03
209941,38RMN,other,0,839,6452,103479,44.56325,25.2,44.6625,25.11
254365,36RTS,cropnew,1556,172,10314,98762,30.8795,28.71,30.98175,28.62
259801,49RGN,treelosswet,505,4897,7140,98162,113.0575,29.07,113.16,28.98
290917,48RWV,other,0,226,2059,108329,105.42,31.5,105.525,31.41
315306,40SFC,gen,0,2172,61,108517,58.4005,33.75,58.50825,33.66
349802,50SMF,builtnewalert,385,3622,7708,99021,116.592,36.9,116.704,36.81
372152,50SLJ,waternew,937,934,4791,103978,115.36525,39.15,115.4805,39.06
405544,47TNH,gen,0,1274,0,109477,99.1825,42.48,99.30375,42.39
423727,52TDP,builtnewalert,712,1092,2009,106781,128.1105,44.19,128.235,44.1
424369,45TUK,gen,0,10485,60,100160,85.0795,44.28,85.20425,44.19
481818,31UCQ,other,0,1269,3942,105665,0.411,49.32,0.548,49.23
488254,35UNR,oldcrop_short,4860,20068,967,84871,27.7,49.86,27.8385,49.77
490359,36UXA,oldcrop_short,6057,22641,3809,78375,35.723,50.04,35.862,49.95
518955,52UED,wetshort,9994,12101,21603,67101,130.314,52.56,130.46075,52.47
529881,38ULE,oldcrop_short,5292,10739,540,94114,42.671,53.64,42.82125,53.55
533999,50ULE,fire,36283,2633,5381,66331,115.443,54,115.5945,53.91
539283,52UCF,fire,26712,908,3492,79576,126.484,54.54,126.6375,54.45
540915,50UNF,fire,67115,5109,7765,30721,118.464,54.72,118.61825,54.63
541754,50UNF,fire,98804,2850,3589,5395,118.347,54.81,118.5015,54.72
545539,41UPB,cropnew,2121,5,796,107802,65.78125,55.26,65.9375,55.17
557332,52VCH,fire,55121,587,8630,46447,126.616,56.52,126.7775,56.43
576420,35VLF,treelossTF,1806,5131,5855,98012,24.3885,58.77,24.56025,58.68
588553,53VMG,fire,77363,641,3984,28634,134.034,60.03,134.212,59.94
596625,37VDH,wetshort,75,10761,986,98806,38.613,60.93,38.796,60.84
616495,32VMQ,gen,0,6980,444,103239,7.4385,63,7.63425,62.91
649887,41WPQ,wetshort,7074,3628,9737,90315,66.674,66.78,66.89925,66.69
701068,19NBD,treelossTF,3284,484,1341,105881,-71.38775,3.33,-71.2975,3.24
722463,19PFK,oldcrop_short,8571,25934,8871,67276,-68.068,8.91,-67.977,8.82
723123,28PHR,treelossTF,3230,649,4006,103026,-11.83,9.09,-11.739,9
782693,13RCK,treelossTF,1451,78,4256,104905,-106.56575,26.55,-106.4655,26.46
796166,14RNU,builtnewalert,220,2987,2256,105220,-98.04375,30.24,-97.94,30.15
805113,12STA,gen,0,36370,0,74458,-113.9985,32.13,-113.89275,32.04
806902,30SXB,gen,0,19905,0,90753,-1.38125,32.58,-1.275,32.49
815373,17SQT,treelosswet,1943,991,4083,103903,-78.554,34.29,-78.4455,34.2
819952,30SUD,other,0,47,2698,107936,-4.9275,35.19,-4.818,35.1
824841,16SBF,builtnewalert,158,1121,17034,92656,-90.021,36.18,-89.91,36.09
835151,14SPH,cropnew,1474,287,4504,104461,-96.915,38.16,-96.80125,38.07
835445,29SPC,treelossTF,1136,218,5299,104132,-7.638,38.25,-7.524,38.16
855895,19TBG,other,0,295,1783,108755,-72,41.85,-71.88,41.76
857008,17TPG,cropnew,1564,1332,1675,106067,-79.72575,42.03,-79.6055,41.94
860973,11TLH,gen,0,49455,1,61282,-119.1915,42.66,-119.07,42.57
866187,20TLP,wetshort,106,15813,25856,69022,-65.455,43.65,-65.3315,43.56
889432,10TDT,treelossTF,948,1686,7862,100103,-123.59025,47.79,-123.4575,47.7
913366,17UPT,fire,25961,158,832,83932,-78.3,52.02,-78.155,51.93
916424,12UUD,other,0,1445,6918,102318,-113.34375,52.47,-113.1975,52.38
938249,13VEC,fire,21291,1565,3653,84154,-103.68175,56.25,-103.5215,56.16
1050008,48MUD,treelosswet,13708,16354,45872,34954,103.95,-1.53,104.04,-1.62
1058298,33MXS,treelossTF,3058,5797,33936,67949,15.93,-2.79,16.02,-2.88
1085866,35MRM,cropnew,1663,1657,11379,96257,29.766,-7.47,29.85675,-7.56
1105166,33LWG,cropnew,1652,357,19572,89254,15.824,-11.79,15.916,-11.88
1106625,34LBM,treelossTF,1139,1279,19489,88958,18.492,-12.15,18.584,-12.24
1107445,34LEM,wetshort,211,29800,3753,76844,21.896,-12.33,21.988,-12.42
1125880,53LKC,other,0,245,3307,107396,132.209,-15.84,132.3025,-15.93
1137281,34KBF,oldcrop_short,1134,27416,5401,76779,18.75575,-17.64,18.85,-17.73
1141323,53KQV,waternew,2264,131,16800,91806,137.29275,-18.18,137.3875,-18.27
1143507,51KVV,oldcrop_short,106,91190,27,19302,122.796,-18.54,122.89075,-18.63
1147060,53KKU,waternew,3298,87,31953,75371,132.715,-19.08,132.81,-19.17
1150482,53KKU,waternew,1097,0,10722,99081,132.936,-19.62,133.0315,-19.71
1159486,38KNB,other,0,83,12011,98630,45.91125,-20.97,46.0075,-21.06
1164088,50KNB,oldcrop_short,96,31652,4517,74623,117.16425,-21.6,117.261,-21.69
1195220,51JYM,gen,0,3661,11,107259,125.4,-26.01,125.5,-26.1
1238088,54HXH,other,0,3,5869,104875,143.1065,-34.11,143.21475,-34.2
1240366,60HTF,builtnewalert,136,1286,17042,92396,173.73425,-35.28,173.844,-35.37
1344822,17MPT,waternew,1019,2486,698,106232,-79.74,-2.07,-79.65,-2.16
1348771,22MGB,builtnewalert,279,811,32098,77504,-48.78,-2.97,-48.69,-3.06
1348871,21MVS,treelosswet,773,163,11044,98715,-57.78,-2.97,-57.69,-3.06
1354518,20MMA,treelosswet,495,2751,19521,88100,-63.26525,-4.05,-63.175,-4.14
1369893,22MDT,builtnewalert,157,570,13324,96527,-51.45525,-6.84,-51.3645,-6.93
1377803,22LDR,fire,32992,13812,8225,55714,-51.87,-8.28,-51.779,-8.37
1382159,22LDQ,builtnewalert,181,137,59701,50796,-51.83,-9.09,-51.73875,-9.18
1386398,22LEQ,wetshort,2738,15777,17945,74157,-50.1875,-9.9,-50.09625,-9.99
1398961,20LMM,treelosswet,1584,13252,5611,89839,-63.02,-12.42,-62.928,-12.51
1402267,20LQL,oldcrop_short,1098,21118,26054,62449,-60.7005,-13.14,-60.60825,-13.23
1412057,20LNJ,fire,26991,56189,16492,11047,-62.19775,-15.3,-62.1045,-15.39
1415162,21LWC,cropnew,4218,2832,10718,92676,-56.848,-16.02,-56.7545,-16.11
1416380,20KNG,treelosswet,947,80293,22007,7578,-62.90625,-16.29,-62.8125,-16.38
1422212,20KPF,treelosswet,4351,16772,60030,29762,-61.3305,-17.73,-61.236,-17.82
1436925,22KFA,builtnewalert,214,288,45974,64192,-49.63275,-21.87,-49.536,-21.96
1455965,21JVJ,other,0,488,3073,107148,-58.015,-28.89,-57.9125,-28.98
1458943,20JQM,wetshort,2555,8188,6037,94007,-60.90125,-30.15,-60.7975,-30.24
1460357,21JTF,wetshort,6052,30430,12233,62255,-59.8785,-30.78,-59.774,-30.87
1465798,20HMJ,cropnew,1888,1562,18516,88799,-63.64,-33.39,-63.5325,-33.48
1466277,21HUC,wetshort,3266,24553,604,82373,-59.15475,-33.66,-59.047,-33.75
1472326,20HMD,cropnew,6525,1763,24896,77441,-63.7875,-37.26,-63.675,-37.35
1473302,21HUU,oldcrop_short,6448,21374,4068,78814,-58.4525,-37.89,-58.339,-37.98
