ID,Block,subID,blockStratum,substratum,zone,x,y,centx,centy,long,lat,MGRS
30961_1,30961,1,treelossTF,3,33,372932.5701,545394.9676,372945,545385,13.8540476,4.933158316,33NUF
30961_2,30961,2,treelossTF,2,33,372728.6165,542585.9904,372735,542595,13.85219704,4.907920004,33NUF
30961_3,30961,3,treelossTF,1,33,373846.9161,547093.2481,373845,547095,13.86213754,4.948638953,33NUF
30961_4,30961,4,treelossTF,4,33,371390.9141,546069.0822,371385,546075,13.83996853,4.93937479,33NUF
30961_5,30961,5,treelossTF,3,33,374504.4875,546457.5549,374505,546465,13.86809934,4.942950891,33NUF
30961_6,30961,6,treelossTF,2,33,370943.4617,544430.2873,370935,544425,13.83593635,4.924443823,33NUF
30961_7,30961,7,treelossTF,2,33,370585.07,544591.5594,370575,544605,13.83268705,4.926066191,33NUF
30961_8,30961,8,treelossTF,1,33,368665.3785,540324.0484,368655,540315,13.81544105,4.887233806,33NUF
30961_9,30961,9,treelossTF,3,33,377683.1173,547013.0398,377685,547005,13.89676959,4.947883511,33NUF
30961_10,30961,10,treelossTF,1,33,369479.2908,546381.2985,369465,546375,13.82264892,4.942057702,33NUF
30961_11,30961,11,treelossTF,1,33,373785.8793,546756.9572,373785,546765,13.86160154,4.945653225,33NUF
30961_12,30961,12,treelossTF,2,33,370417.4222,541773.4612,370425,541785,13.83137879,4.900557613,33NUF
30961_13,30961,13,treelossTF,3,33,373521.7304,544597.1586,373515,544605,13.85919998,4.926112191,33NUF
30961_14,30961,14,treelossTF,1,33,368243.2226,543011.827,368235,543015,13.81161062,4.911647772,33NUF
30961_15,30961,15,treelossTF,4,33,376589.3062,546573.5069,376575,546585,13.88676547,4.944067893,33NUF
30961_16,30961,16,treelossTF,3,33,373707.8463,544642.1771,373695,544635,13.86082276,4.926386318,33NUF
30961_17,30961,17,treelossTF,1,33,368526.8982,543792.2279,368535,543795,13.81430345,4.91870745,33NUF
30961_18,30961,18,treelossTF,3,33,369481.664,539570.0549,369495,539565,13.82302749,4.880463597,33NUF
34405_1,34405,1,treelosswet,1,50,614850.3867,592290.1334,614865,592305,118.0367062,5.35773464,50NPL
34405_2,34405,2,treelosswet,2,50,619925.5997,594578.8647,619935,594585,118.0824961,5.378277802,50NPL
34405_3,34405,3,treelosswet,1,50,613461.5229,594597.2867,613455,594585,118.0240161,5.378378804,50NPL
34405_4,34405,4,treelosswet,1,50,614397.3934,591016.4512,614385,591015,118.0323549,5.346073852,50NPL
34405_5,34405,5,treelosswet,2,50,619360.2481,587189.8057,619365,587175,118.0772349,5.311264085,50NPL
34405_6,34405,6,treelosswet,4,50,616624.7738,587609.8678,616635,587595,118.0526067,5.315105472,50NPL
34405_7,34405,7,treelosswet,1,50,614283.0978,594274.3079,614295,594285,118.0315923,5.375652515,50NPL
34405_8,34405,8,treelosswet,2,50,619936.0264,593862.8513,619935,593865,118.0824846,5.37176548,50NPL
34405_9,34405,9,treelosswet,2,50,613366.0726,592810.2234,613365,592815,118.0231772,5.362370401,50NPL
34405_10,34405,10,treelosswet,2,50,614135.7866,593356.9194,614145,593355,118.0302245,5.36724291,50NPL
34405_11,34405,11,treelosswet,2,50,612255.0701,594082.9724,612255,594075,118.0131787,5.373783896,50NPL
34405_12,34405,12,treelosswet,3,50,613550.1084,592109.8589,613545,592095,118.0247907,5.355855234,50NPL
34405_13,34405,13,treelosswet,3,50,614151.4798,594619.2703,614145,594615,118.0302436,5.378639667,50NPL
34405_14,34405,14,treelosswet,1,50,615060.9294,591997.5879,615075,592005,118.0385967,5.35501792,50NPL
34405_15,34405,15,treelosswet,3,50,613537.8463,593930.3527,613545,593925,118.0248183,5.3724077,50NPL
34405_16,34405,16,treelosswet,3,50,613935.6451,587840.9248,613935,587835,118.0282461,5.317317373,50NPL
34405_17,34405,17,treelosswet,3,50,617747.7304,590769.389,617745,590775,118.0626725,5.343851288,50NPL
34405_18,34405,18,treelosswet,4,50,620798.2125,593396.0808,620805,593385,118.0903282,5.367409972,50NPL
34405_19,34405,19,treelosswet,1,50,614423.48,591031.6659,614415,591045,118.0326261,5.346344748,50NPL
34405_20,34405,20,treelosswet,3,50,619591.5203,592984.0728,619605,592995,118.0794926,5.363901688,50NPL
35975_1,35975,1,treelossTF,1,37,512850.769,624116.3285,512865,624105,39.11617433,5.646278915,37NEG
35975_2,35975,2,treelossTF,2,37,512340.3941,624173.5156,512355,624165,39.11156901,5.646822603,37NEG
35975_3,35975,3,treelossTF,3,37,517587.0319,620808.4684,517575,620805,39.15869867,5.616415726,37NEG
35975_4,35975,4,treelossTF,2,37,514304.921,623360.4381,514305,623355,39.12917639,5.639491362,37NEG
35975_5,35975,5,treelossTF,2,37,511249.6226,623636.5217,511245,623625,39.10154457,5.641939373,37NEG
35975_6,35975,6,treelossTF,3,37,517827.6694,621031.4915,517815,621045,39.16086641,5.618586271,37NEG
35975_7,35975,7,treelossTF,2,37,514056.1655,622881.0947,514065,622875,39.12700821,5.63514956,37NEG
35975_8,35975,8,treelossTF,3,37,510768.1107,623436.5918,510765,623445,39.09720981,5.640311757,37NEG
35975_9,35975,9,treelossTF,3,37,513039.8466,619525.3808,513045,619515,39.11779142,5.604755514,37NEG
35975_10,35975,10,treelossTF,4,37,512901.2853,625335.0906,512895,625335,39.11644746,5.65740595,37NEG
35975_11,35975,11,treelossTF,4,37,519912.8343,619993.3545,519915,619995,39.17982609,5.609082022,37NEG
35975_12,35975,12,treelossTF,1,37,512199.7374,625826.9667,512205,625815,39.11021729,5.661749446,37NEG
35975_13,35975,13,treelossTF,2,37,513633.3939,623340.0773,513645,623355,39.12321649,5.639492654,37NEG
35975_14,35975,14,treelossTF,1,37,516884.4588,620405.7255,516885,620415,39.15246721,5.612889284,37NEG
35975_15,35975,15,treelossTF,3,37,515981.1649,618387.208,515985,618375,39.14433593,5.594436653,37NEG
35975_16,35975,16,treelossTF,1,37,519726.1976,624764.0109,519735,624765,39.17821389,5.652233824,37NEG
35975_17,35975,17,treelossTF,3,37,517095.9062,625434.6945,517095,625425,39.15437542,5.658211274,37NEG
35975_18,35975,18,treelossTF,1,37,520015.7607,624909.2466,520005,624915,39.1806525,5.653590028,37NEG
35975_19,35975,19,treelossTF,2,37,513495.3674,622590.308,513495,622605,39.12186056,5.632708127,37NEG
35975_20,35975,20,treelossTF,1,37,513151.9827,617934.4282,513165,617925,39.11887207,5.590371471,37NEG
40284_1,40284,1,treelosswet,1,47,822959.1683,689583.5419,822945,689595,101.9181144,6.230655761,47NRG
40284_2,40284,2,treelosswet,2,47,824279.8875,695124.6419,824265,695115,101.9303092,6.280459151,47NRG
40284_3,40284,3,treelosswet,3,47,822220.1445,693419.8868,822225,693405,101.9118046,6.265113085,47NRG
40284_4,40284,4,treelosswet,3,47,826149.4197,696886.0436,826155,696885,101.9474635,6.296353753,47NRG
40284_5,40284,5,treelosswet,2,47,831049.9881,688126.6823,831045,688125,101.9911635,6.216966103,47NRG
40284_6,40284,6,treelosswet,3,47,830279.6513,687822.1894,830265,687825,101.984107,6.21429576,47NRG
40284_7,40284,7,treelosswet,2,47,826954.134,697112.0951,826965,697125,101.9547892,6.298480567,47NRG
40284_8,40284,8,treelosswet,2,47,822755.1016,689348.2758,822765,689355,101.9164773,6.228496488,47NRG
40284_9,40284,9,treelosswet,3,47,828082.2651,688908.639,828075,688905,101.964392,6.224163822,47NRG
